"Gene","BF","LoF.BF","nonLoF.BF"
"PCDH18",0.938212992346916,1,0.938212992346916
"DPYS",0.938209916828449,0.999999999999977,0.93820991682847
"EML4",0.938204198712585,1,0.938204198712585
"DSCAML1",0.938198434833837,1,0.938198434833837
"C6orf201",0.938195684746136,1,0.938195684746136
"SLC12A8",0.93815382719095,1,0.93815382719095
"ZNF526",0.938139115279545,1,0.938139115279545
"DPEP2",0.938091298465704,1.00000000000002,0.938091298465683
"TTF2",0.938076168503544,1,0.938076168503544
"ZBTB25",0.938070024248202,1,0.938070024248202
"FAM71A",0.938054921941868,0.999999999999975,0.938054921941891
"SCARB1",0.938041099648635,1,0.938041099648635
"MSI2",0.937983656495534,1,0.937983656495534
"TONSL",0.937941789484348,1,0.937941789484348
"RIPK4",0.937937076081934,1,0.937937076081934
"ANKLE2",0.937934133899583,1,0.937934133899583
"CCDC141",0.937930864530289,1,0.937930864530289
"ZNF442",0.937921553394314,0.999999999999973,0.937921553394339
"ZFYVE16",0.937918986045112,0.999999999999982,0.937918986045129
"SOSTDC1",0.937907067418292,1,0.937907067418292
"CYSLTR2",0.93787908744874,1,0.93787908744874
"SPERT",0.937858771044891,1,0.937858771044891
"SPATA17",0.937846192426557,1,0.937846192426557
"RILPL1",0.937830511984105,1,0.937830511984105
"C21orf59",0.93781838814386,1,0.93781838814386
"NEFM",0.937812970215134,1,0.937812970215134
"SLC22A10",0.937803113499853,1.00000000000002,0.937803113499837
"DGKH",0.937785548411978,1.00000000000002,0.937785548411961
"ALLC",0.937772413556212,0.999999999999975,0.937772413556236
"RMDN2",0.937758192025425,1,0.937758192025425
"MARVELD3",0.937757061791729,1,0.937757061791729
"CD97",0.937755698108952,0.999999999999982,0.937755698108969
"LAG3",0.937752917179291,1.00000000000002,0.937752917179274
"DDX51",0.937737179157267,0.999999999999975,0.937737179157291
"VTN",0.937736609656092,1,0.937736609656092
"GJA10",0.93770069477972,0.999999999999975,0.937700694779743
"CHD7",0.937699922214953,1,0.937699922214953
"NETO2",0.937653737040044,1,0.937653737040044
"LRRC56",0.937604391977922,1,0.937604391977922
"ZACN",0.937577518888456,1.00000000000002,0.937577518888439
"BARD1",0.937560744370818,1,0.937560744370818
"SEMG1",0.937506341332267,0.999999999999975,0.93750634133229
"PITPNM2",0.937497697974015,1,0.937497697974015
"CLOCK",0.937487716442557,1,0.937487716442557
"IL6ST",0.937479323617541,1,0.937479323617541
"WNT16",0.937446231537581,1,0.937446231537581
"TMEM169",0.937445180227414,1,0.937445180227414
"NLRP8",0.937395833861396,1.00000000000025,0.937395833861159
"WDR63",0.937389035268112,0.999999999999988,0.937389035268124
"SLC38A11",0.937388047759931,1,0.937388047759931
"TNK2",0.937367813138196,1,0.937367813138196
"FRMD6",0.937349066156977,1.00000000000005,0.937349066156932
"ADAM22",0.937339573152637,1,0.937339573152637
"ADAMTS9",0.937332953777066,1,0.937332953777066
"ZNF311",0.937322356845334,1,0.937322356845334
"UBN1",0.937317540702316,1,0.937317540702316
"CTAGE5",0.937310467423734,1,0.937310467423734
"SNX25",0.937303490381224,1,0.937303490381224
"ATRNL1",0.937294401906138,1,0.937294401906138
"HHIP",0.937292409475035,1,0.937292409475035
"FNDC3B",0.93727994788478,1,0.93727994788478
"CEACAM19",0.937229656239784,1,0.937229656239784
"KLK3",0.937222609085084,1,0.937222609085084
"QPCTL",0.937219162952147,1,0.937219162952147
"DSG4",0.937175795792614,1,0.937175795792614
"FAM160B1",0.937159743952747,1,0.937159743952747
"UGT2B4",0.937145162973432,0.999999999999975,0.937145162973456
"SEC23B",0.937145044386493,0.999999999999977,0.937145044386515
"IGSF5",0.937109549910104,1,0.937109549910104
"LATS2",0.937105958998439,1,0.937105958998439
"ZNF33A",0.93709582422999,1,0.93709582422999
"TAAR6",0.937060742272841,1,0.937060742272841
"NRCAM",0.936947276645985,1,0.936947276645985
"SDF2",0.936946669903204,1,0.936946669903204
"GRB7",0.936944118969919,1,0.936944118969919
"AMOTL1",0.936901125733214,1,0.936901125733214
"LRRC14",0.936875738864271,1,0.936875738864271
"KDM7A",0.936819808550836,1,0.936819808550836
"BANP",0.936808732879905,1,0.936808732879905
"ZNF280A",0.936800052202105,1,0.936800052202105
"FCRLA",0.93678710032352,1,0.93678710032352
"SLC4A1AP",0.93677723955458,1,0.93677723955458
"TOE1",0.93673746730586,1,0.93673746730586
"CIRH1A",0.936722536744058,1,0.936722536744058
"KATNA1",0.936674941035744,1.00000000000005,0.936674941035699
"SORCS3",0.936670254505408,1,0.936670254505408
"ARSK",0.936655156868265,1,0.936655156868265
"EPHX2",0.936587516603835,1,0.936587516603835
"STK19",0.936558918143522,1,0.936558918143522
"SLC27A3",0.936557087952572,0.999999999999975,0.936557087952595
"WDR36",0.936539165115269,1,0.936539165115269
"WDR7",0.936523989038814,1,0.936523989038814
"WIPI1",0.936497161183147,1,0.936497161183147
"AK9",0.936481957265122,1,0.936481957265122
"ATXN2L",0.936454784874166,1,0.936454784874166
"QRFP",0.936415578005408,1,0.936415578005408
"GALNT7",0.936412289816375,1,0.936412289816375
"SPAG9",0.936326918969348,1,0.936326918969348
"IDH3A",0.936302384115626,1,0.936302384115626
"DSC1",0.936299013824063,1,0.936299013824063
"GNAT2",0.936267633604696,1,0.936267633604696
"TNIP1",0.936240699806285,1,0.936240699806285
"CCDC13",0.936238242118174,1,0.936238242118174
"GPR87",0.936222080288704,0.999999999999978,0.936222080288725
"RBL2",0.936219415506908,1,0.936219415506908
"PIK3R5",0.936205519235699,1,0.936205519235699
"NPHP1",0.936187222826314,1,0.936187222826314
"GBF1",0.936148060823464,1,0.936148060823464
"PI4KA",0.936129273548858,1,0.936129273548858
"LRP5L",0.93612695879057,1,0.93612695879057
"ATP7B",0.936118485387187,1.00000000000002,0.93611848538717
"ARRDC1",0.936101227468988,1.00000000000002,0.936101227468971
"RASSF6",0.936078820978584,1,0.936078820978584
"ZEB2",0.93606173246424,1,0.93606173246424
"TMEM214",0.93603948059511,1,0.93603948059511
"SMC1B",0.936012336234629,1,0.936012336234629
"KIAA1024",0.935975843119111,1,0.935975843119111
"PLA2G6",0.935960966669044,1,0.935960966669044
"TRIM24",0.935958818269681,1,0.935958818269681
"CDKL1",0.935952121846408,0.999999999999975,0.935952121846431
"LTN1",0.935929891748278,1,0.935929891748278
"FAXDC2",0.935818520462238,1,0.935818520462238
"XRN2",0.935818175882138,1,0.935818175882138
"KIF25",0.935808362034433,1,0.935808362034433
"PRAMEF12",0.935761721425584,1,0.935761721425584
"RPGRIP1",0.935738124194329,0.999999999999996,0.935738124194332
"MMEL1",0.935714337019848,1,0.935714337019848
"CYP2A13",0.935681988470144,1,0.935681988470144
"PHYKPL",0.935681155513956,1,0.935681155513956
"EIF3A",0.935672984448347,1,0.935672984448347
"HLCS",0.935668641151548,1,0.935668641151548
"GOLGA1",0.935662142187947,1,0.935662142187947
"RBM33",0.935640513609963,1,0.935640513609963
"PDZRN3",0.935637320808261,1,0.935637320808261
"EP300",0.935616752856282,1,0.935616752856282
"MLKL",0.935579316649818,1,0.935579316649818
"VEZT",0.935567532283866,1,0.935567532283866
"JPH3",0.935510946547402,1,0.935510946547402
"ISM1",0.935508857975551,1,0.935508857975551
"MTHFR",0.935483910363499,1,0.935483910363499
"OR5P2",0.935458552774803,1,0.935458552774803
"DNAH10",0.935426962112666,1.00000000000008,0.935426962112588
"PIK3R4",0.93541550528311,0.999999999999979,0.93541550528313
"CHRNG",0.93541142971022,1,0.93541142971022
"PCDHB12",0.935389355569244,1,0.935389355569244
"CHL1",0.93536530631536,1,0.93536530631536
"TARS",0.935349979757645,1,0.935349979757645
"ADAMTS13",0.93532639062317,1,0.93532639062317
"MROH9",0.935318346216698,0.999999999999988,0.93531834621671
"LRRC49",0.935290830655307,1,0.935290830655307
"CDK15",0.93528884464965,1,0.93528884464965
"SERPINB10",0.935273125662458,0.999999999999975,0.935273125662482
"CPA6",0.935227019592546,1,0.935227019592546
"NCKAP1L",0.935210394980061,1,0.935210394980061
"ELFN2",0.935172413159278,1,0.935172413159278
"THAP9",0.935157653236248,1,0.935157653236248
"B4GALT4",0.935156587241513,1,0.935156587241513
"SPAG8",0.935154087206713,1.00000000000002,0.935154087206696
"RTDR1",0.935145282447591,1,0.935145282447591
"SPTBN4",0.935142357330266,1,0.935142357330266
"NCF4",0.935129919856576,1.00000000000002,0.93512991985656
"POLQ",0.935110274996308,1.00000000000002,0.935110274996286
"PFKFB4",0.93508605857448,1,0.93508605857448
"VWA9",0.935067727226364,1,0.935067727226364
"BEST1",0.935064594211493,1,0.935064594211493
"GPNMB",0.935055000830474,0.999999999999975,0.935055000830497
"PEX19",0.935051416590458,1,0.935051416590458
"ZNF101",0.935041888934163,1,0.935041888934163
"NUAK2",0.93501374854692,1,0.93501374854692
"PRDM15",0.934980906553599,1,0.934980906553599
"S100PBP",0.934927126911679,1,0.934927126911679
"RASA3",0.934900042372176,1,0.934900042372176
"OTOP2",0.934834125368618,1,0.934834125368618
"METTL24",0.934830472327484,0.999999999999976,0.934830472327507
"OR8D2",0.934823239702001,1,0.934823239702001
"SNTG1",0.93478253937741,1,0.93478253937741
"DNAAF1",0.934780641006009,1,0.934780641006009
"BCL2L13",0.934743124822188,1,0.934743124822188
"GPR75",0.934741674877306,1,0.934741674877306
"CYP4A22",0.934723444475089,1.00000000000007,0.934723444475028
"SERPINE1",0.934714483601414,1,0.934714483601414
"GTF3C3",0.934701150319775,1.00000000000002,0.934701150319758
"RIPK1",0.934682413500687,1,0.934682413500687
"PPFIA1",0.934680507279838,1,0.934680507279838
"GALK2",0.934668506509583,1.00000000000002,0.934668506509567
"NCAPH2",0.934651137324104,1,0.934651137324104
"SMAD9",0.934611819951077,1,0.934611819951077
"IGFBP3",0.934610087323401,1,0.934610087323401
"CAMTA1",0.934589590670873,1,0.934589590670873
"ANGPT4",0.934553912829164,1,0.934553912829164
"HYAL4",0.934466372042855,0.99999999999998,0.934466372042874
"RGS3",0.934414900291306,1,0.934414900291306
"SHPRH",0.934411276436612,1,0.934411276436612
"TNFAIP3",0.934350040160083,1,0.934350040160083
"PCDHB6",0.934334540578587,1,0.934334540578587
"HIPK3",0.93432038915584,1,0.93432038915584
"PM20D1",0.934290482016229,1,0.934290482016229
"STARD3",0.93428777790524,1,0.93428777790524
"PDGFRB",0.934248842322292,1,0.934248842322292
"GCNT3",0.934236099146456,0.99999999999995,0.934236099146502
"ANPEP",0.934222458843132,1,0.934222458843132
"AHCTF1",0.934196016857119,1,0.934196016857119
"EXOSC10",0.934174004444204,1,0.934174004444204
"PROSER1",0.934151881491387,1,0.934151881491387
"DOCK1",0.934127403860503,1,0.934127403860503
"SCTR",0.934125368676511,1,0.934125368676511
"SCYL1",0.934118437048127,1,0.934118437048127
"ESR1",0.934087624853759,1,0.934087624853759
"WDR66",0.934085745081158,0.999999999999975,0.934085745081182
"ITGA2",0.934079510411026,1,0.934079510411026
"MFN2",0.934062118254566,1,0.934062118254566
"TRPV1",0.934031268358323,0.999999999999975,0.934031268358346
"NSMF",0.934012760101723,1,0.934012760101723
