"Gene" "BF" "LoF.BF" "nonLoF.BF"
"1" "COL16A1" 0.831167081354261 1.05291366352133 0.789397184356534
"2" "DCDC2B" 0.779379506450896 0.947086336479694 0.82292339824882
"3" "EXO5" 1.08907037038286 0.994498248244965 1.09509531294277
"4" "TCHHL1" 1.02480015573072 0.688599924502516 1.48823739193857
"5" "FLG" 0.152068921128488 0.904961877996294 0.168039035484222
"6" "OR10R2" 1.04148276268769 1.10862718282991 0.93943462583082
"7" "OR13A1" 1.16424796310765 1 1.16424796310765
"8" "CYP2C18" 1.06848185921522 0.847131919491344 1.26129335305507
"9" "C11orf40" 1.16539400399654 0.924180071253393 1.26100317486397
"10" "OR52N1" 0.944323009907853 1.08263729017422 0.87224319583144
"11" "OR2D3" 1.00296205298761 0.997200144213831 1.00577808658294
"12" "C11orf16" 0.818018414614708 0.911762998255009 0.897183167314626
"13" "OR8K3" 0.83826029085888 1.05291366352133 0.796133928071015
"14" "OR4D6" 0.89137103519291 0.849510426173477 1.04927615686601
"15" "OR4D10" 0.895065865763804 1 0.895065865763804
"16" "MMP8" 0.752393888982864 0.937034215836207 0.80295241760348
"17" "MMP1" 3.1006363172653 0.960007718755874 3.2298035283337
"18" "RAD52" 1.09864618616012 1.20361106644113 0.912791695583719
"19" "ACSM4" 2.63869761432203 1.29720539685915 2.03414017603609
"20" "KRT83" 1.37251977348727 1.164020468508 1.17911996448526
"21" "OR6C4" 1.38061965669632 1.03807784919743 1.32997699330904
"22" "OLFM4" 0.875080271162017 1.05291366352133 0.831103538190801
"23" "CLYBL" 0.821106082229499 0.896972528746529 0.915419431380971
"24" "C14orf105" 0.661393497785591 0.79501537574785 0.831925416742331
"25" "FAM71D" 0.923374701776484 1.05291366352133 0.876970955708163
"26" "CALML4" 0.994774206712226 1.05291366352133 0.944782313286101
"27" "ACSM2A" 0.585932649787607 0.768955765729978 0.761984857778361
"28" "ABCC12" 0.743162639967528 0.637069113748435 1.16653377777939
"29" "NOD2" 1.584802983284 0.997200144213831 1.58925266154411
"30" "OR1D5" 1 1 1
"31" "KRT31" 0.732562697311067 1 0.732562697311067
"32" "EFCAB13" 0.76116085491848 0.7409237867923 1.02731329252337
"33" "OR7G1" 0.842839364935375 0.986273782102495 0.854569370320933
"34" "ZNF599" 0.768032005355066 0.75107564105396 1.02257610735093
"35" "PLA2G4C" 1.00719620455014 0.901206753122255 1.11760836352001
"36" "LAIR2" 1.00340830452099 0.926461894221527 1.08305404764016
"37" "NLRP13" 0.682600154078204 0.856644828348697 0.796829831324624
"38" "ZNF749" 1.45376003513982 0.839892190856765 1.73088885807696
"39" "PLA2R1" 0.900253200252827 1.19939694122042 0.750588207551034
"40" "CCDC150" 0.896813243551264 1.11523677932537 0.804146043402343
"41" "ANO7" 0.883918301329062 1 0.883918301329062
"42" "DEFB128" 0.824891915740189 0.925523514662542 0.891270618922044
"43" "CCT8L2" 0.83512089308741 0.970552997129018 0.860458826625411
"44" "PRODH" 0.899899317747342 1 0.899899317747342
"45" "SLC5A4" 1.340883062172 1.00066115759906 1.33999711289809
"46" "APOL3" 0.968084197479531 0.997200144213831 0.970802303927409
"47" "SLC22A14" 1.93477359225501 1.22003229236561 1.58583801786388
"48" "OR5H15" 1.04600428091501 1.05291366352133 0.993437845052543
"49" "KIAA1407" 0.988518599295379 1.04116078056971 0.949438950970164
"50" "KNG1" 0.71762650848008 1 0.71762650848008
"51" "ATP13A5" 1.33331390508965 0.884462605383918 1.50748476755657
"52" "PTTG2" 0.918289921719053 0.960007718755874 0.956544310819829
"53" "UGT2A1" 0.62714931435608 0.970587753330249 0.646154159893555
"54" "HTN3" 1.15490510697705 1.20361106644113 0.95953347321067
"55" "FAM81B" 1.48183817066198 1.05291366352133 1.40736911486757
"56" "TIGD6" 0.909464543230323 1.3525609632468 0.672401886453359
"57" "SLC17A4" 1.05069760779037 1.10862718282991 0.947746568064778
"58" "PNPLA1" 0.802982101771827 0.997200144213831 0.805236648260696
"59" "KIAA1919" 0.86358430414188 0.931841961738355 0.926749748992694
"60" "LPA" 0.330899455501143 0.930411200780196 0.355648615605302
"61" "PRPS1L1" 0.732238090831178 0.997200144213831 0.73429400815867
"62" "IFNA17" 1.16532313681916 1.14312417830709 1.01941955120304
"63" "IFNE" 0.802981990772884 1 0.802981990772884
"64" "IFNK" 0.832122519707439 1.05291366352133 0.790304607620453
"65" "ZNF883" 0.991063414088169 0.991063414088169 1
"66" "NOC2L" 1.37392993133884 1.1025277912811 1.24616353637887
"67" "CPSF3L" 1.22607468758894 0.997200144213831 1.22951715831886
"68" "ATAD3C" 0.974383203236105 1.05291366352133 0.925416049761772
"69" "ATAD3B" 0.965572860321665 0.997200144213831 0.96828391564554
"70" "ATAD3A" 0.860956833343626 0.947086336479694 0.909058446079783
"71" "KIAA1751" 0.909797576263746 1.03067186163698 0.882722823943933
"72" "MORN1" 0.843511837168102 0.947086336479694 0.890638798890735
"73" "PEX10" 0.947086336479694 0.947086336479694 1
"74" "FAM213B" 0.92798936372743 0.92798936372743 1
"75" "MMEL1" 0.913493514980889 0.9444346313205 0.967238477589128
"76" "TPRG1L" 0.942083621452618 0.923987517454323 1.01958479271252
"77" "WRAP73" 0.802106249522435 1.04996565710818 0.763935700270042
"78" "CCDC27" 0.949194689750702 0.896972528746529 1.05822046866603
"79" "CEP104" 0.553129943489081 0.960007718755874 0.576172391828174
"80" "DFFB" 0.976052086572057 0.93146952422216 1.04786260976936
"81" "C1orf174" 0.810189091637398 0.93146952422216 0.869796671355363
"82" "NPHP4" 0.756097037262939 0.994408127620084 0.760348810777024
"83" "KCNAB2" 0.908231729754814 0.947086336479694 0.958974588452725
"84" "PLEKHG5" 0.536000335482774 0.947086336479694 0.56594664587294
"85" "TAS1R1" 0.665682543865668 0.84935642034332 0.783749351769887
"86" "PER3" 1.67520234182826 1.13943164081315 1.4702087267234
"87" "UTS2" 1.00457787041886 1.04996565710818 0.956772122609863
"88" "TNFRSF9" 1.09751506949923 1.05291366352133 1.04235998403586
"89" "ENO1" 1.02419193779062 0.947086336479694 1.08141348717745
"90" "CA6" 0.919358273140879 0.962703148737229 0.954975865973633
"91" "SLC2A7" 0.709525977583813 0.947086336479694 0.749167156419034
"92" "SLC2A5" 1.00284395952246 1.05291366352133 0.952446524597829
"93" "GPR157" 0.919507582397106 0.947086336479694 0.970880422385674
"94" "CLSTN1" 0.930726176610204 0.947086336479694 0.982725798864017
