"Gene","BF","LoF.BF","nonLoF.BF"
"CHRNA2",0.927360629790158,0.999999999999999,0.927360629790159
"VWA8",0.927330736490004,0.999999999999999,0.927330736490005
"HEATR5A",0.927324703111904,1,0.927324703111904
"PPFIA1",0.927313222568951,1,0.927313222568951
"GLI1",0.927218353689308,1,0.927218353689308
"HHATL",0.927211143582971,1,0.927211143582971
"PIK3R5",0.927175458263235,1,0.927175458263235
"ARID4A",0.927127739174364,1,0.927127739174364
"MRPL2",0.927089530428178,1,0.927089530428178
"TM7SF2",0.926992243074707,1,0.926992243074707
"DCLRE1A",0.926926294501183,0.999999999999996,0.926926294501187
"LCTL",0.926906731950177,1,0.926906731950177
"SLC5A9",0.926902985879011,1,0.926902985879011
"FLII",0.926868553296093,1,0.926868553296093
"KDM5B",0.926850857044201,1,0.926850857044201
"SHCBP1L",0.926824124844087,1,0.926824124844086
"PCDHA10",0.926796643246859,1,0.926796643246859
"MGA",0.926766163565061,1,0.926766163565061
"ZNF134",0.926764069903899,0.999999999999999,0.926764069903899
"SULT1C2",0.926726955688528,1,0.926726955688528
"ALDH1L2",0.92672260086747,1,0.926722600867468
"DSTYK",0.926722534398947,1,0.926722534398947
"FAM118B",0.926721413930717,1,0.926721413930717
"HIPK4",0.92671851153494,1,0.92671851153494
"OLFM4",0.926712146016634,1,0.926712146016634
"CDON",0.926700303027544,1,0.926700303027544
"HACL1",0.926611703545423,0.999999999999996,0.926611703545427
"ST6GAL2",0.926597547553745,1,0.926597547553745
"RALGDS",0.926426338853033,1,0.926426338853031
"SIPA1L2",0.926415553809461,1,0.926415553809461
"ASPM",0.926404039734871,0.999999999999997,0.926404039734873
"PPP4R1",0.926307816709048,1,0.926307816709048
"IRAK3",0.926282471032717,1,0.926282471032717
"SEC16A",0.926264563099134,1,0.926264563099134
"CYP39A1",0.926257494229409,1,0.926257494229409
"EFEMP2",0.926238750877308,1,0.926238750877308
"BANK1",0.926198391869321,1,0.926198391869321
"METTL21B",0.926174783309913,1,0.926174783309913
"NUAK1",0.926161002674565,1,0.926161002674565
"LRP10",0.926141440569972,1,0.926141440569972
"LLGL1",0.926089260123978,1,0.926089260123978
"RAG2",0.926055607219769,1,0.926055607219769
"USP16",0.92604447804018,1,0.92604447804018
"ERICH3",0.925984939118225,0.999999999999998,0.925984939118228
"MLXIPL",0.925965162835459,1,0.925965162835459
"TLE4",0.925960863856844,1,0.925960863856844
"CPPED1",0.925958584845414,1,0.925958584845414
"MOCS3",0.925954459249589,1,0.925954459249589
"CNOT1",0.92590911047683,1,0.92590911047683
"HDDC2",0.925897250571661,0.999999999999999,0.925897250571662
"IBTK",0.92588862187584,1,0.92588862187584
"ADAM2",0.925853376120491,1,0.925853376120491
"MCAT",0.925759923333749,1.00000000000001,0.925759923333742
"NUP133",0.92570863892989,1,0.92570863892989
"FNDC3B",0.925707831514306,1,0.925707831514306
"POLQ",0.925686639952219,1,0.925686639952217
"TM9SF4",0.925661595648199,1,0.925661595648199
"HJURP",0.925636442084796,1,0.925636442084796
"SHANK2",0.925630225461603,1,0.925630225461603
"DSCAML1",0.925579238022759,1,0.925579238022759
"TGM5",0.925499234433367,1,0.925499234433367
"SPIDR",0.925486328561892,1,0.925486328561891
"VNN2",0.925467971549675,0.999999999999996,0.925467971549678
"ADAMTS13",0.925409179240066,1,0.925409179240066
"GRK5",0.925407540838223,1,0.925407540838223
"SLC7A8",0.925359087125147,1,0.925359087125147
"MUSTN1",0.925304578882182,1,0.925304578882182
"OR11H6",0.925274368357686,1.00000000000001,0.92527436835768
"PAH",0.925111227975733,0.999999999999999,0.925111227975735
"SEC62",0.925085960391719,1,0.925085960391719
"MBD4",0.925076151377947,1,0.925076151377947
"OR5P2",0.925067642611887,1,0.925067642611887
"ABCB8",0.924931771337712,1,0.924931771337712
"MICAL2",0.924898727978521,1,0.924898727978521
"DAB2",0.924862496611259,1,0.924862496611259
"IKBKAP",0.924858530029276,1,0.924858530029276
"PRDM15",0.924815382297085,1,0.924815382297085
"RNF219",0.924767514430532,1,0.924767514430532
"HIPK3",0.924745302754462,1,0.924745302754462
"FGD2",0.924730472783494,1,0.924730472783494
"ZNF799",0.924722050133486,1,0.924722050133486
"CD163L1",0.924716517315198,0.999999999999998,0.9247165173152
"TPRN",0.924663234722621,1,0.924663234722621
"TBC1D4",0.924628755869324,1,0.924628755869324
"C11orf49",0.924575662551954,1,0.924575662551954
"AHCTF1",0.924495938339179,1,0.924495938339179
"PSEN2",0.924473751338236,1,0.924473751338236
"LHX3",0.924453658481476,1,0.924453658481476
"FRMD1",0.924411611179605,0.999999999999998,0.924411611179607
"ANLN",0.924357803327692,1,0.924357803327692
"NAA25",0.924356924858492,1,0.924356924858492
"CDH19",0.924279283445388,1,0.924279283445388
"MCM2",0.924273087211969,1,0.924273087211969
"DOCK7",0.924267346795378,1,0.924267346795378
"ABCA10",0.924251077726764,1,0.924251077726764
"PRKCQ",0.924215147011987,1,0.924215147011987
"GRIP1",0.924213679423037,1,0.924213679423037
"SMG1",0.924130846189597,1,0.924130846189597
"COL27A1",0.924108875816596,1,0.924108875816596
"RAB11FIP1",0.924084098085179,0.999999999999998,0.924084098085181
"PCDHGB2",0.924076720062593,1,0.924076720062593
"TSHZ1",0.92401279242082,1,0.92401279242082
"LRCH3",0.924004946673065,1,0.924004946673065
"PCDHA6",0.923985060075864,1,0.92398506007586
"MED13L",0.923979497151884,1,0.923979497151884
"PGS1",0.923971677055689,1,0.923971677055689
"INSRR",0.923955130234248,1,0.923955130234247
"POLRMT",0.923885657638333,0.999999999999999,0.923885657638334
"FSCB",0.923844189941108,0.999999999999998,0.923844189941109
"C6",0.923815188974529,1,0.923815188974529
"CD38",0.923763522887325,0.999999999999998,0.923763522887327
"TTC30A",0.923748630776768,1,0.923748630776768
"PTPRF",0.923728081457579,1,0.923728081457579
"CAPRIN2",0.923695268393069,1,0.923695268393069
"PTPN3",0.923689096340574,1,0.923689096340572
"PVRL2",0.923672528808232,1,0.923672528808232
"ADH7",0.923671717998286,1,0.923671717998286
"SNAPC4",0.923669868041475,1,0.923669868041475
"C16orf71",0.923659402320025,1,0.923659402320025
"LAYN",0.92365259757381,1,0.92365259757381
"MYOF",0.923604296012722,0.999999999999998,0.923604296012725
"CTNND1",0.92356758885655,1,0.92356758885655
"FUK",0.923558443664767,1,0.923558443664767
"UQCRC1",0.923426012107963,1,0.923426012107963
"MDH1B",0.923413875457826,1,0.923413875457826
"THBS3",0.923405400186616,0.999999999999999,0.923405400186617
"UNC5A",0.923398808923707,1,0.923398808923707
"WWC2",0.923338834048411,1,0.923338834048411
"RALGAPB",0.923337103111216,1,0.923337103111216
"SSH2",0.923236777707629,1,0.923236777707629
"SMC1B",0.923229433811467,1,0.923229433811467
"NPC1L1",0.923197731643134,1,0.923197731643134
"APOBEC3D",0.923120321526431,0.999999999999999,0.923120321526432
"P2RY13",0.923093106947642,1,0.923093106947642
"ADAM30",0.923090178789621,1,0.923090178789621
"MYBPC3",0.923062439211564,0.999999999999999,0.923062439211565
"TGM7",0.923041505966363,1,0.923041505966363
"TJP1",0.92302489002701,1,0.92302489002701
"CD209",0.922996384032686,1,0.922996384032686
"RPS6KA1",0.922989388393104,1,0.922989388393104
"SCN4A",0.922966387730044,0.999999999999998,0.922966387730046
"AMPH",0.922932463290596,1,0.922932463290596
"OR4D9",0.92292572198866,0.999999999999997,0.922925721988663
"ABCA2",0.922883135448487,1,0.922883135448487
"ZNF608",0.922850120175049,1,0.922850120175049
"CDH3",0.92278462765983,1,0.92278462765983
"PCNXL4",0.922777251095916,1,0.922777251095916
"SERTAD4",0.922647937726446,1,0.922647937726446
"GAA",0.92263131439859,1,0.92263131439859
"IGSF9B",0.92261717221887,1,0.92261717221887
"AFF4",0.922578164469051,1,0.922578164469051
"TTC30B",0.922572295256023,1,0.922572295256023
"CNTNAP5",0.922561220090411,1,0.922561220090411
"PRICKLE4",0.922505523690841,1,0.922505523690841
"FOXK2",0.922505319034848,1,0.922505319034848
"RPTOR",0.922504027038725,1,0.922504027038725
"SLCO1B3",0.922490254525964,1,0.922490254525964
"CPA2",0.922476311546055,1,0.922476311546055
"TP53BP2",0.922446931290071,1,0.922446931290071
"PAPPA",0.922423305191509,1,0.922423305191509
"NME4",0.922411326804389,1,0.922411326804389
"PTGFRN",0.922366946249322,0.999999999999999,0.922366946249324
"R3HDM1",0.922337945519312,1,0.922337945519312
"ECM2",0.922328385143192,1,0.922328385143192
"NFE2L3",0.922267775965719,1,0.922267775965715
"CD19",0.922256795551774,0.999999999999999,0.922256795551776
"FAM178A",0.922233271144357,1,0.922233271144357
"EPRS",0.9220942880215,1,0.922094288021499
"BTD",0.922021685361135,1,0.922021685361135
"ECM1",0.922002007344598,0.999999999999999,0.922002007344598
"HPS5",0.921998508398119,0.999999999999998,0.921998508398121
"CHL1",0.921971560396899,1,0.921971560396899
"ACAA2",0.921963693051054,1,0.921963693051052
"OR10A6",0.921844120789253,0.999999999999998,0.921844120789255
"TRAPPC11",0.921742106201308,1.00000000000001,0.921742106201302
"PDPR",0.921711701550472,1,0.921711701550472
"OR1J4",0.921694569756856,1,0.921694569756856
"CHURC1-FNTB",0.921683669581002,1,0.921683669581002
"CA13",0.921634951451372,1,0.921634951451372
"WDR75",0.921630743949503,1,0.921630743949503
"TUBAL3",0.921621374896437,0.999999999999998,0.921621374896439
"BAZ1A",0.921589626114482,0.999999999999999,0.921589626114483
