"Gene","BF"
"COL16A1",0.837990359768266
"DCDC2B",0.773840488916536
"EXO5",1.0974755712522
"TCHHL1",0.96110978972878
"FLG",0.213591730401419
"OR10R2",1.01122050354523
"OR13A1",1.11630646764325
"CYP2C18",1.09987416480619
"C11orf40",1.22940685997373
"OR52N1",0.883122724008898
"OR2D3",1.07581482352586
"C11orf16",0.782992859308142
"OR8K3",0.792598354544165
"OR4D6",1.00013037075202
"OR4D10",0.880742267228013
"MMP8",0.70900981828128
"MMP1",2.90018479374825
"RAD52",1.1430567847955
"ACSM4",2.26396597472237
"KRT83",1.35354985167054
"OR6C4",1.46460584819275
"OLFM4",0.913321971654831
"CLYBL",0.823340947998651
"C14orf105",0.694572084449843
"FAM71D",0.954833923295985
"CALML4",0.968081856411791
"ACSM2A",0.584637879507967
"ABCC12",0.804018243239307
"NOD2",1.53820461828913
"OR1D5",1
"KRT31",0.698211352089332
"EFCAB13",0.791354516800383
"OR7G1",0.768184542093733
"ZNF599",0.715844158529971
"PLA2G4C",1.08933113527529
"LAIR2",1.02384214351675
"NLRP13",0.61619438620477
"ZNF749",1.26792051588622
"PLA2R1",0.85740035929876
"CCDC150",0.912512732182228
"ANO7",0.877114631973454
"DEFB128",0.816781321077697
"CCT8L2",0.78989414312807
"PRODH",0.918955548633919
"SLC5A4",1.62294994685003
"APOL3",0.975168112988651
"SLC22A14",2.14904443625779
"OR5H15",1.06566911464129
"KIAA1407",0.976748163423307
"KNG1",0.736750479997244
"ATP13A5",1.40255056910129
"PTTG2",0.925086986673521
"UGT2A1",0.62809687309776
"HTN3",1.15387879293061
"FAM81B",1.43146692965093
"TIGD6",0.983523996947893
"SLC17A4",1.03450655261227
"PNPLA1",0.798058009243245
"KIAA1919",0.80449758522951
"LPA",0.307992650059461
"PRPS1L1",0.705743585395772
"IFNA17",1.18331981329871
"IFNE",0.792491811044906
"IFNK",0.852700049406296
"ZNF883",0.990889431331053
"NOC2L",1.37233268789398
"CPSF3L",1.21897190321667
"ATAD3C",1.0006686919818
"ATAD3B",0.974868152879897
"ATAD3A",0.863251543355036
"KIAA1751",0.889584532897914
"MORN1",0.845562115318941
"PEX10",0.946668741769444
"FAM213B",0.92742105568016
"MMEL1",1.32968479713718
"TPRG1L",0.942225749215987
"WRAP73",0.836367495861553
"CCDC27",0.884164002735965
"CEP104",0.573475123619488
"DFFB",0.966441734349456
"C1orf174",0.837098916209794
"NPHP4",0.774729624928089
"KCNAB2",0.968030260425034
"PLEKHG5",0.541044813018846
"TAS1R1",0.645240478052354
"PER3",1.57249438433484
"UTS2",1.00995532538521
"TNFRSF9",1.08627682114187
"ENO1",1.08651026143293
"CA6",0.90949511836935
"SLC2A7",0.687980984206273
"SLC2A5",0.977111599593998
"GPR157",0.911584821129418
"CLSTN1",1.09770383239429
"LZIC",0.946668741769444
"NMNAT1",0.913726942932237
"RBP7",0.879371922038229
"PGD",1.44817336429273
"CASZ1",0.676084857737124
"MASP2",0.911744424010078
"EXOSC10",0.620098858114
"MTOR",0.918529368163561
"ANGPTL7",1.05269455082408
"PTCHD2",0.961614147155928
"FBXO44",0.862502777850456
"FBXO6",0.846544949212306
"MAD2L2",0.900750194220216
"MTHFR",0.87462998448085
"CLCN6",0.784284579139316
"PLOD1",0.871356784961459
"MFN2",1.30849299679852
"TNFRSF1B",1.1428529228496
"VPS13D",2.13920890333926
"C1orf158",1.50267559800455
"PRAMEF12",1.11711905617402
"PRAMEF1",0.932460146984417
"HNRNPCL2",0.93621419300327
"TMEM51",0.975184488667732
"CELA2A",0.905773015484091
"CELA2B",0.948364501530218
"DNAJC16",0.707854700759229
"AGMAT",1.10157059395779
"RSC1A1",0.81100645029018
"SLC25A34",0.973275547052567
"FBLIM1",0.8826051738801
"UQCRHL",0.944082376495473
"CLCNKA",0.947059772776084
"CLCNKB",1.25515904087349
"EPHA2",1.07372538060852
"SPATA21",0.937310639309953
"NECAP2",0.919396052593919
"MFAP2",0.834269365571312
"ATP13A2",1.14729882992182
"PADI2",1.06634036667162
"PADI1",0.738187403003843
"PADI3",1.11918134708549
"PADI6",1.05333125823159
"ACTL8",0.993442330752069
"TAS1R2",0.592432807221868
"UBR4",2.21186812644273
"EMC1",0.734773554059559
"AKR7A3",0.758612142737702
"TMCO4",1.06531688273346
"RNF186",1.04832230741666
"OTUD3",1.02399028774318
"PLA2G2A",1.01616186145973
"PLA2G5",0.74302810768703
"PLA2G2F",0.940849021441844
"UBXN10",0.847145653969838
"KIF17",0.688285420754626
"ECE1",1.18553187335159
"NBPF3",1.07003641638269
"HSPG2",0.676420127724531
"ZBTB40",1.15149148398393
"EPHA8",6.07329161295505
"LUZP1",1.00838451492966
"ZNF436",1.04430876044501
"TCEA3",0.853555589017226
"ASAP3",1.10321200031479
"GALE",0.708983330141871
"HMGCL",0.838639316386016
"FUCA1",1.55074451840798
"CNR2",1.17147010291843
