"Gene","BF.SCZ","BF.denovo.coding","BF.combine"
"SCN2A",0.983898058948929,17086885921.6339,16811753891.7774
"CHD8",0.96994935269066,7317632288.7186,7097732701.67088
"SYNGAP1",0.991318572963925,4940271.88482436,4897383.27491788
"ARID1B",0.9291187349251,2832734.42993522,2631946.62992019
"DYRK1A",1.02605991373139,2537352.01494809,2603475.18956381
"KDM5B",0.949832155722109,303954.154212024,288705.429535897
"ANK2",0.846066796277307,151878.562062526,128499.408427446
"SUV420H1",1.01553508739829,100375.302828944,101934.641931021
"ADNP",0.965416572105731,90860.4873242612,87718.2202124445
"TBR1",0.980616002361708,28167.423028433,27621.4257669731
"DSCAM",1.0087757605904,25954.2828314577,26182.0514038821
"POGZ",1.00140412506138,11714.5720959029,11731.0208201661
"GRIN2B",1.09088904107491,8187.97696786601,8932.1743428188
"CHD2",0.976312033045997,8698.8616165949,8492.80327008356
"DNMT3A",2.53520472049442,986.2210792997,2500.2723356917
"ASH1L",1.05756737062086,1085.7435800841,1148.24698315802
"VENTX",424.207573594658,0.7517395176,318.893596736315
"ILF2",0.998072335576902,311.2248492947,310.624912225131
"KATNAL2",1.04227212707249,276.719371746,288.416888191866
"KDM6B",0.901047612325893,316.7012439673,285.362899697376
"WAC",0.994253969892406,253.943022038,252.483857787756
"SPAST",0.978856775834891,257.5941296653,252.14775923817
"TCF7L2",1.01661618795932,242.8269379847,246.86179602784
"CUL3",0.990257767395538,226.6669287434,224.458686799843
"FOXP1",0.969514247559165,224.8433807942,217.988861149348
"NCKAP1",1.00747201672609,185.5009088584,186.886974752095
"TRIP12",1.93567657812852,91.1884394548,176.511326448747
"RANBP17",0.89467796503362,191.1242099822,170.994619255533
"CACNA2D3",0.931753992691956,171.6981334452,159.980421375321
"PHF2",1.0379399639437,149.9146747518,155.602432106515
"BCL11A",0.972440625431879,143.8910896966,139.925541258636
"PTK7",0.956833115404481,142.5155286449,136.363577266816
"GIGYF1",0.971160084110743,136.5267443325,132.589324509317
"ANKRD11",6.24030650864249,21.0996517809,131.66829433844
"WDFY3",1.13946503200023,115.4410583416,131.541049237352
"MYT1L",0.878477738151545,139.2408807766,122.320014002856
"RIMS1",1.01005479645301,110.2496530618,111.358190882351
"TNRC6B",0.970013495800716,110.2496530618,106.943651377293
"DIP2A",1.146776907227,87.8401998709,100.733112738152
"TRIO",0.966991451562261,103.7477202412,100.323158592313
"ASXL3",0.985486123258055,86.3695432631,85.1159863579213
"SLC6A1",0.995701070076652,80.4953043516,80.1492606790339
"GIMAP8",1.49556364698421,50.9868983056,76.2541515783362
"TBL1XR1",1.00193298526338,66.4607795841,66.5892472916288
"ACHE",0.959980196238434,68.7539981346,66.0024766214302
"ZFYVE26",1.26402048413821,51.2348482867,64.7618977361023
"TSPAN4",0.97170788819905,66.6105161374,64.7259639677217
"PYHIN1",0.980370561217763,62.5519469934,61.3240873791833
"TMEM39B",0.989382373584419,60.488016495,59.8457773332366
"MYH10",0.919394717071012,64.1459083431,58.9754092523675
"GABRB3",1.01661618795932,57.4645044516,58.419345458557
"PRKAR1B",0.965464942545018,55.7041215198,53.7803764826344
"MFRP",0.992926955392608,53.7631033636,53.3828345352774
"FBXO11",1.00944886511639,49.1140158812,49.5780875925857
"CCIN",0.96592936047978,50.9868983056,49.2497420731758
"NAA15",0.992563817234837,49.5479286243,49.1794811714145
"USP45",0.924257565533747,52.2396632775,48.2829040051648
