"Gene","BF","LoF.BF","nonLoF.BF"
"APOL5",0.853016808903635,1,0.853016808903635
"WDHD1",0.85301101972197,1,0.85301101972197
"ADAM2",0.852979323771161,1,0.852979323771161
"TNFRSF10B",0.852971079793712,1,0.852971079793712
"TEX26",0.852944939058393,1,0.852944939058393
"ATP6V1H",0.852917333736435,1,0.852917333736435
"HSPA6",0.852864662751972,1,0.852864662751972
"SNAPC5",0.852835410450139,1,0.852835410450139
"LDLRAD1",0.852821847634113,1,0.852821847634113
"BIN2",0.852742388694886,1,0.852742388694886
"IL25",0.852656835556922,1,0.852656835556922
"ERAP2",0.852654569432075,1,0.852654569432075
"GCLC",0.85264741727986,1,0.85264741727986
"SLC27A1",0.852609181437492,1,0.852609181437492
"TUB",0.852509328105732,1,0.852509328105732
"IPO11",0.852489296119248,1,0.852489296119248
"TMEM88",0.852465584597954,1,0.852465584597954
"AP5Z1",0.852404751928455,1,0.852404751928455
"ATAD3A",0.852382310025372,1,0.852382310025372
"TMPRSS2",0.852368928993544,1,0.852368928993544
"CEACAM4",0.85235329232588,1,0.85235329232588
"COL9A1",0.852284624946413,1,0.852284624946413
"MTHFSD",0.852255827160943,1,0.852255827160943
"TRAFD1",0.852233250945383,1,0.852233250945383
"EIF4ENIF1",0.852224543000619,1,0.852224543000619
"SOX5",0.852176348648064,1,0.852176348648064
"SERPINC1",0.852030568145516,1,0.852030568145516
"GNA15",0.851983423101757,1,0.851983423101757
"SH3TC1",0.851941100134773,1,0.851941100134773
"CAV3",0.851918739298166,1,0.851918739298166
"PCDHA9",0.85191517403548,1,0.85191517403548
"SLC44A3",0.851892377024551,1,0.851892377024551
"COX4I2",0.851884070337133,1,0.851884070337133
"CCDC54",0.851874528537213,1,0.851874528537213
"CELA3B",0.851845377664567,1,0.851845377664567
"SSTR5",0.851830725833283,1,0.851830725833283
"ZFP82",0.851804949667674,1,0.851804949667674
"LGALS13",0.851797486061112,1,0.851797486061112
"KIFC2",0.851761488013331,1,0.851761488013331
"ZNF410",0.851700106027247,1,0.851700106027247
"SRA1",0.851681732506446,1,0.851681732506446
"FAM13C",0.851648788250615,1,0.851648788250615
"OR10T2",0.85146859998424,1,0.85146859998424
"SLC2A4",0.851459540591292,1,0.851459540591292
"ABHD14A",0.851435113410987,1,0.851435113410987
"KRTAP10-1",0.851404696809077,1,0.851404696809077
"ATXN7L1",0.851388609177003,1,0.851388609177003
"YIPF3",0.851344885515468,1,0.851344885515468
"DNAJC30",0.851327430056756,1,0.851327430056756
"CLDN19",0.851264117768792,1,0.851264117768792
"MON1A",0.851240186910978,1,0.851240186910978
"NUP107",0.851238196232589,1,0.851238196232589
"CACNA1A",0.851098637036605,1,0.851098637036605
"PTPN23",0.851040350784088,1,0.851040350784088
"CYP7A1",0.851027172017038,1,0.851027172017038
"NOX5",0.850988271041832,1,0.850988271041832
"GAS8",0.850912149003546,1,0.850912149003546
"TANGO2",0.85087685732426,1,0.85087685732426
"GSR",0.850864245306167,1,0.850864245306167
"CFHR4",0.850861663832927,1,0.850861663832927
"TRIM60",0.85086005535432,1,0.85086005535432
"WFDC1",0.850859996855999,1,0.850859996855999
"TCEA3",0.850850292439785,1,0.850850292439785
"LGR4",0.850844129866394,1,0.850844129866394
"ARL10",0.850830578375096,1,0.850830578375096
"HEG1",0.85074700548164,1,0.85074700548164
"ATAD2B",0.850648852300487,1,0.850648852300487
"KAT6B",0.850612265647298,1,0.850612265647298
"CCDC109B",0.850522703063147,1,0.850522703063147
"PI16",0.850389449089244,1,0.850389449089244
"GATA4",0.850368383197272,1,0.850368383197272
"GRXCR2",0.850356295300385,1,0.850356295300385
"ERMARD",0.850313097892947,1,0.850313097892947
"NPHP4",0.850253364953545,1,0.850253364953545
"SUSD3",0.850219253423136,1,0.850219253423136
"CD46",0.850176450598298,1,0.850176450598298
"SSH3",0.850162378492105,1,0.850162378492105
"MUC20",0.850105899104204,1,0.850105899104204
"CCR6",0.850061146817389,1,0.850061146817389
"UBQLN1",0.850043812463083,1,0.850043812463083
"PDE8A",0.850031712429055,1,0.850031712429055
"VSIG10",0.849978924708425,1,0.849978924708425
"STRIP2",0.849964069539658,1,0.849964069539658
"C10orf113",0.849943351546594,1,0.849943351546594
"ZNF345",0.849940299644597,1,0.849940299644597
"VPS52",0.84983726200292,1,0.84983726200292
"LYPD4",0.849824931826409,1,0.849824931826409
"JAG1",0.849815529370618,1,0.849815529370618
"CCKBR",0.84974424575002,1,0.84974424575002
"IREB2",0.849708364894672,1,0.849708364894672
"SPON2",0.849708342191481,1,0.849708342191481
"FKBP8",0.849696186796935,1,0.849696186796935
"CAMK1D",0.849680206371817,1,0.849680206371817
"CCNG1",0.849668632102582,1,0.849668632102582
"KNSTRN",0.849607999611626,1,0.849607999611626
"MRPL54",0.849520736779678,1,0.849520736779678
"PEX26",0.849519990811699,1,0.849519990811699
"PLEKHB1",0.849480497938575,1,0.849480497938575
"TCN2",0.849437872762882,1,0.849437872762882
"SPINT2",0.84942763033677,1,0.84942763033677
"PIK3R3",0.849353270452572,1,0.849353270452572
"BTBD9",0.849349148314835,1,0.849349148314835
"SLC14A2",0.849292336887721,1,0.849292336887721
"POU4F2",0.849240919878854,1,0.849240919878854
"TPRG1",0.8492290008026,1,0.8492290008026
"INO80D",0.849213178487454,1,0.849213178487454
"ENPP1",0.849204324890077,1,0.849204324890077
"ADAMTS4",0.849168352084228,1,0.849168352084228
"ACPT",0.849152692305354,1,0.849152692305354
"TRAF3IP1",0.849151716363048,1,0.849151716363048
"EPHA4",0.849150904213065,1,0.849150904213065
"FAM89A",0.849133179314483,1,0.849133179314483
"SDHA",0.849094950619775,1,0.849094950619775
"DTWD2",0.849087751548504,1,0.849087751548504
"IDH2",0.849084419523551,1,0.849084419523551
"CLCN6",0.849083362078955,1,0.849083362078955
"CYP2U1",0.849071181038398,1,0.849071181038398
"DCN",0.849023526991337,1,0.849023526991337
"ITM2C",0.849017232949915,1,0.849017232949915
"ETS2",0.84901402809378,1,0.84901402809378
"TRPV6",0.84896580010418,1,0.84896580010418
"TMEM79",0.848947416888814,1,0.848947416888814
"OR56A1",0.84893772282396,1,0.84893772282396
"ALG5",0.848922291265224,1,0.848922291265224
"CCIN",0.848910899674667,1,0.848910899674667
"C20orf141",0.848834670895375,1,0.848834670895375
"OR52E8",0.848805867566517,1,0.848805867566517
"IPPK",0.848711418846522,1,0.848711418846522
"DPYSL3",0.848601643811344,1,0.848601643811344
"FFAR4",0.848494967364307,1,0.848494967364307
"SYT13",0.848428044035426,1,0.848428044035426
"TLR4",0.84836488572038,1,0.84836488572038
"SIGLEC6",0.848357265555073,1,0.848357265555073
"DDX4",0.848326922800892,1,0.848326922800892
"OR9I1",0.848264287872638,1,0.848264287872638
"ALDH3B2",0.848242391222706,1,0.848242391222706
"CD200R1",0.84824081314149,1,0.84824081314149
"OR8H1",0.848238079149731,1,0.848238079149731
"AMMECR1L",0.848209889295814,1,0.848209889295814
"SLC35G6",0.848179770693082,1,0.848179770693082
"AS3MT",0.848155676582206,1,0.848155676582206
"MYOZ2",0.848145577717375,1,0.848145577717375
"LRRC16A",0.848127670797858,1,0.848127670797858
"ZFP3",0.848120783267496,1,0.848120783267496
"METTL12",0.848070447003446,1,0.848070447003446
"TMEM145",0.848063527079709,1,0.848063527079709
"ATP10B",0.847969550263976,1,0.847969550263976
"KIAA1244",0.847945905282108,1,0.847945905282108
"OXCT1",0.847910709642248,1,0.847910709642248
"ADNP",0.847854692939259,1,0.847854692939259
"C1orf216",0.847782083475427,1,0.847782083475427
"WDR78",0.84776608869972,1,0.84776608869972
"ZBTB4",0.847747635764217,1,0.847747635764217
