"","Gene","BF"
"1","COL9A2",0.95037406329823
"2","OR10R2",0.994472489874686
"3","OBSCN",0.802346244203115
"4","SEMA4C",0.929773687215032
"5","SULT1C3",0.985233063656376
"6","PTH2R",0.945279923990527
"7","TTLL3",0.980237022350167
"8","MST1",1.00364858023079
"9","COL6A5",1.04679810554124
"10","KNG1",1.01465811116782
"11","ATP13A5",0.889142826651979
"12","UGT2A1",0.94282346284873
"13","CCDC125",1.01130566246933
"14","FAM81B",0.918402687389777
"15","SLC17A4",1.00702228213436
"16","TRIM38",0.973024217602586
"17","OR10C1",0.873175669424874
"18","BTNL2",1.06047701813052
"19","PNPLA1",0.992479697737522
"20","KIAA1919",0.977098728731449
"21","INMT",0.932473893689105
"22","IFNE",1.00546003032903
"23","ZNF883",0.999999999999941
"24","ANKRD30A",1.24352383361507
"25","CYP2C18",0.98618075436962
"26","PKD2L1",0.989587146718813
"27","OR8K3",1.00725124471244
"28","OR4D10",0.987738980407678
"29","OR10V1",0.998692869671203
"30","MMP8",0.923401944998898
"31","RAD52",0.958061041047541
"32","ACSM4",0.981376106766896
"33","KRT83",0.987081947508372
"34","OLFM4",0.926287745281698
"35","CLYBL",0.980863171673197
"36","C14orf105",0.955231943169205
"37","OR4M2",0.996975308846799
"38","CALML4",0.976720211367589
"39","ABCC12",1.42329685095514
"40","CIAPIN1",0.979752677780288
"41","HSD17B2",1.01081326402014
"42","OR1D5",1
"43","EFCAB13",0.980312004366012
"44","STARD6",0.990359582179566
"45","ZNF77",0.964994917625196
"46","OR7G1",1.00471208772184
"47","FAM187B",1.06089042081651
"48","LAIR2",0.999213535871979
"49","ZIM3",1.00568001745743
"50","ZNF544",0.982935205788469
"51","SIGLEC1",0.987896921879386
"52","KIAA1755",0.995313757979411
"53","ZSWIM1",1.00357079607968
"54","CCT8L2",0.959812327000281
"55","PRODH",1.05129972434717
"56","SLC5A4",0.92611604148354
"57","MRPL20",1.01757106609196
"58","VWA1",0.999999999999982
"59","ARHGEF16",0.994555990818269
"60","TPRG1L",1.03350847362091
"61","CCDC27",0.960259533073444
"62","CEP104",0.944458966548211
"63","C1orf174",0.979653590975556
"64","RNF207",0.965827869761133
"65","TAS1R1",1.00963137711498
"66","MASP2",0.876492209201378
"67","ANGPTL7",0.981457022984797
"68","UBIAD1",0.979407254395919
"69","FBXO2",0.973034765478808
"70","DRAXIN",0.98309627132539
"71","C1orf158",0.963022208700264
"72","CASP9",0.996250844408428
"73","RSC1A1",0.97165055514853
"74","CLCNKA",1.09674522655732
"75","ARHGEF19",0.941314197265371
"76","CROCC",0.845227153348566
"77","PADI2",0.963000577041853
"78","PADI1",1.00425603298793
"79","PADI3",1.01718501637882
"80","EMC1",1.02823362306781
"81","AKR7A3",0.985330505491983
"82","TMCO4",1.01351505194291
"83","RNF186",0.967745835449291
"84","UBXN10",0.954938277032365
"85","NBPF3",0.968178066851185
"86","TCEA3",0.955340348295373
"87","CNR2",0.950848547652333
"88","RSRP1",0.979555276756462
"89","PAFAH2",0.930960724442106
"90","CNKSR1",1.24275851012631
"91","UBXN11",0.944422298059167
"92","GPATCH3",0.977460850833442
"93","FAM46B",0.970159226004768
"94","THEMIS2",1.0333215379023
"95","SESN2",1.01130992613545
"96","ZCCHC17",0.998072335576889
"97","IQCC",0.97721411297667
"98","DCDC2B",0.930595621578936
"99","EIF3I",0.99807233557688
"100","ZSCAN20",0.924719714081479
"101","GJB4",0.990481501576211
"102","OSCP1",0.948332937076892
"103","CSF3R",0.887838945109936
"104","EPHA10",0.981548793945891
"105","INPP5B",0.915303359080855
"106","UTP11L",1.00266831409349
"107","HEYL",0.992350835481063
"108","TRIT1",0.953511734494155
"109","PPT1",0.96787696265833
"110","ZFP69",1.11423269279886
"111","SLFNL1",0.993768375358823
"112","HIVEP3",0.869159550895312
"113","GUCA2A",0.976401935466574
"114","ZMYND12",0.96093735716231
"115","CCDC30",0.945104330486731
"116","ERMAP",0.995533131927495
"117","FAM183A",0.998470257902818
"118","WDR65",0.927318368026725
"119","SZT2",1.10492823800458
"120","DPH2",0.986910657629779
"121","KLF17",1.00252327516677
"122","KIF2C",0.920880685777527
"123","BEST4",1.06970398217717
"124","TESK2",0.917578377117612
"125","PIK3R3",0.952608463948136
"126","CYP4A22",0.934723444475089
"127","CC2D1B",0.904185323687605
"128","PRPF38A",1.01135166712991
"129","FAM159A",0.987688406053642
"130","PODN",0.969414416290822
"131","CYB5RL",0.997095857286262
"132","FAM151A",0.928764791722746
"133","MROH7",1.24393468856827
"134","C1orf177",0.994832058294042
"135","BSND",1.00577107208082
"136","PRKAA2",0.949622849827261
"137","C1orf168",0.986423484770305
"138","C8B",0.929986950607729
"139","CYP2J2",0.980211677577941
"140","ATG4C",0.984901247653829
"141","LEPROT",1.09345296528747
"142","INSL5",1.0057687860067
"143","RPE65",1.03324030586685
"144","DEPDC1",0.959659966067736
"145","LRRIQ3",0.959552019710994
"146","FPGT-TNNI3K",0.985013941671267
"147","ERICH3",0.918231783745991
"148","ACADM",0.958908055227779
"149","ASB17",0.982642466488233
"150","NEXN",0.979006077240445
"151","PTGFR",0.957627371805503
"152","IFI44L",0.993015452879876
"153","IFI44",0.949547625927769
"154","RPF1",0.92886059894934
"155","CTBS",0.932690688806859
"156","MCOLN2",0.995593484952882
"157","WDR63",0.937389035268112
"158","SYDE2",1.33469121320308
"159","DDAH1",0.983429550662976
"160","CLCA1",0.974356394324171
"161","CLCA4",0.944692113847602
"162","GBP3",0.978017965590074
"163","GBP7",1.00050490104977
"164","ABCA4",0.866629230959794
"165","PALMD",0.99091795267263
"166","AGL",1.00892174717663
"167","TRMT13",0.969086508814707
"168","DPH5",0.996151110455811
"169","FAM102B",0.997573797175288
"170","FNDC7",0.977127492609336
"171","GPSM2",1.33663423593888
"172","KIAA1324",0.895078671746291
"173","MYBPHL",0.990966482887162
"174","EPS8L3",1.03413937601249
"175","PROK1",0.995646671323491
"176","LRIF1",0.984207965868128
"177","CHIA",0.969359803172751
"178","PIFO",1.01669915949569
"179","ADORA3",0.896627704065672
"180","PHTF1",0.998480115419323
"181","RSBN1",0.967479204686304
"182","PTPN22",0.933738898103947
"183","BCL2L15",0.979116579087019
"184","AP4B1",1.12342120349999
"185","SIKE1",0.999999999999982
"186","PTGFRN",0.915315719045739
"187","CD101",0.890038740110834
"188","TRIM45",0.901953404803702
"189","SPAG17",0.930244338144318
"190","NBPF7",0.999999999999961
"191","ITGA10",1.42881626254082
"192","PIAS3",1.03819844139836
"193","CD160",0.984296681630471
"194","GJA8",0.977527834098856
"195","ECM1",0.927853338285638
"196","ANXA9",1.00940980527342
"197","GABPB2",0.977585999106725
"198","PSMB4",1.00193298526336
"199","CGN",1.03008529771059
"200","TUFT1",0.942423079754659
"201","RORC",1.06687874418037
"202","TCHHL1",0.994546647645825
"203","TCHH",0.905876209659514
"204","RPTN",0.940522573369577
"205","HRNR",1.01426604669758
"206","FLG",0.763756228581878
"207","FLG2",0.884695894141872
"208","LCE2A",0.98335815816659
"209","SMCP",0.999999999999982
"210","SPRR1A",0.988338134626446
"211","S100A4",1.01661780915045
"212","S100A2",1.00000000000007
"213","SLC27A3",0.936557087952572
"214","HAX1",0.999009796006306
"215","FLAD1",0.940165164683011
"216","KRTCAP2",0.983968193843614
"217","THBS3",0.920824546695533
"218","HCN3",0.945610149605973
"219","ASH1L",1.05756737062086
"220","RAB25",0.98197987545126
"221","LMNA",0.975517322661636
"222","PMF1",0.981870631415775
"223","TMEM79",0.96556714042326
"224","TSACC",0.981089837562193
"225","IQGAP3",1.00771918049362
"226","MRPL24",1.01968729453296
"227","INSRR",0.929923452837402
"228","PEAR1",1.05438212961661
"229","FCRL5",0.9431343246725
"230","FCRL3",0.965191684737936
"231","FCRL2",0.916646104423472
"232","CD5L",0.983653277663331
"233","CD1D",0.978180272074823
"234","CD1A",0.97094124332548
"235","CD1C",0.971354790118601
"236","CD1B",0.982176595938123
"237","OR10T2",0.964478629297573
"238","OR10Z1",0.969388750499743
"239","OR6N1",0.955127762469124
"240","OR6N2",0.972423438302856
"241","AIM2",0.987302120391497
"242","OR10J1",1.02805819442359
"243","CRP",0.997709467328704
"244","FCRL6",0.987076402925511
"245","SLAMF8",0.955884116949025
"246","CCDC19",0.941730871908463
"247","IGSF8",1.02374743491278
"248","ATP1A4",0.997558847524555
"249","CD244",0.9953773930023
"250","ITLN2",0.926104491825565
"251","ADAMTS4",0.969735102093085
"252","NR1I3",1.03310033470722
"253","C1orf192",1.00097878138979
"254","OLFML2B",1.2128534293028
"255","RXRG",0.988338134626446
"256","TMCO1",0.974045629452072
"257","TADA1",0.994289444990087
"258","DCAF6",0.9438103033882
"259","TBX19",0.960039504932025
"260","NME7",1.03704197943285
"261","SELP",1.07797137582678
"262","SELE",0.834003901494005
"263","METTL18",0.983779772246159
"264","C1orf112",1.11742994094564
"265","GORAB",0.983090393213108
"266","MROH9",0.935318346216698
"267","FMO3",0.97496645471506
"268","FMO4",0.949431023477108
"269","MYOC",1.10911123062331
"270","TNFSF18",0.979852522603653
"271","TNN",0.922662778618926
"272","AXDND1",0.978671020429637
"273","TDRD5",0.953685086966149
"274","KIAA1614",0.992170468311476
"275","RNASEL",0.984741558489588
"276","NPL",0.945908482208757
"277","SHCBP1L",0.926657981025754
"278","NCF2",1.22645996462531
"279","FAM129A",0.953652425110922
"280","HMCN1",0.664272632871362
"281","PDC",1.03350847362092
"282","CFHR2",0.985870550561656
"283","CFHR5",0.946106231173023
"284","ASPM",0.979550346898681
