"","No_case","No_contr","OR","pval","eta_est","eta_pval"
"PLI>=0.995",132,381,0.346456692913386,1,3.75171717334626e-05,1
"pLI>=0.5&pLI<0.995",45,40,1.125,0.332322745206607,0.16603348945568,0.324099480041996
"pLI<0.5",32,22,1.45454545454545,0.110164247088306,0.229937949227801,0.269019017691276
"MPC>=2",788,955,0.825130890052356,0.999971748321571,0.000300706889380126,1
"MPC>=1&MPC<2",5481,5762,0.951232211037834,0.996089123605933,0.000652635429898795,1
"MPC<1",30680,30991,0.989964828498596,0.895507438193622,0.000133547978391558,1
