"","No_case","No_contr","OR","pval","eta_est","eta_pval"
"PLI>=0.995",1351,1220,1.10737704918033,0.00516903148994775,0.129693655754347,0.00161747794301974
"pLI within (0.5,0.995)",2939,2764,1.06331403762663,0.0106050039222089,0.0642578774318557,0.0211125077452027
"pLI<0.5",109275,108331,1.00871403384073,0.0216132875396888,0.0039017045316274,0.891901389040572
"MPC>=2",48444,47081,1.02895010726195,5.24490270687938e-06,0.0348507215741346,0.00248235586277044
"MPC within (1,2)",325810,319274,1.02047144458991,2.03324755344101e-16,0.0101188306502496,1.75703460627272e-11
"MPC<1",4770861,4747671,1.00488450021073,2.81996754375752e-14,0.00131287637121714,2.49909118644055e-28
