"","No_case","No_contr","OR","pval","eta_est","eta_pval"
"(1):PLI>=0.995",712,1603,0.444167186525265,1,0.00567746911883271,1.76717242661813e-29
"(2):pLI>=0.5&pLI<0.995",645,898,0.71826280623608,0.999999999954326,5.72432009209262e-05,1
"(3):pLI<0.5",1976,2694,0.733481811432814,1,0.000204493751425403,1
"(4):MPC>=2",10068,11577,0.869655351127235,1,0.000191772891662256,1
"(5):MPC>=1&MPC<2",54752,57131,0.958358859463339,0.999999999999443,0.00127937705314679,1.28513416279411e-06
"(6):MPC<1",157653,160577,0.981790667405668,0.999999892058238,0.000325712700322791,1
