"","No_case","No_contr","OR","pval","eta_est","eta_pval"
"PLI>=0.995",31,20,1.55,0.0803898009059942,0.227081329462753,0.34222213568911
"pLI>=0.5&pLI<0.995",12,1,12,0.001708984375,0.999981300250296,0.00134619050260191
"pLI<0.5",18,11,1.63636363636364,0.132465448230505,0.299145839325167,0.293702957270973
"MPC>=2",607,546,1.11172161172161,0.0385913953410309,0.0681469370073965,0.222085859750664
"MPC>=1&MPC<2",4740,4685,1.01173959445037,0.289028559047774,0.0335249804325294,0.0796923054077521
"MPC<1",28977,28532,1.01559652320202,0.0320510107488595,0.000207472381816563,1
