"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","All_variants_T","All_variants_UT","All_variants_OR","All_variants_P_value"
"HLA-DRB1",240,375,0.64002282363974,1,423,944,0.448112801936344,1,663,1319,0.502678610067653,1
"SSC5D",8,19,0.421051958113575,0.99042135477066,1638,1787,0.916626271831469,0.994817678516634,1646,1806,0.91141153636755,0.996934416442197
"GSTM1",0,0,0,1,67,276,0.242794582490451,1,67,276,0.242794582490451,1
"TXNDC2",0,1,0,1,653,850,0.768250890879133,1,653,851,0.767348208554122,0.999999861580344
"PRAM1",1,0,Inf,0.5,240,334,0.718581825652953,1,241,334,0.721575660809717,0.999957228079305
"ENPP7",4,2,1.99989729293577,0.34375,460,380,1.21050914739441,0.0031907836588988,464,382,1.21464210898684,0.00266241692771133
"PTEN",4,0,Inf,0.0625,16,15,1.06669150059046,0.5,20,15,1.33330280755486,0.249779916601255
"SUPT5H",2,0,Inf,0.25,41,36,1.13887807459042,0.324395581155324,43,36,1.19442843223008,0.249948438430164
"MICAL3",4,0,Inf,0.0625,1473,1471,1.00135956034137,0.492648020568492,1477,1471,1.00407879174916,0.46331481555818
"SKI",1,0,Inf,0.5,175,171,1.02339441923223,0.435951005582223,176,171,1.02924423585707,0.415007688242714
"DPH1",2,1,1.99989728727585,0.5,460,425,1.08232358555077,0.126533762376722,462,426,1.0844795385842,0.120084437643689
"MSTO1",1,1,1,0.75,169,136,1.24262634657358,0.033364283284716,170,137,1.24085538351495,0.0338125254459479
"TOE1",0,1,0,1,488,477,1.02306363952556,0.373769366847501,488,478,1.02092273577951,0.386081282804118
"NRXN2",0,1,0,1,208,195,1.06669290350839,0.275025838989185,208,196,1.06124663208036,0.292123769616384
"CTNNA2",0,0,0,1,87,71,1.22533307744675,0.116317494502038,87,71,1.22533307744675,0.116317494502038
"SCMH1",3,1,2.99997694771041,0.3125,207,172,1.20347165025888,0.0402968898647094,210,173,1.21385508349673,0.0328496214989042
"NAB2",1,0,Inf,0.5,115,118,0.974573107210167,0.603324186456899,116,118,0.983049774721396,0.577713918018864
"ACACA",2,0,Inf,0.25,126,119,1.05884348378998,0.350780570394266,128,119,1.07559250010938,0.30541131529874
"DGKH",2,0,Inf,0.25,681,643,1.05912123242197,0.154611426278607,683,643,1.06223415705848,0.14208063277959
"MYH10",3,0,Inf,0.125,252,215,1.17207937305897,0.0478159439024765,255,215,1.18603153731072,0.0359579466933704
"DNM2",1,0,Inf,0.5,93,83,1.12047277698191,0.248814685111706,94,83,1.13251992127606,0.226179151181842
"INTS3",0,0,0,1,49,31,1.58058727378862,0.0283322131725605,49,31,1.58058727378862,0.0283322131725605
"MYT1",1,0,Inf,0.5,346,363,0.953154636150679,0.750467258785636,347,363,0.95591104977818,0.738248212194381
"PI4KA",3,4,0.750017180487538,0.7734375,318,308,1.03247349886209,0.359546760691114,321,312,1.02885071418165,0.375267603157248
"MVK",1,0,Inf,0.5,71,47,1.51058816393378,0.016894087735913,72,47,1.53186240117035,0.0136895512504652
"SF3B3",1,0,Inf,0.5,252,258,0.976741497207206,0.6216888314266,253,258,0.980618472370556,0.604643175723994
"HOXB4",0,0,0,1,44,33,1.33330283206595,0.12715233307385,44,33,1.33330283206595,0.12715233307385
"ANGPT1",0,0,0,1,293,269,1.08919399309343,0.165976481257558,293,269,1.08919399309343,0.165976481257558
"ITPRID2",0,0,0,1,2572,2455,1.04767884661592,0.0509070542411559,2572,2455,1.04767884661592,0.0509070542411559
"ZBTB17",2,0,Inf,0.25,72,64,1.12499043955411,0.274251180743369,74,64,1.15623764401005,0.221857501763336
"ZMIZ1",0,0,0,1,74,69,1.07249354618528,0.369068401520926,74,69,1.07249354618528,0.369068401520926
"PRH2",4,0,Inf,0.0625,38,26,1.46149376318315,0.0843214557198518,42,26,1.61532291259217,0.03405933714205
"GOLGA8H",134,152,0.881586955308002,0.869403969967344,463,462,1.00216440252245,0.5,597,614,0.972308107183668,0.697500032846535
"REV3L",0,0,0,1,1448,1386,1.04474857029031,0.125925262048015,1448,1386,1.04474857029031,0.125925262048015
"NFKBIZ",0,0,0,1,201,175,1.14855989883567,0.0986182106879219,201,175,1.14855989883567,0.0986182106879219
"CDKN1C",0,0,0,1,21,9,2.33334168832185,0.0213869726285338,21,9,2.33334168832185,0.0213869726285338
"ARNT2",1,0,Inf,0.5,146,159,0.918261837247481,0.788595765814558,147,159,0.924556513306144,0.771280037253206
"SEPHS1",0,0,0,1,30,12,2.4999890788585,0.00395794866744837,30,12,2.4999890788585,0.00395794866744837
"HGF",3,0,Inf,0.125,926,870,1.06439685488775,0.0971700574083661,929,870,1.06777866989556,0.0857330510506989
"TTN",57,38,1.49995103751531,0.0321064033135654,25268,24467,1.03274899055339,0.000167060628250081,25325,24505,1.03347406936499,0.000121751354095499
"ATP6V0D1",1,0,Inf,0.5,13,5,2.5999835632705,0.048126220703125,14,5,2.79997353758009,0.0317840576171875
"ITGB3",2,1,1.99989728727585,0.5,172,150,1.14665528115629,0.120920990507518,174,151,1.15230598486336,0.111139102143555
"BRWD1",4,1,3.9993936007291,0.1875,380,330,1.15150352230132,0.0329243759434083,384,331,1.16010843562624,0.0258681694718296
"CEP350",3,0,Inf,0.125,1703,1616,1.05386019151588,0.067741806985966,1706,1616,1.05571827444063,0.0612692009991497
"PPARG",0,0,0,1,38,18,2.11099689318501,0.0052274091609461,38,18,2.11099689318501,0.0052274091609461
"RARA",1,0,Inf,0.5,57,35,1.62850829749877,0.0140084509794733,58,35,1.65707661812081,0.0110092941869617
"ADCY5",0,0,0,1,213,168,1.26783384854087,0.012028765929481,213,168,1.26783384854087,0.012028765929481
"PGA3",0,0,0,1,91,98,0.928603424656168,0.719629996049797,91,98,0.928603424656168,0.719629996049797
"SLC20A1",4,0,Inf,0.0625,87,97,0.896914193620507,0.791260354159192,91,97,0.938122433715975,0.695099801185761
"ARHGAP11A",1,2,0.500025679499842,0.875,1162,1115,1.04216546015869,0.16752399269936,1163,1117,1.04119412007851,0.17298948579239
"ATXN10",4,0,Inf,0.0625,40,53,0.754733832646497,0.926911485676423,44,53,0.830200390864438,0.845033232880496
"MGAT5B",1,1,1,0.75,348,319,1.09088588760712,0.139140759949225,349,320,1.09060155752977,0.139500668543027
"MUCL3",0,0,0,1,1881,1783,1.05498879653926,0.0545178755498933,1881,1783,1.05498879653926,0.0545178755498933
"NBEAL2",3,0,Inf,0.125,475,470,1.01063855967852,0.448240208674588,478,470,1.01702256822947,0.410083399147355
"HMGCS1",0,0,0,1,45,35,1.28568892388429,0.157153289931969,45,35,1.28568892388429,0.157153289931969
"FGD6",4,0,Inf,0.0625,595,573,1.03840376222379,0.269462741021406,599,573,1.04538853108904,0.232623734673492
"ACIN1",1,0,Inf,0.5,489,494,0.989878325021835,0.575876117150139,490,494,0.991902796009599,0.563315647411385
"AP3D1",1,0,Inf,0.5,144,123,1.17071807591336,0.110444236711677,145,123,1.17884738869232,0.0997398385280134
"MEGF10",3,0,Inf,0.125,184,140,1.31425742200764,0.00838303586811487,187,140,1.3356836600929,0.00542681155379407
"RIPOR2",4,2,1.99989729293577,0.34375,1336,1223,1.09238532329834,0.0134037880872201,1340,1225,1.09386883269067,0.012185698401259
"CNTN4",4,0,Inf,0.0625,225,230,0.978258626232249,0.610735584375386,229,230,0.995652308776469,0.537181346738635
"DDB1",0,0,0,1,39,17,2.29412863269647,0.00228076637320412,39,17,2.29412863269647,0.00228076637320412
"CAPRIN1",6,1,5.99928153460606,0.0625,34,39,0.871803651606945,0.758605721577989,40,40,1,0.544463939386954
"CELF3",0,0,0,1,39,38,1.0263190821264,0.500000000000002,39,38,1.0263190821264,0.500000000000002
"OR2B6",1,1,1,0.75,218,194,1.12370202092091,0.128566580575238,219,195,1.12306765923763,0.129143136780827
"RENBP",4,0,Inf,0.0625,362,384,0.94268800763879,0.800123455863023,366,384,0.953111489313669,0.756077918382555
"C4orf3",3,0,Inf,0.125,73,66,1.10604720054739,0.305486844978012,76,66,1.15150323151077,0.225103996174616
"TP63",4,1,3.9993936007291,0.1875,151,129,1.17052902924283,0.104702430349628,155,130,1.19229200958495,0.0775042568147307
"JTB",0,0,0,1,75,77,0.974022696114501,0.596076845198236,75,77,0.974022696114501,0.596076845198236
"EPHA4",3,0,Inf,0.125,73,66,1.10604720054739,0.305486844978012,76,66,1.15150323151077,0.225103996174616
"ZNF282",0,0,0,1,152,167,0.910195103285324,0.814815073034968,152,167,0.910195103285324,0.814815073034968
"PTCH1",1,0,Inf,0.5,330,323,1.02167412025771,0.407193717564297,331,323,1.02477099393977,0.392161693348199
"LMCD1",0,1,0,1,355,332,1.06930652700287,0.200644303905007,355,333,1.06609286329039,0.211686698889486
"CKAP5",3,0,Inf,0.125,122,126,0.968248611212731,0.624531374492981,125,126,0.992063528990724,0.550212164682439
"KIAA1109",12,4,2.99997455912079,0.0384063720703125,2644,2542,1.04014089074307,0.0803786609741398,2656,2546,1.04322247869168,0.0653562057598237
"COL4A3",3,1,2.99997694771041,0.3125,1270,1287,0.986790085533433,0.639062767388004,1273,1288,0.988353411735171,0.624058235243608
"CDC37",1,0,Inf,0.5,88,66,1.33330287575799,0.0451383636645556,89,66,1.34845273264099,0.0384379856266619
"STRN",3,0,Inf,0.125,404,445,0.907875062441966,0.925290779550227,407,445,0.914623287690546,0.909261392390803
"ADGRB1",1,0,Inf,0.5,190,138,1.37677644028563,0.00239367744945262,191,138,1.38402201405356,0.00203850251575542
"TAOK1",1,0,Inf,0.5,39,34,1.14704727166118,0.319986465876973,40,34,1.17645630401932,0.280690372149492
"EPB41L1",2,0,Inf,0.25,472,495,0.953521689930627,0.779871996202288,474,495,0.957564453995436,0.760127050412902
"KCNH7",2,0,Inf,0.25,320,314,1.01910992590465,0.421307291762658,322,314,1.02548111239289,0.390684895531426
"CARD10",0,0,0,1,196,172,1.13952415970871,0.115249215444262,196,172,1.13952415970871,0.115249215444262
"KCNV1",0,0,0,1,12,2,5.99928072774107,0.0064697265625,12,2,5.99928072774107,0.0064697265625
"CHST1",2,0,Inf,0.25,256,239,1.07108987188339,0.236043439618747,258,239,1.07946425300878,0.209728736333258
"ABLIM1",3,0,Inf,0.125,345,393,0.877870695706595,0.964398008196339,348,393,0.885503752385738,0.954505636469877
"DNER",3,0,Inf,0.125,444,377,1.17770483625675,0.0105994077190499,447,377,1.18566164036468,0.00808859840633654
"WDR70",2,0,Inf,0.25,57,45,1.26664333329024,0.138006946246251,59,45,1.31108303889621,0.101086553048088
"INO80",0,0,0,1,627,504,1.24402719127024,0.000141195275692915,627,504,1.24402719127024,0.000141195275692915
