"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"NIPBL",1,0.00217773692977651,0.0155261080333353
"FUT8",1,0.154966767119504,0.443909214495353
"DCAF5",0.25,0.0407180271645708,0.0706616209130121
"KIAA1257",0.5,0.0576812264154804,0.13743139084819
"MGA",0.25,0.00544199571788573,0.0115532033029694
"ZNF587",0.7255859375,0.295305439162994,0.522319188482981
"CCAR1",0.5,0.020017879678142,0.0658052330327325
"FBLN2",0.25,0.173167446811045,0.193243416579121
"TMEM123",0.25,0.0320953772028505,0.0561356010107637
"DDR2",0.25,0.130414667630422,0.171618177810113
"CDR2L",1,0.675604418844676,0.940541038792741
"CA11",0.25,0.0427165665786973,0.0902451465428161
"DSCAM",0.5,0.0819522737650916,0.184639723719085
"KLF6",1,0.197596678678912,0.518005087963959
"DIP2B",0.5,0.073014033732007,0.166273281254744
"JPH3",1,0.650185508870003,0.93008878304264
"POU2F2",1,0.0165719838937528,0.0845178093517207
"ZNF667",1,0.452861319933271,0.750553117043937
"RHOV",0.25,0.046142578125,0.129258889934352
"SCAF11",0.25,0.0960216161033879,0.126178842792349
"SCN10A",0.5,0.136894063108552,0.258416206607531
"SCARA5",0.875,0.811127287447749,0.948709263269119
"USP11",1,0.266154388013922,0.61845729099044
"OVOL2",0.5,0.176402049372686,0.32285180829854
"PPM1N",1,0.0255323773390884,0.119180233482363
"LONRF2",0.25,0.520838808047195,0.416463282623
"MKNK2",0.25,0.0639688378518228,0.103340796963789
"TMEM178A",0.5,0.0288063364569098,0.0983805884444791
"PTPRJ",0.2265625,0.0354834527843365,0.0546128021928031
"LARP4",0.25,0.0284113444615876,0.057433075022182
"BTG4",0.5,5.84209337830544e-05,0.000533090974896908
"SMARCD2",0.5,0.0769563846632284,0.190872795769841
"GRHL1",1,0.0308543041196121,0.138180353698254
"STAT5B",1,0.0619265297309007,0.234194158910257
"SLC4A8",1,0.0778282318569985,0.276543245497918
"MYORG",0.590334166581932,0.394696602228952,0.0126225546130554
"BAZ2A",0.25,0.995671993614198,0.595362397622817
"HBQ1",0.5,0.192460212723622,0.337953750936673
"FUT1",0.5,0.00483660927363494,0.0213994858242689
"CSNK1E",0.5,0.60092368634714,0.69059089889382
"MEF2C",1,0.143139362335205,0.421393202170496
"DOCK4",1,0.551759791325412,0.872054289906552
"MRPS25",0.25,0.56603029978578,0.478363112299427
"DBP",1,0.857391656409358,0.989310327751111
"EHD4",0.5,0.0182113762688258,0.0601569464029936
"UBR3",0.5,0.119250249837891,0.249334326819978
"ZNF317",0.6875,0.164271082905086,0.35749995233876
"SH2D3C",0.9375,0.332141361653601,0.622205552938941
"PRDM12",1,0.0261194929480553,0.121326961579242
"MFAP4",0.5,0.0740160903463795,0.185950194663362
"SYNGAP1",1,0.184582353235944,0.496463690266212
"SMARCA2",0.5,0.0518195192189286,0.134009456037292
"SF3A1",0.5,0.365504441111304,0.528902742457764
"VASH2",0.25,0.0249240404045806,0.0510136057526256
"MTMR6",1,0.733701543269119,0.960894390457926
"DCAF15",1,0.0181532455706589,0.0909278991141864
"MAML3",1,0.785972086047751,0.975260888297475
"SCN1A",1,0.875592200154661,0.991918845502432
"TTC13",0.109375,0.25181974486489,0.168975986517019
"PHYHIP",1,0.0680229738354683,0.250862590495845
"FLNA",1,0.450940080041255,0.810078143184087
"HGS",1,0.238467792217062,0.530201096889166
"RLIM",0.25,0.126427197094055,0.186982125077953
"CDC26",1,0.0292867642050944,0.132687187888232
"WDTC1",1,0.109565573748892,0.351840483307411
"PAPOLA",1,0.224981268145112,0.560594405032532
"TUBG2",0.25,0.122530416511473,0.183828851815893
"ABHD2",0.25,0.272306111709631,0.304371394813667
"MFAP2",1,0.353441130745977,0.642261160523942
"NCKAP1L",0.125,0.70481122816989,0.318304191461269
"ADAMTS6",0.25,0.875634907166988,0.558682620752383
"ATP8A2",0.5,0.16217131445282,0.299069016895498
"BBS5",0.75,0.105489743720965,0.278889157720278
"KRT1",0.25,0.0177618783142339,0.0368373746040551
"DRP2",0.38720703125,0.00530572996266912,0.0168858587663409
"LDHC",1,0.0496117329799872,0.142561922116101
"AKAP1",0.25,0.349533112591642,0.317666974299596
"CHID1",1,0.00959330433007349,0.0541704145672154
"ADIPOQ",1,0.0480502543399388,0.173249261397386
"UBXN4",0.25,0.565475014582898,0.448639307189666
"C17orf97",0.7734375,0.285376755231041,0.521226120165548
"TRAPPC6B",0.875,0.0427165665786973,0.112235816661641
"CABIN1",0.0009765625,0.427867993949612,0.0045698222199523
"KCNQ3",1,0.676102574298113,0.940736205623244
"SPDYE3",0.1875,0.300930333619351,0.254912195534639
"TBC1D9",0.5,0.0246329113255549,0.0749142938179236
"PLEKHB1",0.5,0.541479740173764,0.65195285490793
"LRP8",1,0.472238086207457,0.826545099925909
"SNX1",0.25,0.888147515907048,0.56646448513049
"ELF3",0.5,0.022525869862868,0.0724562538555467
"ZNF304",0.25,0.722461252356007,0.506107212484947
"ATG13",0.5,0.0407180271645708,0.110840132918463
"USP18",0.5,0.0577698551259634,0.147854535421951
"GABRG2",0.25,0.103683949928428,0.162951529940136
"AC005324.3",1,0.165265733366253,0.462777204955599
"PAPSS1",0.25172233581543,0.0018612246520354,0.00599563872538171
"HMBS",1,0.169190119469912,0.469795657574508
"WDR48",1,0.0458846146840524,0.187283809230454
"ATAD1",0.25,0.0740160903463795,0.127018158635017
"HIRA",1,0.026768787920218,0.123685685162137
"UNC13A",1,0.303258084375043,0.645115052855861
"GNAO1",1,0.00664164078112253,0.0399454593442607
"BTG3",1,0.00159262672388839,0.0118529183038443
"PLEKHH3",0.75,0.664404429832056,0.84562313853194
"DDHD1",0.25,0.649219429605734,0.478295069407134
"STK11",1,0.239245600491274,0.581430122567988
"GTF3C4",1,0.443778711951917,0.804317512430958
"COPA",0.5,0.0156933180266848,0.0533230059300465
"TPI1",0.25,0.0963168109870944,0.137129442331185
"KCNQ2",0.5,0.0402905687060201,0.110883477215856
"FOXJ3",1,0.0185601377251987,0.0925545650730929
"ZNF777",1,0.241668638312218,0.584883479040508
"NSD1",1,0.448835298857929,0.808396931916037
"HIST1H4A",0.5,0.0353777729906142,0.0938257393722872
"SEL1L3",0.25,0.254537807359363,0.258275240593795
"ADCY4",0.240341186523438,0.433190517010049,0.374793205815188
"DDX53",0.25,0.0420895228952152,0.0723671376321918
"CHD9",0.5,0.00640198145810777,0.023860287798435
"OR11H12",0.3125,0.0526711344373027,0.113695056327576
"EP400",0.5,3.50085243297346e-06,2.7023287342957e-05
"HSD17B1",0.5,0.199404322787464,0.346583832815668
"HDAC5",1,0.137962578941759,0.411235102408214
"PACS1",1,0.715389886098212,0.95499369632002
"XKR4",0.5,0.39192315110475,0.55683567251203
"CENPE",0.1875,0.136782215625557,0.130854409106137
"HAPLN2",1,0.285793359001537,0.6437456115723
"MATN4",0.628585320635466,0.658028836083472,0.773139580747829
"PPP6R1",1,0.748583835458356,0.965352811331569
"ASTN1",0.25,0.0941489411743763,0.126179416684938
"GMPS",0.25,0.617020582452181,0.46324791293153
"SREK1",1,0.14889661973611,0.432470684836115
"ABCC9",0.0843187719583512,0.517353515691111,0.215436135084479
"NEMF",0.1875,0.250027303000806,0.231013240470621
"TRADD",0.5,0.0177913622261159,0.0632464579458775
"JADE1",1,0.142157793707952,0.419481721788227
"SLC16A10",0.75,0.0464079604910947,0.148063113972621
"OR10G4",0.34375,0.2248697280629,0.30245173210377
"MCF2",0.25,0.116150232142369,0.166689760877838
"TRMT12",0.25,0.72227919726799,0.502333515729803
"CDH20",0.5,0.021239997195888,0.0663298456826584
"IGF2R",0.3125,0.766765976114209,0.588337173751437
"ARHGAP30",1,0.668629506109091,0.931821732703386
"FGD3",0.8125,0.0643182390914718,0.185409887487311
"GBP3",0.26119869024842,0.0161680318815119,0.0357052074910675
"PURB",1,0.048126220703125,0.194137715072778
"KLHL2",1,0.00227569206617773,0.016124350294413
"KAT2B",0.25,0.293959787621372,0.287319196458032
"TNRC6B",0.5,0.0218198411506034,0.0654168754124233
"TBCA",0.1875,0.00350018334574998,0.0131506337710943
"CYLD",0.5,0.275206255911236,0.446485326836553
"CSTF1",1,0.0245208740234375,0.11544992753322
"CACHD1",0.25,0.101154587875961,0.130936569583607
"SOCS3",0.5,0.00406502932310104,0.0212100415235558
"SEC61G",0.25,0.109375,0.27730040397856
"ARHGAP21",0.25,0.392394212520547,0.339289016654754
"CREB3L2",0.25,0.290557227088323,0.311972297754699
"DGKA",0.5,0.060252546442531,0.145657406326652
"KRTAP10-6",0.8125,0.00847878175103869,0.0350085383785336
"MBP",0.25,0.686448714921426,0.520874206283403
"BOC",0.109375,0.0662014689108149,0.0540592675096648
"STT3B",0.25,0.0459572749079272,0.094504957544371
"FGR",1,0.543921696223698,0.875142804029476
"GPR89A",0.25,0.25,0.596573590279973
"CNNM1",0.25,0.25,0.596573590279973
"ATAD2B",0.5,0.138322340919593,0.265655456270606
"GPC2",0.5,0.088305276530082,0.204804004869481
"PCSK2",1,0.144392140207053,0.423823056550259
"ELL",1,0.545574774987056,0.876146936849447
"RANBP2",0.25,0.126068592582504,0.148230100803659
"OGDH",1,0.336731498914899,0.703253433291315
"ANKRD44",0.25,0.248308717658967,0.293858158512814
"VANGL1",0.25,0.0708748751499957,0.106177291020726
"VPS26B",0.5,0.04656982421875,0.147103612132984
"CREBBP",1,0.760948437497739,0.968831697376108
"MLLT10",0.5,0.227237906552661,0.379290980078952
"STAM",0.25,0.378594537071203,0.362923962597533
"SOX13",0.5,0.615057796425903,0.683160743027504
"CUL2",1,0.00386725513025064,0.0253506706326126
"LTBP3",0.25,0.25,0.596573590279973
"AKAP17A",0.5,0.400543125633695,0.535217789706845
"ABCD3",0.25,0.405728303602146,0.368092125141498
"APBB1",1,0.467385711517549,0.822879483497032
"CABLES2",1,0.300984376507824,0.662375390610747
"TARDBP",1,0.0924666710197926,0.312621216491076
"ILKAP",0.5,0.0557014455305095,0.155560372977239
"DPY19L2",0.75,0.114510781166829,0.29426414964259
"PDZRN4",0.75,0.0183826123553113,0.0720648356846909
"CDH7",1,0.206175278707044,0.531731941319049
"TSPYL6",0.25,0.23372573035731,0.248578220125579
"THRSP",1,0.00020150924573151,0.00154275685283285
"TNNC2",1,0.15087890625,0.436232818438404
"CAPRIN2",0.0625,0.405620094542934,0.132595685888481
"CACNG2",1,0.844747670460492,0.987271225943862
"TCF7L2",0.25,0.280245292288322,0.282157276983655
"LGR4",0.25,0.689723709201121,0.494114766739403
"PACSIN1",1,0.619513984994716,0.916149673470136
"ITGB7",0.6875,0.670655060103836,0.818312537392361
"RGS6",0.25,0.85545195965197,0.560999008610788
"CUL3",1,0.5,0.846573590279973
"LTBP1",0.3125,0.0868355031423815,0.134214362685984
"TNRC6A",0.5,0.578105325600054,0.655715540060899
"SYMPK",0.5,0.0739882819243373,0.170324354797231
"MED15",0.5,0.0018612246520354,0.00893444944146837
"HIST1H3I",1,0.0107421875,0.0594427166609492
"TFDP2",0.5,0.000814012965744629,0.00429945275200358
"ISL2",0.5,0.0641982014632003,0.165244832488781
"WASHC2A",0.0403452338759964,0.0403452338759964,0.169864812409499
"LY6G6D",0.25,0.625370687619579,0.498984826809172
"RUNX1T1",0.25,0.885597229382821,0.572838336586974
"LRP12",0.5,0.302898944993928,0.45540334069866
"TMEM132C",0.25,0.557563322728677,0.427926163214504
"HIPK3",0.25,0.564478278954376,0.432832681593206
"NNT",0.25,0.885691846057973,0.560932178824005
"PITPNM3",0.5,0.0154339773117283,0.0494488772902779
"ZFPM2",0.5,0.000442393928262931,0.00231691323891271
"COX10",0.25,0.0944839842135426,0.124009686815197
"TNKS2",1,0.589411361265297,0.900992439020904
"ZFAND5",0.25,0.5,0.526892788073059
"SORL1",0.1875,0.139635311459543,0.13358964747754
"ATP8B1",1,0.056019189945239,0.19838337796282
"EPHB1",0.5,0.783851169156423,0.767235042396615
"CIAO2A",1,0.0213869726285338,0.103619311310245
"IQSEC3",0.5,0.767523703925122,0.758860877353155
"DGKB",0.5,0.366342046795521,0.520720365922693
"MED14",1,0.174840976491843,0.479742383017074
"NCOA3",0.25,0.385790206048316,0.343387344884645
"KBTBD11",1,0.087642897221518,0.301008190148661
"HIST2H3PS2",0.5,0.220399533671299,0.40167261387638
"IPO5",1,0.00489196679450983,0.030918017008745
"MPPE1",0.7734375,0.0271327493879172,0.0893866417650606
"TRIM27",1,0.114740506513044,0.363163130810694
"TSPYL2",0.25,0.354661365161413,0.344702035923114
"ABCA1",0.984375,0.0657147267908893,0.1954049340813
"ESX1",0.25,0.541935561494355,0.446452234737715
"PDS5B",0.25,0.628365489116472,0.47545921744729
"NAV3",0.25,0.145530091637384,0.171779935195745
"WDR75",0.1875,0.917716316784808,0.483373835486739
"FAXC",1,0.5,0.846573590279973
"TNFSF14",0.25,0.665867073843409,0.491755370790629
"OGFR",1,0.840342832538264,0.986516549264596
"HDLBP",0.5,0.157829236462055,0.293739320301777
"PRPF31",1,0.689927617459347,0.946007077830993
"PAX6",0.5,0.1334228515625,0.323127554871769
"FABP5",1,0.00257619852104604,0.0117588145126168
"TIPRL",0.5,0.266354627618057,0.451298246002542
"ZBTB45",1,0.00765426589456579,0.0449496164050082
"PGD",0.25,0.404974526459463,0.38493019270998
