"","No_case","No_contr","OR","pval","eta_est","eta_pval"
"(1):PLI>=0.995",225,178,1.26404494382022,0.0109111757543696,0.200285732853428,0.0150334206806137
"(2):pLI>=0.5&pLI<0.995",174,182,0.956043956043956,0.683287726549781,0.000341529977429116,1
"(3):pLI<0.5",854,775,1.10193548387097,0.0266282442497304,0.212100978240304,0.00105274395244975
"(4):MPC>=2",7968,7638,1.04320502749411,0.00422318784153438,0.0730036133297225,1.3709816852995e-05
"(5):MPC>=1&MPC<2",48412,47060,1.02872928176796,6.14318071536644e-06,0.00925901122750198,0.0917834000387077
"(6):MPC<1",146671,145348,1.0091022924292,0.00721464800036196,0.000871190779111742,1
