"","LoF_pvalue","LoF+Missense_pvalue","fisher_combine_pvalue"
"DDX39A",1,0.33622180602066,0.702698262227285
"SFXN1",1,0.0951133533659007,0.286885724363071
"TNFRSF1A",1,0.356172464537612,0.723863622973886
"TSC22D1",1,0.329704604323441,0.718213440351012
"PAX7",1,0.825785017768947,0.99287584498805
"GATA1",1,1,1
"TBCEL",1,0.348759280977828,0.782503577894858
"MYO1H",0.404499677018318,0.390829794793105,0.512287526373206
"E2F3",1,0.241053399632323,0.611139597620593
"MARK3",1,0.944869327106077,0.998436941087937
"PITPNM2",1,0.46834607152755,0.823608947757191
"KMT5B",1,0.647746867358357,0.929034374808334
"VCL",1,0.0688465642331929,0.253071361358016
"PHF2",1,0.452525192874454,0.830578090031926
"JADE2",1,0.453123208780255,0.811811556274472
"FAM189B",0.480408072445365,0.0115708104957614,0.0470158930304421
"DUSP28",1,0.770506130384851,0.971382986725751
"QRICH1",1,0.0267396721646488,0.123580255184642
"RSPRY1",1,1,1
"FAM19A1",1,1,1
"IP6K2",1,1,1
"PCDHGA10",0.244184348808363,0.546027066683673,0.56372582592417
"MFSD3",0.49996572290589,0.928017566983398,0.846549830033886
"NHLH1",1,1,1
"POTEB2",1,0.726487526564926,0.958624966694423
"OR10A3",1,0.293128057592241,0.671576654240359
"MLPH",0.249948605513182,0.0676163160130072,0.106740879915847
"ADGRF4",0.0766536499285318,0.59396945613867,0.224423448303316
"CENPA",1,0.218653694808287,0.551065495318603
"CBL",1,0.594870635128281,0.903853175181616
"ZC3H10",1,1,1
"AMPD2",1,0.139495685638978,0.350802420684566
"FOXO4",1,0.689783176325156,0.986226927183834
"GBF1",0.687435734853583,1,0.945077663757844
"CD180",0.374914345456448,0.204208411277377,0.321380425828948
"KCNT2",1,0.813850745658667,0.966571630465958
"SHPK",0.0382183353155592,0.447214727550259,0.14205004717125
"TIGD3",1,0.729491906829893,0.949896791308755
"TBL3",1,0.975761337003782,0.999703369820523
"YPEL5",1,0.726487526564926,0.958624966694423
"STX3",1,0.606393853905695,0.885492006226807
"AKT2",1,0.454387024045524,0.80870281600737
"WDFY3",0.249948605513182,0.481023691919859,0.349933456566883
"RPS13",1,0.109254824845677,0.351152904280573
"PPY",1,1,1
"GNAT1",1,0.908539584376564,0.980579948244315
