"","No_case","No_contr","OR","pval","eta_est","eta_pval","cate_index"
"RVIS_MPC within (1,2)_0.0001<0.001",7194,7147,1.00657618581223,0.350445068281189,0.000237154099069414,1,5
"RVIS_MPC within (1,2)_AF<0.0001",13605,12381,1.09886115822631,1.62260018702425e-14,0.0918311807753408,1.14719856171829e-11,5
"RVIS_MPC<1_0.001<AF<0.01",100458,100742,0.997180917591471,0.737408371601482,1.32981250837075e-05,1,6
"RVIS_MPC<1_0.0001<0.001",45562,45158,1.00894636609239,0.0904493596996877,0.00331269673634956,0.363034175082633,6
"RVIS_MPC<1_AF<0.0001",53009,49753,1.06544328985187,1.57754053939898e-24,0.0661254897825499,9.30895616975457e-24,6
"Haploinsuff_PLI>=0.995_0.001<AF<0.01",182,170,1.07058823529412,0.278867099058577,3.65014520924262e-08,1,1
"Haploinsuff_PLI>=0.995_0.0001<0.001",69,70,0.985714285714286,0.567313244548632,8.94166452326002e-06,1,1
"Haploinsuff_PLI>=0.995_AF<0.0001",404,298,1.35570469798658,3.59447735385903e-05,0.214936249545939,8.5590097276716e-05,1
"Haploinsuff_pLI within (0.5,0.995)_0.001<AF<0.01",38,48,0.791666666666667,0.882310068894472,7.13168296923433e-09,1,2
"Haploinsuff_pLI within (0.5,0.995)_0.0001<0.001",23,24,0.958333333333333,0.614566502713486,0.000154151646127959,1,2
"Haploinsuff_pLI within (0.5,0.995)_AF<0.0001",185,206,0.898058252427184,0.867069218078232,0.000261896102465102,1,2
"Haploinsuff_pLI<0.5_0.001<AF<0.01",356,426,0.835680751173709,0.994464227357056,5.11660905576102e-07,1,3
"Haploinsuff_pLI<0.5_0.0001<0.001",318,350,0.908571428571428,0.899182726356286,2.15648470740185e-05,1,3
"Haploinsuff_pLI<0.5_AF<0.0001",1497,1364,1.0975073313783,0.00678981978951643,0.0705906284018718,0.00735387199653517,3
"Haploinsuff_MPC>=2_0.001<AF<0.01",1341,1423,0.942375263527758,0.942809655052333,1.20941533447716e-06,1,4
"Haploinsuff_MPC>=2_0.0001<0.001",539,534,1.00936329588015,0.451408664696785,0.0102043818055334,0.840393030383907,4
"Haploinsuff_MPC>=2_AF<0.0001",1797,1595,1.12664576802508,0.000278110022626297,0.12210569202721,0.00121085951803023,4
"Haploinsuff_MPC within (1,2)_0.001<AF<0.01",18949,18833,1.00615940105135,0.277047110672158,7.1778673604921e-06,1,5
"Haploinsuff_MPC within (1,2)_0.0001<0.001",9204,9295,0.99020979020979,0.750611110164617,9.59720492225771e-05,1,5
"Haploinsuff_MPC within (1,2)_AF<0.0001",15930,14539,1.09567370520669,8.29297929003896e-16,0.0939974667971576,4.31372063777633e-14,5
"Haploinsuff_MPC<1_0.001<AF<0.01",290276,289204,1.00370672604805,0.0797251224275253,1.13057745832789e-05,1,6
"Haploinsuff_MPC<1_0.0001<0.001",98226,97725,1.00512663085188,0.129337959519748,0.00122123504140473,1,6
"Haploinsuff_MPC<1_AF<0.0001",105874,99417,1.06494865063319,2.24211245437671e-46,0.0654527475632366,5.11296062887411e-44,6
"SCZ gene_PLI>=0.995_0.001<AF<0.01",39,47,0.829787234042553,0.834082822700042,1.60876992594682e-10,1,1
"SCZ gene_PLI>=0.995_0.0001<0.001",34,39,0.871794871794872,0.758605721577989,2.1204814069971e-05,1,1
"SCZ gene_PLI>=0.995_AF<0.0001",241,176,1.36931818181818,0.000845702528623305,0.238028901411972,0.000693764645821827,1
"SCZ gene_pLI within (0.5,0.995)_0.001<AF<0.01",40,32,1.25,0.204789697963537,6.6341393919862e-06,1,2
"SCZ gene_pLI within (0.5,0.995)_0.0001<0.001",17,27,0.62962962962963,0.951929122789693,1.28736267784271e-06,1,2
"SCZ gene_pLI within (0.5,0.995)_AF<0.0001",153,150,1.02,0.454275799521183,0.0301912975663969,0.725855061354662,2
"SCZ gene_pLI<0.5_0.001<AF<0.01",1074,1022,1.05088062622309,0.132643171554558,2.03714505754499e-06,1,3
"SCZ gene_pLI<0.5_0.0001<0.001",551,606,0.909240924092409,0.950174689176122,2.11759850218307e-05,1,3
"SCZ gene_pLI<0.5_AF<0.0001",1465,1349,1.08598962194218,0.0150747630520632,0.0742718051075773,0.00582886846922389,3
"SCZ gene_MPC>=2_0.001<AF<0.01",1322,1433,0.922540125610607,0.983580520807168,4.2329347646962e-06,1,4
"SCZ gene_MPC>=2_0.0001<0.001",676,638,1.05956112852665,0.153694369462049,0.0305956423915544,0.564012476564866,4
"SCZ gene_MPC>=2_AF<0.0001",2460,2083,1.18098895823332,1.19173497111132e-08,0.176210406079983,6.70677542903762e-08,4
"SCZ gene_MPC within (1,2)_0.001<AF<0.01",18790,18374,1.02264068792859,0.0156697870671202,8.28028467080786e-06,1,5
"SCZ gene_MPC within (1,2)_0.0001<0.001",8677,8638,1.0045149340125,0.386374024135694,0.000316131951753339,1,5
"SCZ gene_MPC within (1,2)_AF<0.0001",16018,14610,1.09637234770705,4.45543941048177e-16,0.0966041159861528,5.37984856546658e-15,5
"SCZ gene_MPC<1_0.001<AF<0.01",181758,182187,0.997645276556505,0.762006520456799,1.14474484244418e-05,1,6
"SCZ gene_MPC<1_0.0001<0.001",64282,64312,0.999533524070158,0.534444546748814,0.00113055085932551,1,6
"SCZ gene_MPC<1_AF<0.0001",70335,66381,1.05956523704072,5.56502803534171e-27,0.0606572378627462,9.31713446916435e-26,6
