"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","LoF+Missense_T","LoF+Missense_UT","LoF+Missense_OR","LoF+Missense_P_value"
"HLA-DRB1",240,375,0.64002282363974,9.92142569541061e-08,423,944,0.448112801936344,1.90124631666844e-42,663,1319,0.502678610067653,2.71056581809504e-44
"SSC5D",8,19,0.421051958113575,0.0520257152083319,1638,1787,0.916626271831469,0.0226813549200696,1646,1806,0.91141153636755,0.0146134981671164
"GSTM1",0,0,0,1,67,276,0.242794582490451,1.13924048052515e-30,67,276,0.242794582490451,1.13924048052515e-30
"TXNDC2",0,1,0,1,653,850,0.768250890879133,1.38433108818985e-06,653,851,0.767348208554122,1.21722085705674e-06
"PRAM1",1,0,Inf,1,240,334,0.718581825652953,0.000125101361339129,241,334,0.721575660809717,0.000150628452506881
"ENPP7",4,2,1.99989729293577,0.687435734853583,460,380,1.21050914739441,0.00775614842480854,464,382,1.21464210898684,0.00644580150674742
"PTEN",4,0,Inf,0.124948635472415,16,15,1.06669150059046,1,20,15,1.33330280755486,0.499042583716933
"SUPT5H",2,0,Inf,0.49996572290589,41,36,1.13887807459042,0.64792574334827,43,36,1.19442843223008,0.498737918792673
"MICAL3",4,0,Inf,0.124948635472415,1473,1471,1.00135956034137,0.983880339882641,1477,1471,1.00407879174916,0.935621896080237
"SKI",1,0,Inf,1,175,171,1.02339441923223,0.870404686629741,176,171,1.02924423585707,0.828037541321031
"DPH1",2,1,1.99989728727585,1,460,425,1.08232358555077,0.26792528548281,462,426,1.0844795385842,0.254012863137341
"MSTO1",1,1,1,1,169,136,1.24262634657358,0.0641487117202622,170,137,1.24085538351495,0.0650082271679595
"TOE1",0,1,0,1,488,477,1.02306363952556,0.739674595108412,488,478,1.02092273577951,0.764998418995958
"NRXN2",0,1,0,1,208,195,1.06669290350839,0.544649956488391,208,196,1.06124663208036,0.579133710064259
"CTNNA2",0,0,0,1,87,71,1.22533307744675,0.230163168516137,87,71,1.22533307744675,0.230163168516137
"SCMH1",3,1,2.99997694771041,0.624948586120971,207,172,1.20347165025888,0.0770739160655668,210,173,1.21385508349673,0.0625699628235019
"NAB2",1,0,Inf,1,115,118,0.974573107210167,0.894967593752655,116,118,0.983049774721396,0.947480083874833
"ACACA",2,0,Inf,0.49996572290589,126,119,1.05884348378998,0.699190763310743,128,119,1.07559250010938,0.607830504826581
"DGKH",2,0,Inf,0.49996572290589,681,643,1.05912123242197,0.329117552023765,683,643,1.06223415705848,0.301812699973944
"MYH10",3,0,Inf,0.249948605513182,252,215,1.17207937305897,0.0998105446679667,255,215,1.18603153731072,0.0748532729940777
"DNM2",1,0,Inf,1,93,83,1.12047277698191,0.495059923114351,94,83,1.13251992127606,0.449646345665515
"INTS3",0,0,0,1,49,31,1.58058727378862,0.0560073995907272,49,31,1.58058727378862,0.0560073995907272
"MYT1",1,0,Inf,1,346,363,0.953154636150679,0.53855228543517,347,363,0.95591104977818,0.564476119790126
"PI4KA",3,4,0.750017180487538,1,318,308,1.03247349886209,0.713423963928203,321,312,1.02885071418165,0.74538778185407
"MVK",1,0,Inf,1,71,47,1.51058816393378,0.0331060788695642,72,47,1.53186240117035,0.0267851618159038
"SF3B3",1,0,Inf,1,252,258,0.976741497207206,0.821823622413477,253,258,0.980618472370556,0.857159239869097
"HOXB4",0,0,0,1,44,33,1.33330283206595,0.253062939872428,44,33,1.33330283206595,0.253062939872428
"ANGPT1",0,0,0,1,293,269,1.08919399309343,0.323158561769172,293,269,1.08919399309343,0.323158561769172
"ITPRID2",0,0,0,1,2572,2455,1.04767884661592,0.15479930281601,2572,2455,1.04767884661592,0.15479930281601
"ZBTB17",2,0,Inf,0.49996572290589,72,64,1.12499043955411,0.546647960426097,74,64,1.15623764401005,0.441577500637486
"ZMIZ1",0,0,0,1,74,69,1.07249354618528,0.736902701617137,74,69,1.07249354618528,0.736902701617137
"PRH2",4,0,Inf,0.124948635472415,38,26,1.46149376318315,0.167720260391098,42,26,1.61532291259217,0.0674923410508029
"GOLGA8H",134,152,0.881586955308002,0.310186189277829,463,462,1.00216440252245,1,597,614,0.972308107183668,0.65376080791843
"REV3L",0,0,0,1,1448,1386,1.04474857029031,0.295108363527166,1448,1386,1.04474857029031,0.295108363527166
"NFKBIZ",0,0,0,1,201,175,1.14855989883567,0.191816008205062,201,175,1.14855989883567,0.191816008205062
"CDKN1C",0,0,0,1,21,9,2.33334168832185,0.042565487246036,21,9,2.33334168832185,0.042565487246036
"ARNT2",1,0,Inf,1,146,159,0.918261837247481,0.487626316918919,147,159,0.924556513306144,0.525280059983183
"SEPHS1",0,0,0,1,30,12,2.4999890788585,0.00783039002797891,30,12,2.4999890788585,0.00783039002797891
"HGF",3,0,Inf,0.249948605513182,926,870,1.06439685488775,0.220430146243202,929,870,1.06777866989556,0.193817958588128
"TTN",57,38,1.49995103751531,0.0633745305941901,25268,24467,1.03274899055339,0.0882595812644249,25325,24505,1.03347406936499,0.0815163521319486
"ATP6V0D1",1,0,Inf,1,13,5,2.5999835632705,0.0960496032021033,14,5,2.79997353758009,0.063398956143133
"ITGB3",2,1,1.99989728727585,1,172,150,1.14665528115629,0.23687780370178,174,151,1.15230598486336,0.217376550604346
"BRWD1",4,1,3.9993936007291,0.374914345456448,380,330,1.15150352230132,0.0708217885213568,384,331,1.16010843562624,0.0554386452243379
"CEP350",3,0,Inf,0.249948605513182,1703,1616,1.05386019151588,0.178213433343052,1706,1616,1.05571827444063,0.160515609653742
"PPARG",0,0,0,1,38,18,2.11099689318501,0.0103139063076941,38,18,2.11099689318501,0.0103139063076941
"RARA",1,0,Inf,1,57,35,1.62850829749877,0.0275450402304634,58,35,1.65707661812081,0.0216168840761978
"ADCY5",0,0,0,1,213,168,1.26783384854087,0.0255258363488805,213,168,1.26783384854087,0.0255258363488805
"PGA3",0,0,0,1,91,98,0.928603424656168,0.66059504009104,91,98,0.928603424656168,0.66059504009104
"SLC20A1",4,0,Inf,0.124948635472415,87,97,0.896914193620507,0.504473653938703,91,97,0.938122433715975,0.713722365788917
"ARHGAP11A",1,2,0.500025679499842,1,1162,1115,1.04216546015869,0.367426134959085,1163,1117,1.04119412007851,0.379787757476093
"ATXN10",4,0,Inf,0.124948635472415,40,53,0.754733832646497,0.211715136012495,44,53,0.830200390864438,0.415234412060168
"MGAT5B",1,1,1,1,348,319,1.09088588760712,0.285049344525669,349,320,1.09060155752977,0.285739791395017
"MUCL3",0,0,0,1,1881,1783,1.05498879653926,0.149484388087442,1881,1783,1.05498879653926,0.149484388087442
"NBEAL2",3,0,Inf,0.249948605513182,475,470,1.01063855967852,0.893202659213963,478,470,1.01702256822947,0.814538923062547
"HMGCS1",0,0,0,1,45,35,1.28568892388429,0.312989121369828,45,35,1.28568892388429,0.312989121369828
"FGD6",4,0,Inf,0.124948635472415,595,573,1.03840376222379,0.543150279293137,599,573,1.04538853108904,0.466391925255265
"ACIN1",1,0,Inf,1,489,494,0.989878325021835,0.895147645947749,490,494,0.991902796009599,0.921297133858984
"AP3D1",1,0,Inf,1,144,123,1.17071807591336,0.216833069818089,145,123,1.17884738869232,0.195531851162286
"MEGF10",3,0,Inf,0.249948605513182,184,140,1.31425742200764,0.0157480456398187,187,140,1.3356836600929,0.0117503451005016
"RIPOR2",4,2,1.99989729293577,0.687435734853583,1336,1223,1.09238532329834,0.039650295473622,1340,1225,1.09386883269067,0.0377941225915532
"CNTN4",4,0,Inf,0.124948635472415,225,230,0.978258626232249,0.849004014543543,229,230,0.995652308776469,1
"DDB1",0,0,0,1,39,17,2.29412863269647,0.00448828948115357,39,17,2.29412863269647,0.00448828948115357
"CAPRIN1",6,1,5.99928153460606,0.124910182969341,34,39,0.871803651606945,0.639134874196957,40,40,1,1
"CELF3",0,0,0,1,39,38,1.0263190821264,1,39,38,1.0263190821264,1
"OR2B6",1,1,1,1,218,194,1.12370202092091,0.250774078024968,219,195,1.12306765923763,0.251892167056579
"RENBP",4,0,Inf,0.124948635472415,362,384,0.94268800763879,0.452824916037072,366,384,0.953111489313669,0.524690595471356
"C4orf3",3,0,Inf,0.249948605513182,73,66,1.10604720054739,0.609281251686938,76,66,1.15150323151077,0.44802195592686
"TP63",4,1,3.9993936007291,0.374914345456448,151,129,1.17052902924283,0.205225343036267,155,130,1.19229200958495,0.151201391398617
"JTB",0,0,0,1,75,77,0.974022696114501,0.935053602374483,75,77,0.974022696114501,0.935053602374483
"EPHA4",3,0,Inf,0.249948605513182,73,66,1.10604720054739,0.609281251686938,76,66,1.15150323151077,0.44802195592686
"ZNF282",0,0,0,1,152,167,0.910195103285324,0.428260755117834,152,167,0.910195103285324,0.428260755117834
"PTCH1",1,0,Inf,1,330,323,1.02167412025771,0.810365880756643,331,323,1.02477099393977,0.779680071873412
"LMCD1",0,1,0,1,355,332,1.06930652700287,0.41231509522173,355,333,1.06609286329039,0.4129892022258
"CKAP5",3,0,Inf,0.249948605513182,122,126,0.968248611212731,0.847702207891318,125,126,0.992063528990724,1
"KIAA1109",12,4,2.99997455912079,0.0766536499285318,2644,2542,1.04014089074307,0.225309381701589,2656,2546,1.04322247869168,0.190871549626421
"COL4A3",3,1,2.99997694771041,0.624948586120971,1270,1287,0.986790085533433,0.764078250833452,1273,1288,0.988353411735171,0.79710432238537
"CDC37",1,0,Inf,1,88,66,1.33330287575799,0.0886508745724489,89,66,1.34845273264099,0.0753817476378808
"STRN",3,0,Inf,0.249948605513182,404,445,0.907875062441966,0.179716410127298,407,445,0.914623287690546,0.217327624325083
"ADGRB1",1,0,Inf,1,190,138,1.37677644028563,0.00517002687953051,191,138,1.38402201405356,0.00439835189798383
"TAOK1",1,0,Inf,1,39,34,1.14704727166118,0.639134874196957,40,34,1.17645630401932,0.560387813452245
"EPB41L1",2,0,Inf,0.49996572290589,472,495,0.953521689930627,0.4856471892487,474,495,0.957564453995436,0.528524267532483
"KCNH7",2,0,Inf,0.49996572290589,320,314,1.01910992590465,0.839281729021959,322,314,1.02548111239289,0.77679426355738
"CARD10",0,0,0,1,196,172,1.13952415970871,0.224928965232464,196,172,1.13952415970871,0.224928965232464
"KCNV1",0,0,0,1,12,2,5.99928072774107,0.012898665335955,12,2,5.99928072774107,0.012898665335955
"CHST1",2,0,Inf,0.49996572290589,256,239,1.07108987188339,0.464804287813416,258,239,1.07946425300878,0.411830119919183
"ABLIM1",3,0,Inf,0.249948605513182,345,393,0.877870695706595,0.0894907039910759,348,393,0.885503752385738,0.113686370781731
"DNER",3,0,Inf,0.249948605513182,444,377,1.17770483625675,0.0238112847064,447,377,1.18566164036468,0.0181049597030337
"WDR70",2,0,Inf,0.49996572290589,57,45,1.26664333329024,0.274355059991685,59,45,1.31108303889621,0.200592100084227
"INO80",0,0,0,1,627,504,1.24402719127024,0.000431067717214276,627,504,1.24402719127024,0.000431067717214276
"ZNF441",1,0,Inf,1,256,251,1.01992210421538,0.856621892471303,257,251,1.02390722751754,0.821490831121199
"CBX7",3,0,Inf,0.249948605513182,7,9,0.777793144420931,0.803511708884093,10,9,1.1111013014519,1
"TULP1",3,0,Inf,0.249948605513182,140,120,1.16665341227724,0.234576143002078,143,120,1.19165103343467,0.171098798836329
"OR2A4",3,0,Inf,0.249948605513182,0,0,0,1,3,0,Inf,0.249948605513182
"LPA",549,516,1.06397985808283,0.340984384513912,1497,1547,0.967671313544324,0.413958633615584,2046,2063,0.991759285417142,0.818415244221759
"NARS2",1,0,Inf,1,422,437,0.965668000687668,0.623215201242717,423,437,0.967957329503351,0.648404978325525
"NCAPG",3,0,Inf,0.249948605513182,219,185,1.18376899009021,0.0962724939206734,222,185,1.19998363672303,0.0784671236719267
"RAD21",21,8,2.62498032374163,0.0239833858752324,55,41,1.34143203577354,0.182866673983858,76,49,1.55096580534653,0.0191869952214651
"ACHE",0,0,0,1,806,765,1.05361443653725,0.326020528592323,806,765,1.05361443653725,0.326020528592323
"TRIM3",0,0,0,1,31,27,1.14813648929052,0.693424516858851,31,27,1.14813648929052,0.693424516858851
"MRTFA",0,0,0,1,265,256,1.03516325515564,0.721382357190754,265,256,1.03516325515564,0.721382357190754
"SLC5A6",5,1,4.99935160462203,0.218653694808287,117,105,1.11427711401723,0.457062638307663,122,106,1.1509315743357,0.316827406230036
"ECE1",2,0,Inf,0.49996572290589,135,119,1.13444345093215,0.342533473235537,137,119,1.15124866826733,0.283886732304833
"GALNT2",3,0,Inf,0.249948605513182,150,136,1.10292613231248,0.437737228056461,153,136,1.12499051247346,0.341986535975206
"PCNX1",2,0,Inf,0.49996572290589,647,626,1.03355340119121,0.578792232359897,649,626,1.03674984042838,0.539822911269741
"NAGS",1,1,1,1,77,70,1.09998118395392,0.619089861033495,78,71,1.09857150946875,0.621427443395119
"ZNF605",3,0,Inf,0.249948605513182,0,0,0,1,3,0,Inf,0.249948605513182
"HSP90AA1",3,0,Inf,0.249948605513182,0,0,0,1,3,0,Inf,0.249948605513182
"SEMA4A",3,0,Inf,0.249948605513182,1048,1045,1.00287071888033,0.962716076595839,1051,1045,1.00574159109536,0.907036761194047
"EMX1",1,0,Inf,1,15,7,2.1427395137346,0.133509364460916,16,7,2.28572893676522,0.0928849202470169
"QARS",3,3,1,1,807,744,1.08465359630659,0.134720126371166,810,747,1.08431323868945,0.135401753633533
"PRDM10",2,0,Inf,0.49996572290589,219,200,1.09497877316572,0.37262958445195,221,200,1.10498800600955,0.323012143081138
"ABCB1",3,0,Inf,0.249948605513182,1259,1312,0.959591359943168,0.335871111831818,1262,1312,0.961879346377776,0.36924851595422
"GPRASP1",3,0,Inf,0.249948605513182,455,437,1.04120038587185,0.581065022182145,458,437,1.04806938040365,0.512949729032577
"CCR10",0,1,0,1,90,81,1.11110274527397,0.538457312152712,90,82,1.09754020997601,0.591483952881081
"BNC2",0,0,0,1,956,894,1.06931522125153,0.174759025470195,956,894,1.06931522125153,0.174759025470195
"PLXNB1",1,0,Inf,1,765,684,1.11841261020869,0.0443254486492232,766,684,1.11987447759143,0.0415633703591105
"CDC25B",1,0,Inf,1,91,71,1.28166525658703,0.133156628907085,92,71,1.29574826108783,0.114989802441408
"DNM1",0,0,0,1,107,97,1.10307720563316,0.525861613095609,107,97,1.10307720563316,0.525861613095609
"GNMT",1,0,Inf,1,45,30,1.49995102863081,0.104465934848776,46,30,1.53328066517449,0.0838553216937887
"DPF3",5,1,4.99935160462203,0.218653694808287,112,113,0.991150423960611,1,117,114,1.02631919064426,0.894523926594419
"DENND1A",2,0,Inf,0.49996572290589,308,281,1.096066354577,0.293387818203013,310,281,1.10319051438705,0.257238916084832
"PELP1",3,0,Inf,0.249948605513182,270,251,1.07566078741796,0.422452955669638,273,251,1.08762249453822,0.350731522528505
"IQGAP1",3,0,Inf,0.249948605513182,325,322,1.00931686584552,0.9359644331891,328,322,1.01863508387346,0.841162874525759
"PTPRK",5,1,4.99935160462203,0.218653694808287,255,246,1.03659299071023,0.716291960914973,260,247,1.05264810635861,0.587846201839432
"SOCS6",0,0,0,1,56,34,1.64699367824199,0.0258597734137646,56,34,1.64699367824199,0.0258597734137646
"RAB30",3,0,Inf,0.249948605513182,8,9,0.888896488763773,1,11,9,1.22220341735204,0.823682194776963
"ATG9A",0,1,0,1,118,102,1.15685037744096,0.308307866388364,118,103,1.14561972357535,0.342770513083838
"VDAC1",0,0,0,1,25,13,1.92298233221417,0.0725845441445954,25,13,1.92298233221417,0.0725845441445954
"RILPL1",2,1,1.99989728727585,1,58,46,1.26084684072572,0.278996124784332,60,47,1.27657136736214,0.244184348808363
"KCNMB3",3,5,0.600024236462594,0.726487526564926,672,664,1.01204869125949,0.841445047008349,675,669,1.00896874802201,0.886676551285176
"CA8",2,0,Inf,0.49996572290589,43,29,1.4827115646499,0.124003890064031,45,29,1.55166943517881,0.0797576808845427
"BMS1",2,0,Inf,0.49996572290589,513,475,1.0799691925511,0.249926607747303,515,475,1.08418331821844,0.22434600739932
"CERS6",1,0,Inf,1,262,230,1.13911980735524,0.169030358789139,263,230,1.14346724731633,0.155666902088078
"PDE2A",0,0,0,1,107,110,0.972723536534031,0.891248701607051,107,110,0.972723536534031,0.891248701607051
"CLCNKB",8,2,3.99939245288739,0.109254824845677,478,476,1.00420156039908,0.97334313882476,486,478,1.01673763867762,0.815963780451873
"NUP214",3,0,Inf,0.249948605513182,724,711,1.01828583906481,0.760886847478237,727,711,1.02250642207455,0.698814840699788
"TNR",3,0,Inf,0.249948605513182,380,339,1.12093500583174,0.13644978069395,383,339,1.12978380691253,0.117954533283021
"MED12L",3,0,Inf,0.249948605513182,236,228,1.03509462890257,0.741381496960478,239,228,1.04825933376372,0.638373491413822
"FUT7",1,0,Inf,1,571,512,1.11522605606793,0.0889514884903378,572,512,1.11717901914426,0.0833255865301762
"MBNL1",0,0,0,1,13,7,1.85705518196321,0.262847494783438,13,7,1.85705518196321,0.262847494783438
"HERC3",2,0,Inf,0.49996572290589,86,68,1.26468278665088,0.168325271362137,88,68,1.29409143366043,0.125971855715411
"KBTBD6",0,0,0,1,86,62,1.38706039403116,0.0571011723584674,86,62,1.38706039403116,0.0571011723584674
"UNC80",3,4,0.750017180487538,1,637,572,1.11362822540527,0.072624068612907,640,576,1.11110318275546,0.0783006545332302
"ORM2",1,3,0.333335894718525,0.624948586120971,229,189,1.21162270515633,0.0592980425345111,230,192,1.19790051570002,0.0753476693353615
"TRPC4AP",3,0,Inf,0.249948605513182,89,78,1.14101468233492,0.436538296462253,92,78,1.17947266391894,0.315971443127577
"WDR13",0,0,0,1,21,12,1.74992371957171,0.162283199706063,21,12,1.74992371957171,0.162283199706063
"MAPKAPK2",0,0,0,1,100,65,1.53840834037317,0.00761451300248285,100,65,1.53840834037317,0.00761451300248285
"GRIP1",2,0,Inf,0.49996572290589,359,356,1.0084269994301,0.938943064840903,361,356,1.01404562629214,0.878406715967093
"FAM45A",3,0,Inf,0.249948605513182,69,50,1.37996439081247,0.0971948141230124,72,50,1.43995772679084,0.0558322259190097
"NIPBL",0,0,0,1,237,178,1.33143055803196,0.0045111774987196,237,178,1.33143055803196,0.0045111774987196
"FUT8",0,0,0,1,236,216,1.09256947336494,0.36439226949585,236,216,1.09256947336494,0.36439226949585
"DCAF5",2,0,Inf,0.49996572290589,123,98,1.25507998925556,0.103723742911307,125,98,1.27548601118797,0.0792565629646191
"KIAA1257",5,4,1.24997834728159,1,546,524,1.04199589125059,0.526507040137898,551,528,1.0435726806342,0.507715462458977
"MGA",2,0,Inf,0.49996572290589,1936,1784,1.0851889698636,0.0262515001058572,1938,1784,1.08631136981176,0.0250502360474687
"ZNF587",5,6,0.833344859649759,1,789,759,1.03953613783074,0.470579535757113,794,765,1.03791806810079,0.488544498789813
"CCAR1",1,0,Inf,1,74,51,1.4509368975289,0.0477433029724898,75,51,1.47054255772672,0.0392212290574286
"FBLN2",2,0,Inf,0.49996572290589,423,397,1.06551798140339,0.389096105389804,425,397,1.07049002616505,0.351384481167691
"TMEM123",2,0,Inf,0.49996572290589,1032,880,1.17271423432557,0.00111375482226561,1034,880,1.17498675017246,0.000943314029095335
"DDR2",2,0,Inf,0.49996572290589,354,361,0.980607653578505,0.818261575165899,356,361,0.986148920790186,0.878406715967093
"CDR2L",0,0,0,1,162,135,1.199983573793,0.127573032167066,162,135,1.199983573793,0.127573032167066
"CA11",2,0,Inf,0.49996572290589,29,18,1.61104986537757,0.143226459751769,31,18,1.7221489311178,0.0849172997365368
"DSCAM",1,0,Inf,1,553,535,1.03365179635188,0.615103706930153,554,535,1.03552182905717,0.593349086754572
"KLF6",0,0,0,1,61,51,1.19606227962672,0.393393306550899,61,51,1.19606227962672,0.393393306550899
"DIP2B",1,0,Inf,1,620,590,1.05086438099334,0.419257494509933,621,590,1.05256046975956,0.402430424317012
"JPH3",0,0,0,1,268,276,0.971009910913253,0.759904816802533,268,276,0.971009910913253,0.759904816802533
"POU2F2",0,0,0,1,37,20,1.84991312110955,0.0328115412285459,37,20,1.84991312110955,0.0328115412285459
"ZNF667",0,3,0,0.249948605513182,144,138,1.0434889620944,0.76377622929263,144,141,1.02127861224058,0.904809645491447
"RHOV",2,0,Inf,0.49996572290589,8,3,2.66664688857283,0.22638608576044,10,3,3.33342166738329,0.0921421096335667
"SCAF11",2,0,Inf,0.49996572290589,1015,943,1.07632248224371,0.129446565032979,1017,943,1.07844531366331,0.117914920609208
"SCN10A",8,7,1.1428459396773,1,1454,1346,1.08021545050363,0.0633055668719454,1462,1353,1.08053982058205,0.0610165152613712
"SCARA5",1,2,0.500025679499842,1,509,518,0.982624073634841,0.796243665993781,510,520,0.980767386131484,0.77175481193464
"USP11",0,0,0,1,35,29,1.20687930642105,0.531408852407671,35,29,1.20687930642105,0.531408852407671
"OVOL2",1,0,Inf,1,120,106,1.13206533674187,0.383614306684127,121,106,1.14149846285407,0.349137582010172
"PPM1N",0,0,0,1,202,170,1.18822005481596,0.103779643093229,202,170,1.18822005481596,0.103779643093229
"LONRF2",2,0,Inf,0.49996572290589,181,183,0.989070820496754,0.957689963397267,183,183,1,1
"MKNK2",2,0,Inf,0.49996572290589,401,327,1.22628088573836,0.00782449257204428,403,327,1.23239647316696,0.00629808911202579
"TMEM178A",1,0,Inf,1,22,11,1.99989734352334,0.0798069776605812,23,11,2.09079693099959,0.0573273484161744
"PTPRJ",5,2,2.49999307675205,0.453012582262561,559,502,1.11353762897107,0.0920167084111679,564,504,1.11903897650069,0.0812007556347296
"LARP4",2,0,Inf,0.49996572290589,1070,944,1.13346508053709,0.00891199598881106,1072,944,1.13558354449964,0.00777544330319919
"BTG4",1,0,Inf,1,28,6,4.66603005052482,0.000192097593630166,29,6,4.83268870027917,0.000114866961496986
"SMARCD2",1,0,Inf,1,41,29,1.41375372087659,0.187169138095368,42,29,1.44823264348205,0.152925853298377
"GRHL1",0,0,0,1,68,47,1.44676547603698,0.0607240627482427,68,47,1.44676547603698,0.0607240627482427
"STAT5B",0,0,0,1,49,34,1.44113404806948,0.122805809429581,49,34,1.44113404806948,0.122805809429581
"SLC4A8",0,0,0,1,49,35,1.39996215639835,0.15448666894671,49,35,1.39996215639835,0.15448666894671
"MYORG",2446,2461,0.993904810385084,0.85595724806002,406,358,1.13406815589213,0.094864893668314,2852,2819,1.01170728225496,0.718892949655801
"BAZ2A",2,0,Inf,0.49996572290589,517,577,0.896020594797998,0.0846519252535078,519,577,0.899486563338173,0.0968746266532085
"HBQ1",3,2,1.49995099608784,1,154,139,1.10790335875161,0.408879845411365,157,141,1.11346667941269,0.380187477731162
"FUT1",1,0,Inf,1,55,31,1.77411472873184,0.0124251134698039,56,31,1.80636936863,0.00946990576210504
"CSNK1E",1,0,Inf,1,29,31,0.93546052317169,0.897211071366473,30,31,0.967736568281336,1
"MEF2C",0,0,0,1,14,8,1.74992371090597,0.285913946405238,14,8,1.74992371090597,0.285913946405238
"DOCK4",0,1,0,1,1510,1510,1,1,1510,1511,0.999338219762601,1
"MRPS25",2,0,Inf,0.49996572290589,16,18,0.888896482151543,0.864008023615571,18,18,1,1
"DBP",0,0,0,1,71,83,0.855431589947076,0.372968868840933,71,83,0.855431589947076,0.372968868840933
"EHD4",1,0,Inf,1,90,64,1.40621149711945,0.0425571505880629,91,64,1.42183475988594,0.0354931721988593
"UBR3",1,0,Inf,1,413,459,0.899788679237038,0.133896338002245,414,459,0.901967179965927,0.143384326288015
"ZNF317",2,2,1,1,218,197,1.10658847614012,0.319631782559938,220,199,1.1055161326302,0.321890935743509
"SH2D3C",1,3,0.333335894718525,0.624948586120971,501,480,1.04376202543025,0.530900103388951,502,483,1.03934707454559,0.575738742565037
"PRDM12",0,0,0,1,19,8,2.37500379877169,0.0520257152083319,19,8,2.37500379877169,0.0520257152083319
"MFAP4",1,0,Inf,1,40,28,1.42853040163673,0.180804144497503,41,28,1.46424071246759,0.147087727781047
"SYNGAP1",0,0,0,1,129,114,1.13156886436813,0.365262918611055,129,114,1.13156886436813,0.365262918611055
"SMARCA2",1,0,Inf,1,111,88,1.26134091802529,0.116252625368601,112,88,1.27270336038883,0.101392263006132
"SF3A1",1,0,Inf,1,39,36,1.08330034393701,0.817091834531972,40,36,1.11110184511392,0.730334021199062
"VASH2",2,0,Inf,0.49996572290589,509,472,1.07835765937781,0.262111883214435,511,472,1.08259850598794,0.235545999578179
"MTMR6",0,0,0,1,363,379,0.957772803246026,0.572601296027913,363,379,0.957772803246026,0.572601296027913
"DCAF15",0,0,0,1,67,44,1.52267579480047,0.03563082195222,67,44,1.52267579480047,0.03563082195222
"MAML3",0,0,0,1,447,470,0.95104872580137,0.474688119789845,447,470,0.95104872580137,0.474688119789845
"SCN1A",0,0,0,1,223,247,0.902841374130075,0.281374539984855,223,247,0.902841374130075,0.281374539984855
"TTC13",5,1,4.99935160462203,0.218653694808287,299,312,0.958322992247982,0.620337673588909,304,313,0.971241451284368,0.742354199835834
"PHYHIP",0,0,0,1,19,10,1.89990782058105,0.135659826890278,19,10,1.89990782058105,0.135659826890278
"FLNA",0,0,0,1,214,213,1.00469470046665,1,214,213,1.00469470046665,1
"HGS",0,2,0,0.49996572290589,174,158,1.10124960511878,0.405225031852107,174,160,1.08747181858208,0.471994991800084
"RLIM",2,0,Inf,0.49996572290589,34,26,1.30766457825409,0.365310841173223,36,26,1.3845792346504,0.251853107639099
"CDC26",0,0,0,1,55,36,1.52772573150758,0.0578132902662045,55,36,1.52772573150758,0.0578132902662045
"WDTC1",0,0,0,1,63,49,1.28568894337494,0.217392224793605,63,49,1.28568894337494,0.217392224793605
"PAPOLA",0,0,0,1,35,28,1.24997838148958,0.448984909598608,35,28,1.24997838148958,0.448984909598608
"TUBG2",2,0,Inf,0.49996572290589,33,25,1.31997093820086,0.357190098725573,35,25,1.39996214400905,0.244097108353926
"ABHD2",2,0,Inf,0.49996572290589,35,31,1.12902231108608,0.711607189265687,37,31,1.19353245553482,0.543674135423965
"MFAP2",0,2,0,0.49996572290589,59,52,1.13460496802765,0.567755125732239,59,54,1.09256717898745,0.705800349426049
"NCKAP1L",3,0,Inf,0.249948605513182,165,177,0.932237602454105,0.547447985613993,168,177,0.949137465287152,0.663082682438394
"ADAMTS6",2,0,Inf,0.49996572290589,203,228,0.890358219950979,0.241053399632323,205,228,0.899129542489764,0.283584161629412
"ATP8A2",1,0,Inf,1,237,216,1.09720323073707,0.340227274065225,238,216,1.10183714248379,0.317164280343501
"BBS5",1,1,1,1,246,218,1.12843066318918,0.203263759783274,247,219,1.12784422925934,0.204208411277377
"KRT1",2,0,Inf,0.49996572290589,429,376,1.14094680562053,0.0703044896617484,431,376,1.14626548319799,0.0601148553567347
"DRP2",7,5,1.39996211862962,0.774321289231259,148,97,1.52572143339669,0.00125320851637116,155,102,1.51955676860048,0.00104984831989742
"LDHC",0,3,0,0.249948605513182,138,108,1.2777533581886,0.0621719447395331,138,111,1.24322243653007,0.0965243134309656
"AKAP1",2,0,Inf,0.49996572290589,648,619,1.0468641584414,0.446380429020592,650,619,1.05009730107209,0.412557677175899
"CHID1",0,0,0,1,56,33,1.69689914874608,0.0188381830693729,56,33,1.69689914874608,0.0188381830693729
"ADIPOQ",0,1,0,1,500,460,1.08693156650233,0.217668006308955,500,461,1.08457167171749,0.2305758695454
"UBXN4",2,0,Inf,0.49996572290589,71,74,0.959450401424995,0.86751024327685,73,74,0.986485996087289,1
"C17orf97",3,4,0.750017180487538,1,128,173,0.739902118265208,0.010395286574875,131,177,0.740130703437467,0.00956830455665743
"TRAPPC6B",1,2,0.500025679499842,1,30,16,1.8749104731179,0.0537056104354659,31,18,1.7221489311178,0.0849172997365368
"CABIN1",10,0,Inf,0.00194714836061922,1788,1811,0.987298871701599,0.737620101028537,1798,1811,0.992821502290201,0.852517981538303
