"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","LoF+Missense_T","LoF+Missense_UT","LoF+Missense_OR","LoF+Missense_P_value"
"CLCN1",24,26,0.923105155003071,0.887532562034171,575,537,1.07072587173818,0.276318243696406,599,563,1.06396983647986,0.314553867825783
"AL355102.2",0,0,0,1,41,21,1.95228332732397,0.0149280932289884,41,21,1.95228332732397,0.0149280932289884
"APOBEC3C",3,0,Inf,0.249948605513182,81,71,1.1408341201332,0.463205035850112,84,71,1.18308372183915,0.332606248604715
"PCDH18",1,0,Inf,1,398,360,1.10554689760424,0.180074489012171,399,360,1.10832545683378,0.168566467300683
"DNAAF4",3,0,Inf,0.249948605513182,853,842,1.01306484977245,0.817354012613159,856,842,1.01662849808903,0.758333326606917
"ERMARD",2,3,0.666688446894727,1,609,564,1.07975714513843,0.213387131716573,611,567,1.07756950468432,0.225671024857923
"SZT2",6,4,1.49995099848767,0.753821907775359,1035,971,1.06587317892655,0.182403479563229,1041,975,1.06765551675342,0.175591930797602
"FBXL8",79,59,1.33895196693604,0.103865326769092,35,35,1,1,114,94,1.21274821643387,0.184538265555235
"UNC13B",4,3,1.33330279094402,1,970,952,1.01890961624417,0.715867081412064,974,955,1.01989761858159,0.698292350538688
"AS3MT",2,0,Inf,0.49996572290589,65,77,0.844166549644024,0.353688148765635,67,77,0.870138738430297,0.451161696431149
"ARL8A",0,0,0,1,2,6,0.333335983022799,0.288927677347483,2,6,0.333335983022799,0.288927677347483
"KRT38",10,5,1.99989730986852,0.301506990661404,352,317,1.11040201038304,0.192026713516679,362,322,1.12421436107512,0.137241349031825
"CLUL1",10,7,1.42853037601686,0.628855533775774,99,72,1.37496497060691,0.0452643620583615,109,79,1.37971128941471,0.0330834531317184
"CYR61",0,0,0,1,128,127,1.00787397154933,1,128,127,1.00787397154933,1
"PLA2G2A",1,0,Inf,1,176,149,1.18119346221963,0.144892324476385,177,149,1.18790422827501,0.130635094460365
"CD1D",4,7,0.571453486097286,0.548673561199024,89,67,1.32832829511709,0.0907099601118716,93,74,1.25673450028754,0.161126173679155
