"","Gene","BF","post.prob"
"1","RBM15",1.24222515495043,0.986471567283884
"2","MTOR",1.03707152175686,0.983838621858397
"3","ASH1L",1.16731952741351,0.985615949298951
"4","ARHGEF2",1.13116094418145,0.985162972154851
"5","SPEN",1.20238764042702,0.986029605037794
"6","ZBTB17",1.86955842954251,0.990970062900703
"7","COPA",1.27925716425297,0.986858042447593
"8","UBR4",0.966484510686001,0.982678723752032
"9","CDC73",0.844607130260878,0.980228669752548
"10","KIF21B",0.804213834624196,0.979256213720388
"11","RYR2",1.20081194195787,0.98601152960135
"12","CHD5",0.988907187725947,0.983064818567901
"13","JAK1",0.847930181746522,0.980304627822173
"14","LRRC7",1.09055454794343,0.984619018139859
"15","SMC3",0.884152915923817,0.981096271344297
"16","SLIT1",1.24192556540784,0.986468347981852
"17","CTR9",1.03645221333613,0.983829121154842
"18","PRDM10",1.56969366149558,0.989263559043187
"19","PAX6",1.23752514052305,0.986420885148406
"20","CSTF3",1.18767251012909,0.985858961093724
"21","CAPRIN1",1.69542648524301,0.99005185261816
"22","DGKZ",0.939413243743887,0.982188463572794
"23","MARK2",1.19000349440895,0.9858862696816
"24","NRXN2",2.70509085980046,0.993741721297399
"25","LTBP3",1.30350001565725,0.987099307026484
"26","ATP2A2",1.2254196846681,0.986288581517588
"27","NOS1",1.00777200856401,0.983376564001867
"28","KSR2",0.815113114831799,0.979527910681994
"29","CIT",1.17440502142786,0.985701491191558
"30","KDM2B",1.36216973265676,0.987648086720921
"31","EP400",1.33293887693735,0.987380632083631
"32","CACNA1C",1.37543256290975,0.987765734870245
"33","DDX23",0.932680098711045,0.982062186172662
"34","ESPL1",0.876908205846553,0.980943071559539
"35","MAP3K12",1.16928389680184,0.985639767152013
"36","LRP1",1.14170925180505,0.985298036835366
"37","CHD4",1.28052743071566,0.986870907938217
"38","WNK1",0.99530234933691,0.98317180181189
"39","FRY",1.12101190274086,0.985030656429898
"40","PDS5B",1.31999740479824,0.987258486130665
"41","MYCBP2",1.03585047932041,0.983819879351808
"42","DYNC1H1",1.98474369515633,0.991489658436325
"43","CHD8",0.845174147868783,0.980241672028911
"44","RALGAPA1",1.14074108687502,0.985285742649015
"45","AQR",0.671198276953588,0.975247045499231
"46","SEMA6D",0.661696581331176,0.974900524489815
"47","HERC1",0.866184147529554,0.980711682304628
"48","RASGRF1",0.719897305014529,0.976882804257635
"49","MAPK8IP3",1.14456890134945,0.985334230267798
"50","SMG1",1.30465486143914,0.987110579187958
