"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue"
"KCNMB3",0.85546875,0.0610390603542328,0.0476719427955968
"CA8",0.25,0.25,0.596573590279973
"BMS1",0.25,0.08978271484375,0.195155016532844
"CERS6",0.5,0.5,0.846573590279973
"PDE2A",1,0.0546875,0.213615943781642
"CLCNKB",0.0546875,0.143139362335205,0.147314174161861
"NUP214",0.125,0.125,0.38493019270998
"TNR",0.125,0.1875,0.315667838824839
"MED12L",0.125,0.125,0.38493019270998
"FUT7",0.5,0.5,0.846573590279973
"MBNL1",1,0.03271484375,0.144597200475335
"HERC3",0.25,0.25,0.596573590279973
"KBTBD6",1,0.70947265625,0.952987313340813
"UNC80",0.7734375,0.7734375,0.972141648161857
"ORM2",0.9375,0.0918285859508874,0.220170511316263
"TRPC4AP",0.125,0.125,0.38493019270998
"WDR13",1,0.03125,0.139554246962491
"MAPKAPK2",1,0.0245208740234375,0.11544992753322
"GRIP1",0.25,0.25,0.596573590279973
"FAM45A",0.125,0.2744140625,0.281021294927969
"NIPBL",1,0.15087890625,0.436232818438404
"FUT8",1,0.5,0.846573590279973
"DCAF5",0.25,0.3125,0.501370581294688
"KIAA1257",0.5,0.5,0.846573590279973
"MGA",0.25,0.25,0.596573590279973
"ZNF587",0.7255859375,0.100244211032987,0.109996047086515
"CCAR1",0.5,0.19384765625,0.409736461439457
"FBLN2",0.25,0.25,0.596573590279973
"TMEM123",0.25,0.25,0.596573590279973
"DDR2",0.25,0.25,0.596573590279973
"CDR2L",1,0.188542793737724,0.503113299014184
"CA11",0.25,0.25,0.596573590279973
"DSCAM",0.5,0.5,0.846573590279973
"KLF6",1,0.11328125,0.359994401641795
"DIP2B",0.5,0.3125,0.596573590279973
"JPH3",1,0.890625,0.993787710702062
"POU2F2",1,0.046142578125,0.188078032144454
"ZNF667",1,1,1
"RHOV",0.25,0.1875,0.38493019270998
"SCAF11",0.25,0.0625,0.235786795139986
"SCN10A",0.5,0.5,0.846573590279972
"SCARA5",0.875,0.875,0.991839968546457
"USP11",1,0.072998046875,0.264057484229802
"OVOL2",0.5,0.25,0.596573590279973
"PPM1N",1,0.0140964209088215,0.0741730317511338
"LONRF2",0.25,0.25,0.596573590279973
"MKNK2",0.25,0.019287109375,0.0723572291638464
"TMEM178A",0.5,0.0625,0.235786795139986
"PTPRJ",0.2265625,0.2265625,0.562947645187978
"LARP4",0.25,0.25,0.596573590279973
"BTG4",0.5,0.5,0.846573590279973
"SMARCD2",0.5,0.125,0.38493019270998
