"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"MLST8",1,1,1,NA,0.966666666666667
"CRIP2",1,1,1,NA,0.947368421052632
"IL2RA",1,1,1,NA,0.96969696969697
"OR6C1",1,1,1,1,0.973684210526316
"ITGA7",0.88671875,0.88671875,0.993326663783525,0.857142857142857,0.992857142857143
"TM4SF5",0.7734375,0.7734375,0.972141648161857,0.5,0.96
"OR5A2",0.36328125,0.36328125,0.73113183388026,0.36328125,0.966666666666667
"PLEK2",0.6875,0.6875,0.94510174649097,0.6875,0.96875
"C1QTNF12",0.5,0.5,0.846573590279973,0.5,0.973684210526316
"SEMA3E",1,1,1,NA,0.986666666666667
"COQ10B",0.5,0.5,0.846573590279973,0.5,0.928571428571429
"CD300LD",1,1,1,NA,0.954545454545455
"KIF18A",0.34375,0.34375,0.710820216562966,0.75,0.988235294117647
"KHDC1L",0.8125,0.8125,0.981206983882324,0.87947840959645,0.933333333333333
"BCL7B",1,1,1,NA,0.857142857142857
"SFPQ",1,0.8125,0.981206983882324,NA,0.96875
"RBAK-RBAKDN",1,1,1,NA,0.916666666666667
"ENPP4",1,1,1,NA,0.982456140350877
"PDCL2",0.6875,0.6875,0.94510174649097,0.5,0.928571428571429
"NCK2",1,0.875,0.991839968546457,NA,0.96875
"PAGE2",1,1,1,NA,0.9
"LRRC71",0.98175829999582,0.98175829999582,0.999832599177302,0.5,0.980392156862745
"BLOC1S6",0.25,0.25,0.596573590279973,0.5,0.928571428571429
"C6orf48",0.75,0.75,0.965761554338836,0.75,0.875
"SRMS",0.25,0.25,0.596573590279973,0.5,0.987951807228916
"LRIF1",0.75,0.75,0.965761554338836,0.5,0.985507246376812
"BPIFA1",0.5,0.5,0.846573590279973,0.5,0.952380952380952
"TNFSF15",0.5,0.5,0.846573590279973,0.5,0.956521739130435
"ANKRD6",0.125,0.125,0.38493019270998,0.5,0.988235294117647
"RNF219",0.0625,0.0625,0.235786795139986,0.5,0.985294117647059
"C10orf113",1,1,1,NA,0.96551724137931
"TVP23C-CDRT4",1,1,1,NA,0.468122918846141
"RNASE4",0.125,0.125,0.38493019270998,0.352416382349567,0.95
"GLB1L2",0.5,0.5,0.846573590279973,0.618326005905696,0.983870967741935
"PPM1M",0.5,0.5,0.846573590279973,0.5,0.962962962962963
"GPM6A",1,1,1,NA,0.9
"SEMA6B",1,1,1,NA,0.984126984126984
"SOX7",1,1,1,NA,0.981132075471698
