"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"1829","GADD45G",1.9529,"NA","40 vs 32","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"11 vs 3",2.05,"28 vs 28",1,"-",NA,"-",NA,"-",NA,"-",NA
"1830","SNIP1",1.9528,"NA","95 vs 95","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"32 vs 24",2.53,"-",NA,"-",NA,"30 vs 34",0.77,"33 vs 37",1,"-",NA
"1831","SLC25A27",1.9526,"4","686 vs 647","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"14 vs 4",2.43,"-",NA,"-",NA,"12 vs 14",0.78,"-",NA,"659 vs 629",1
"1832","GNPAT",1.9522,"NA","146 vs 127","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.09,"-",NA,"-",NA,"73 vs 65",1.74,"70 vs 61",1,"-",NA
"1833","ELF5",1.9519,"NA","36 vs 32","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"36 vs 31",2.03,"-",NA,"-",NA
"1834","STX5",1.9506,"NA","88 vs 79","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.1,"27 vs 35",1,"-",NA,"59 vs 43",1.83,"-",NA,"-",NA
"1835","SARNP",1.9496,"NA","13 vs 3","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 3",1.95,"-",NA,"-",NA
"1836","NLGN3",1.9492,"2","34 vs 32","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.1,"-",NA,"-",NA,"1 vs 0",1.1,"-",NA,"-",NA,"11 vs 5",1.61,"19 vs 25",1,"-",NA
"1837","CAMK2B",1.9489,NA,"29 vs 25","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 2",2.45,"-",NA,"-",NA,"3 vs 4",0.79,"-",NA,"-",NA,"19 vs 19",1.01,"-",NA,"-",NA
"1838","ZNF429",1.9482,"NA","776 vs 772","-",NA,"-",NA,"-",NA,"-",NA,"14 vs 13",0.92,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"84 vs 68",2.14,"303 vs 343",0.99,"375 vs 348",0.99
"1839","SNRNP40",1.948,"NA","29 vs 28","-",NA,"-",NA,"3 vs 1",1.68,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"16 vs 13",1.01,"-",NA,"-",NA,"9 vs 14",0.94,"-",NA,"-",NA
"1840","CRYBB1",1.9471,"NA","105 vs 107","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 6",2.45,"-",NA,"-",NA,"38 vs 38",0.86,"48 vs 61",1,"-",NA
"1841","PABPC4L",1.9465,"NA","241 vs 213","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"32 vs 21",2.03,"209 vs 191",1,"-",NA
"1842","CD300A",1.9464,"NA","41 vs 31","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.95,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"40 vs 29",2.04,"-",NA,"-",NA
"1843","ATOH7",1.9458,"NA","14 vs 5","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"10 vs 5",1.34,"-",NA,"-",NA,"3 vs 0",1.19,"-",NA,"-",NA
"1844","CDC42BPA",1.9455,"NA","224 vs 183","2 vs 1",1.18,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 6",1.65,"-",NA,"-",NA,"115 vs 97",1,"94 vs 79",1,"-",NA
"1845","TUBGCP6",1.9452,"NA","1450 vs 1474","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 6",0.91,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"357 vs 320",2.17,"83 vs 95",0.99,"1007 vs 1053",0.99
"1846","DDHD2",1.9445,"NA","195 vs 168","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"74 vs 68",1.91,"120 vs 99",1.02,"-",NA
"1847","NECAB1",1.9444,"NA","84 vs 70","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.24,"66 vs 57",1,"-",NA,"16 vs 12",1.63,"-",NA,"-",NA
"1848","DNAJC8",1.9437,"NA","14 vs 9","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.01,"-",NA,"-",NA,"10 vs 7",1.32,"-",NA,"-",NA
"1849","AAMP",1.9436,"NA","81 vs 69","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"0 vs 1",0.78,"-",NA,"-",NA,"23 vs 19",1.02,"-",NA,"-",NA,"37 vs 23",1.69,"20 vs 26",1,"-",NA
"1850","FAM173B",1.9423,"NA","613 vs 598","-",NA,"-",NA,"-",NA,"-",NA,"53 vs 50",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"47 vs 34",1.92,"56 vs 64",1,"457 vs 450",1
"1851","SYNCRIP",1.9417,"4","34 vs 22","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"-",NA,"-",NA,"11 vs 6",1.41,"-",NA,"-",NA,"21 vs 15",1.05,"-",NA,"-",NA
"1852","CDH2",1.9416,"NA","1092 vs 1112","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"22 vs 9",2.6,"-",NA,"-",NA,"69 vs 63",0.75,"-",NA,"1001 vs 1040",0.99
"1853","SGIP1",1.9413,"NA","753 vs 759","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"122 vs 100",1.95,"-",NA,"631 vs 659",1
"1854","UQCC3",1.9412,"NA","251 vs 214","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"12 vs 4",1.72,"17 vs 14",1,"-",NA,"19 vs 11",1.13,"-",NA,"203 vs 185",1
"1855","CARF",1.9403,"NA","318 vs 272","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"89 vs 62",1.95,"117 vs 114",1,"112 vs 96",1
"1856","OPTN",1.9402,"NA","657 vs 594","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"52 vs 34",2.03,"21 vs 27",1,"584 vs 532",1
"1857","CHST13",1.9398,"NA","111 vs 106","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 32",1.49,"24 vs 22",1,"-",NA,"6 vs 2",1.26,"5 vs 3",1,"38 vs 47",1
"1858","TBC1D32",1.9387,"NA","1641 vs 1745","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 8",0.86,"-",NA,"5 vs 1",1.99,"-",NA,"-",NA,"2 vs 1",1.04,"-",NA,"-",NA,"165 vs 143",1.11,"288 vs 300",0.99,"1175 vs 1292",0.99
"1859","ATAD3B",1.9382,"NA","779 vs 735","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 9",0.89,"-",NA,"12 vs 10",1.07,"-",NA,"-",NA,"30 vs 23",1.29,"108 vs 92",1,"-",NA,"107 vs 93",1.6,"515 vs 508",0.99,"-",NA
"1860","MAEL",1.937,"NA","512 vs 473","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"46 vs 35",1.88,"65 vs 60",1,"399 vs 377",1
"1861","PXMP4",1.9369,"NA","105 vs 92","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"22 vs 15",1.3,"9 vs 7",1,"-",NA,"18 vs 9",1.5,"56 vs 61",1,"-",NA
"1862","MBOAT2",1.9368,"NA","751 vs 723","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"11 vs 11",0.98,"70 vs 71",1,"-",NA,"33 vs 23",1.37,"-",NA,"636 vs 618",1
"1863","CACNG2",1.9368,"NA","15 vs 20","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 1",2.92,"-",NA,"-",NA,"2 vs 5",0.76,"-",NA,"-",NA,"7 vs 14",0.87,"-",NA,"-",NA
"1864","LIPT1",1.9356,"NA","57 vs 40","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 11",0.88,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"29 vs 13",2.21,"20 vs 16",1,"-",NA
"1865","COL1A1",1.9347,"NA","255 vs 237","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 10",0.61,"-",NA,"-",NA,"181 vs 142",2.3,"66 vs 85",1,"-",NA
"1866","TP53",1.9343,"NA","49 vs 44","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 7",0.98,"-",NA,"-",NA,"35 vs 24",1.97,"7 vs 13",1,"-",NA
"1867","MOB3C",1.9341,"NA","76 vs 58","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.21,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 9",0.77,"-",NA,"-",NA,"37 vs 25",2.07,"28 vs 24",1,"-",NA
"1868","FGR",1.9333,"NA","41 vs 41","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"5 vs 2",2.11,"-",NA,"-",NA,"20 vs 14",1.39,"-",NA,"-",NA,"16 vs 25",0.66,"-",NA,"-",NA
"1869","ECPAS",1.9323,"NA","967 vs 926","0 vs 1",0.62,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.49,"-",NA,"-",NA,"12 vs 8",1.44,"2 vs 6",1,"57 vs 52",0.95,"168 vs 151",1.54,"165 vs 156",0.99,"561 vs 552",1
"1870","DGKB",1.9321,"NA","357 vs 383","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"11 vs 5",2.05,"-",NA,"-",NA,"59 vs 61",0.65,"-",NA,"286 vs 317",1
"1871","DDX19B",1.9317,"NA","214 vs 231","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 2",1.88,"-",NA,"-",NA,"18 vs 26",0.97,"144 vs 163",1,"-",NA,"8 vs 7",1.06,"38 vs 33",1,"-",NA
"1872","SMYD2",1.9309,"NA","402 vs 386","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.9,"21 vs 16",1,"-",NA,"22 vs 14",2,"26 vs 19",1,"330 vs 335",1
"1873","TANC2",1.9304,"3","330 vs 337","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"17 vs 16",1.27,"-",NA,"-",NA,"148 vs 151",1.11,"13 vs 11",1,"151 vs 159",1
"1874","ATF6B",1.9302,"NA","364 vs 337","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"28 vs 20",1.74,"205 vs 183",1,"-",NA,"63 vs 63",1.16,"67 vs 69",1,"-",NA
"1875","TNPO1",1.9301,"NA","28 vs 30","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.49,"-",NA,"-",NA,"25 vs 26",1.57,"-",NA,"-",NA,"1 vs 4",0.83,"-",NA,"-",NA
"1876","BEX3",1.9299,"NA","6 vs 0","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"4 vs 0",1.49,"-",NA,"-",NA,"1 vs 0",1.06,"-",NA,"-",NA
"1877","CDKN2A",1.9283,"NA","391 vs 409","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"10 vs 4",1.43,"-",NA,"-",NA,"18 vs 11",1.35,"18 vs 17",1,"345 vs 377",1
"1878","RTF2",1.9283,"NA","40 vs 22","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 2",1.03,"-",NA,"-",NA,"37 vs 20",1.8,"-",NA,"-",NA
"1879","KCNT2",1.9281,"NA","80 vs 84","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"2 vs 2",0.91,"-",NA,"-",NA,"9 vs 8",0.98,"-",NA,"-",NA,"28 vs 16",1.5,"40 vs 58",1,"-",NA
"1880","DMXL2",1.9269,"4","727 vs 721","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.23,"-",NA,"-",NA,"245 vs 222",1.15,"478 vs 498",0.99,"-",NA
"1881","SFTPA1",1.9262,"NA","213 vs 178","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 6",0.92,"-",NA,"4 vs 2",1.49,"-",NA,"-",NA,"9 vs 12",0.67,"-",NA,"-",NA,"33 vs 14",2.08,"161 vs 144",1,"-",NA
"1882","PKD1L1",1.9261,"NA","2255 vs 2323","-",NA,"-",NA,"-",NA,"-",NA,"10 vs 13",1.11,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"430 vs 398",1.79,"1085 vs 1109",0.98,"730 vs 803",0.99
"1883","HELQ",1.9251,"NA","494 vs 450","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 5",1.15,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"107 vs 93",1.69,"382 vs 352",1,"-",NA
"1884","N4BP1",1.9248,"NA","156 vs 145","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"66 vs 53",1.93,"90 vs 92",1,"-",NA
"1885","HSF4",1.9244,"NA","91 vs 77","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 4",0.91,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 4",1.09,"-",NA,"-",NA,"35 vs 24",1.94,"49 vs 45",1,"-",NA
"1886","BAD",1.9243,"NA","30 vs 21","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"19 vs 13",1.84,"-",NA,"-",NA,"9 vs 8",0.97,"-",NA,"-",NA
"1887","RBM43",1.9242,"NA","521 vs 523","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"51 vs 38",1.93,"2 vs 2",1,"468 vs 483",1
"1888","ARMC4",1.9242,"NA","293 vs 288","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 2",1.07,"-",NA,"7 vs 5",1.81,"-",NA,"-",NA,"3 vs 0",1.36,"12 vs 14",1,"-",NA,"162 vs 157",0.73,"105 vs 110",1,"-",NA
"1889","GPBP1",1.9241,"NA","252 vs 241","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"11 vs 17",0.48,"-",NA,"-",NA,"45 vs 15",4,"65 vs 75",1,"131 vs 134",1
"1890","CATIP",1.9239,"NA","121 vs 90","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 4",0.92,"-",NA,"-",NA,"76 vs 46",2.02,"41 vs 40",1,"-",NA
"1891","VIPAS39",1.9232,"NA","147 vs 124","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 2",1.28,"-",NA,"-",NA,"53 vs 50",1.35,"85 vs 72",1,"-",NA
"1892","ST8SIA4",1.923,"NA","19 vs 11","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.19,"4 vs 1",1,"-",NA,"12 vs 9",1.62,"-",NA,"-",NA
"1893","MED20",1.9228,"NA","33 vs 23","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"8 vs 3",1.54,"-",NA,"-",NA,"25 vs 20",1.25,"-",NA,"-",NA
"1894","ALPK2",1.9227,"NA","3344 vs 3375","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 7",0.99,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"331 vs 286",1.99,"594 vs 613",1,"2411 vs 2469",0.97
"1895","SEMG2",1.9227,"NA","204 vs 214","-",NA,"-",NA,"-",NA,"-",NA,"28 vs 34",0.89,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"127 vs 119",2.17,"49 vs 61",1,"-",NA
"1896","RPAP1",1.9217,"NA","677 vs 710","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 3",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 0",1.2,"-",NA,"-",NA,"201 vs 212",1.59,"264 vs 254",0.99,"205 vs 241",0.99
"1897","RD3",1.921,"NA","442 vs 412","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"23 vs 17",1.42,"299 vs 304",1,"-",NA,"14 vs 7",1.35,"106 vs 84",1,"-",NA
"1898","DCDC2",1.9205,"NA","605 vs 617","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 2",0.93,"-",NA,"2 vs 2",0.82,"-",NA,"-",NA,"0 vs 1",0.9,"-",NA,"-",NA,"41 vs 33",2.83,"-",NA,"562 vs 579",1
"1899","NAXE",1.9185,"NA","57 vs 39","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 7",0.79,"-",NA,"-",NA,"50 vs 32",2.35,"-",NA,"-",NA
"1900","SLC39A13",1.9185,"NA","330 vs 328","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 2",1.28,"-",NA,"-",NA,"43 vs 26",1.51,"99 vs 81",1,"184 vs 219",1
"1901","PPP2R5A",1.9184,"NA","183 vs 154","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"15 vs 11",1.09,"-",NA,"-",NA,"-",NA,"-",NA,"166 vs 143",1
"1902","IGDCC3",1.9178,"NA","229 vs 214","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.06,"-",NA,"2 vs 0",1.49,"-",NA,"-",NA,"4 vs 8",0.61,"-",NA,"-",NA,"152 vs 132",1.99,"68 vs 72",1,"-",NA
"1903","ADH1A",1.9176,"NA","50 vs 36","-",NA,"-",NA,"-",NA,"-",NA,"15 vs 13",0.91,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 23",2.11,"-",NA,"-",NA
"1904","DNAJC17",1.9174,"NA","466 vs 419","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 2",1.07,"-",NA,"-",NA,"52 vs 40",1.73,"106 vs 77",1,"304 vs 300",1
"1905","ADAM19",1.9162,"NA","596 vs 588","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 2",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"25 vs 29",0.41,"9 vs 11",1,"-",NA,"92 vs 76",4.89,"282 vs 283",0.99,"187 vs 187",1
"1906","DYNAP",1.916,"NA","148 vs 185","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"36 vs 23",1.92,"111 vs 161",1,"-",NA
"1907","TRERF1",1.9158,"NA","1292 vs 1269","0 vs 1",0.62,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"29 vs 15",2.8,"136 vs 97",1,"672 vs 684",0.95,"112 vs 96",1.17,"343 vs 376",0.99,"-",NA
"1908","MRPL20",1.9145,"NA","34 vs 24","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"31 vs 23",1.91,"3 vs 1",1,"-",NA
"1909","PRSS27",1.9144,"NA","131 vs 122","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 4",0.87,"-",NA,"-",NA,"56 vs 34",2.22,"72 vs 84",1,"-",NA
"1910","CTTN",1.9143,"NA","159 vs 130","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"21 vs 15",1.29,"42 vs 45",1,"-",NA,"81 vs 62",1.43,"13 vs 7",1,"-",NA
"1911","METTL24",1.9142,"NA","431 vs 369","-",NA,"-",NA,"-",NA,"-",NA,"14 vs 15",0.94,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"37 vs 45",2.03,"59 vs 66",1,"321 vs 243",1
"1912","CCND2",1.914,"NA","22 vs 15","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"4 vs 1",1.8,"-",NA,"-",NA,"13 vs 10",1.09,"-",NA,"-",NA,"5 vs 4",0.98,"-",NA,"-",NA
"1913","IL20",1.9131,"NA","49 vs 31","-",NA,"-",NA,"-",NA,"-",NA,"5 vs 1",1.13,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"40 vs 29",1.69,"4 vs 1",1,"-",NA
"1914","SOX4",1.912,"NA","145 vs 122","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.78,"-",NA,"-",NA,"12 vs 6",1.9,"109 vs 96",1,"-",NA,"9 vs 5",1.29,"15 vs 14",1,"-",NA
"1915","DHRS2",1.9107,"NA","364 vs 329","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 7",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"153 vs 126",2.01,"204 vs 196",1,"-",NA
"1916","SIAH1",1.9107,"NA","20 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"3 vs 0",1.81,"-",NA,"-",NA,"1 vs 0",1.1,"-",NA,"-",NA,"3 vs 3",0.96,"13 vs 14",1,"-",NA
"1917","ZNF772",1.9097,"NA","283 vs 285","-",NA,"-",NA,"-",NA,"-",NA,"78 vs 91",0.91,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.1,"-",NA,"-",NA,"79 vs 77",1.92,"125 vs 117",1,"-",NA
"1918","FAM114A1",1.9094,"NA","251 vs 226","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 5",1.08,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"87 vs 70",1.78,"45 vs 54",1,"113 vs 97",1
"1919","GRWD1",1.9091,"NA","120 vs 106","-",NA,"-",NA,"-",NA,"-",NA,"0 vs 1",0.96,"-",NA,"-",NA,"-",NA,"-",NA,"20 vs 13",1.26,"-",NA,"-",NA,"68 vs 53",1.58,"32 vs 39",1,"-",NA
"1920","MMS19",1.9088,"NA","990 vs 1024","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"123 vs 117",1.93,"183 vs 185",1,"684 vs 722",0.99
"1921","ZBTB7C",1.9085,"NA","232 vs 193","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"25 vs 18",1.46,"-",NA,"-",NA,"43 vs 35",1.31,"164 vs 140",1,"-",NA
"1922","RCOR1",1.9076,"NA","37 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 6",0.98,"1 vs 0",1,"-",NA,"12 vs 2",1.93,"18 vs 9",1,"-",NA
"1923","FEN1",1.9072,"NA","43 vs 27","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 7",1.46,"-",NA,"-",NA,"30 vs 20",1.31,"-",NA,"-",NA
"1924","SPN",1.9072,"NA","378 vs 327","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"63 vs 45",1.93,"129 vs 112",1,"186 vs 170",0.99
"1925","CCR7",1.9066,"NA","520 vs 519","-",NA,"-",NA,"1 vs 0",1.45,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"-",NA,"-",NA,"12 vs 9",1.12,"-",NA,"-",NA,"10 vs 10",0.96,"-",NA,"496 vs 500",1
"1926","GM2A",1.9063,"NA","36 vs 28","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"35 vs 28",1.84,"-",NA,"-",NA
"1927","PSME4",1.9062,"NA","370 vs 345","1 vs 0",1.38,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"2 vs 5",0.76,"-",NA,"-",NA,"96 vs 91",1.76,"37 vs 22",1.04,"234 vs 227",1
"1928","CCDC42",1.9059,"NA","143 vs 130","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"-",NA,"-",NA,"22 vs 18",0.96,"14 vs 11",1,"-",NA,"53 vs 35",1.99,"53 vs 65",1,"-",NA
"1929","KLHL20",1.9051,"NA","60 vs 50","-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.04,"-",NA,"3 vs 3",0.95,"-",NA,"-",NA,"8 vs 5",1.18,"-",NA,"-",NA,"22 vs 9",1.63,"26 vs 33",1,"-",NA
