"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"4052","IFNA10",1.077,"NA","1272 vs 1422","-",NA,"-",NA,"40 vs 48",0.9,"-",NA,"-",NA,"1232 vs 1374",1.2
"4053","WDR35",1.0769,"NA","534 vs 542","-",NA,"-",NA,"6 vs 2",1.12,"-",NA,"-",NA,"528 vs 540",0.96
"4054","ARHGAP28",1.0768,"NA","211 vs 199","-",NA,"-",NA,"3 vs 1",1.04,"-",NA,"-",NA,"208 vs 198",1.03
"4055","MRPL18",1.0768,"NA","39 vs 28","-",NA,"-",NA,"2 vs 0",1.06,"-",NA,"-",NA,"37 vs 28",1.02
"4056","TIFA",1.0768,"NA","65 vs 58","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"46 vs 33",1.13,"19 vs 24",0.98
"4057","BCL7A",1.0767,"NA","544 vs 564","-",NA,"-",NA,"-",NA,"-",NA,"4 vs 1",1.12,"540 vs 563",0.96
"4058","C1QTNF2",1.0767,"NA","53 vs 46","-",NA,"-",NA,"2 vs 0",1.06,"-",NA,"-",NA,"51 vs 46",1.02
"4059","MAP3K20",1.0766,"NA","221 vs 227","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"15 vs 13",1.02,"204 vs 214",1.01
"4060","IREB2",1.0766,"NA","184 vs 171","-",NA,"-",NA,"-",NA,"-",NA,"68 vs 53",0.99,"116 vs 118",1.09
"4061","CHM",1.0766,"NA","196 vs 221","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.06,"193 vs 220",1.01
"4062","ANKRD13D",1.0766,"NA","63 vs 49","-",NA,"-",NA,"-",NA,"-",NA,"32 vs 29",1.02,"31 vs 20",1.06
"4063","ANP32B",1.0765,"NA","29 vs 16","-",NA,"-",NA,"-",NA,"-",NA,"26 vs 16",1.06,"3 vs 0",1.02
"4064","UBN1",1.0764,"NA","692 vs 668","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"692 vs 668",1.08
"4065","PRPH2",1.0764,"NA","73 vs 51","-",NA,"-",NA,"-",NA,"-",NA,"26 vs 16",1.06,"47 vs 35",1.01
"4066","TTC37",1.0764,"NA","431 vs 388","-",NA,"-",NA,"5 vs 6",0.96,"-",NA,"-",NA,"426 vs 382",1.12
"4067","GPBP1L1",1.0762,"NA","158 vs 138","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"157 vs 137",1.08
"4068","STK26",1.0759,"NA","44 vs 44","-",NA,"-",NA,"-",NA,"-",NA,"43 vs 40",1.09,"1 vs 4",0.99
"4069","TREH",1.0758,"NA","286 vs 296","-",NA,"-",NA,"14 vs 22",1.04,"-",NA,"-",NA,"272 vs 274",1.03
"4070","RMDN1",1.0758,"NA","23 vs 20","-",NA,"-",NA,"3 vs 0",1.06,"-",NA,"-",NA,"20 vs 20",1.01
"4071","PEX11A",1.0757,"NA","32 vs 24","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"31 vs 24",1.05
"4072","MSL1",1.0757,"NA","46 vs 39","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 4",1.1,"40 vs 35",0.98
"4073","PLAUR",1.0756,"4","265 vs 249","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"0 vs 1",0.95,"264 vs 248",1.11
"4074","EIF2D",1.0756,"NA","65 vs 50","-",NA,"-",NA,"2 vs 2",1,"-",NA,"8 vs 7",1.05,"55 vs 41",1.02
"4075","C1orf158",1.0756,"NA","256 vs 251","-",NA,"-",NA,"7 vs 2",1.06,"-",NA,"-",NA,"249 vs 249",1.02
"4076","DNAJC22",1.0756,"NA","287 vs 237","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"286 vs 236",1.08
"4077","HNF1A",1.0756,"NA","430 vs 421","-",NA,"-",NA,"-",NA,"6 vs 5",1.21,"8 vs 9",0.89,"416 vs 407",1
"4078","FGFR1OP2",1.0755,"NA","15 vs 11","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"6 vs 4",1.08,"9 vs 6",1.02
"4079","ANAPC5",1.0755,"NA","152 vs 149","-",NA,"-",NA,"4 vs 4",0.96,"1 vs 0",1.21,"43 vs 34",0.97,"104 vs 111",0.96
"4080","DEDD2",1.0755,"NA","48 vs 47","-",NA,"-",NA,"-",NA,"0 vs 0",1,"12 vs 10",1.05,"36 vs 37",1.02
"4081","FAM206A",1.0754,"NA","289 vs 290","-",NA,"-",NA,"2 vs 5",0.98,"-",NA,"-",NA,"287 vs 285",1.1
"4082","SCGB1D4",1.0754,"NA","16 vs 7","-",NA,"-",NA,"2 vs 0",1.04,"-",NA,"-",NA,"14 vs 7",1.03
"4083","TP53",1.0754,"NA","49 vs 44","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 7",1.01,"42 vs 37",1.07
"4084","PXDNL",1.0753,"NA","1640 vs 1615","-",NA,"-",NA,"243 vs 251",0.96,"-",NA,"-",NA,"1397 vs 1364",1.12
"4085","TWISTNB",1.0753,"NA","43 vs 36","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"-",NA,"43 vs 35",1.1
"4086","METTL21A",1.0753,"NA","84 vs 58","-",NA,"-",NA,"0 vs 2",0.96,"-",NA,"0 vs 2",0.9,"84 vs 54",1.25
"4087","B3GALT1",1.0752,"NA","58 vs 48","-",NA,"-",NA,"-",NA,"-",NA,"6 vs 4",1.09,"52 vs 44",0.98
"4088","C5orf15",1.0751,"NA","82 vs 81","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"82 vs 81",1.08
"4089","RARB",1.0751,"NA","28 vs 19","-",NA,"-",NA,"-",NA,"1 vs 1",0.95,"8 vs 6",1.11,"19 vs 12",1.02
"4090","PHGDH",1.0751,"NA","129 vs 131","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"1 vs 3",0.92,"126 vs 127",1.15
