"","No_case","No_contr","OR","pval","eta_est","eta_pval"
"PLI>=0.995",1351,1220,1.10737704918033,0.00516903148994775,0.129693655754347,0.00161747794301974
"pLI within (0.5,0.995)",2939,2764,1.06331403762663,0.0106050039222089,0.0642578774318557,0.0211125077452027
"pLI<0.5",109275,108331,1.00871403384073,0.0216132875396888,0.0039017045316274,0.891901389040572
"MPC>=2",48429,47071,1.02885003505343,5.63584858044576e-06,0.0345468092716263,0.00271629036817617
"MPC within (1,2)",325625,319079,1.02051529558511,1.79841370531449e-16,0.0101411164371675,1.72309105612413e-11
"MPC<1",4768875,4745827,1.00485647706922,3.95951468117319e-14,0.00131296642081515,2.48543314719172e-28
