"","No_case","No_contr","OR","pval","eta_est","eta_pval","cate_index"
"ID gene_PLI>=0.995_0.001<AF<0.01",34,23,1.47826086956522,0.0924252412082095,0.393017999148715,0.297930174901319,1
"ID gene_PLI>=0.995_0.0001<AF<0.001",8,8,1,0.598190307617187,9.02697099251541e-07,1,1
"ID gene_PLI>=0.995_AF<0.0001",11,10,1.1,0.5,0.117812109109214,0.707913020648384,1
"ID gene_pLI within (0.5,0.995)_0.001<AF<0.01",1,0,Inf,0.5,0.999990260516885,0.303980779523937,2
"ID gene_pLI within (0.5,0.995)_0.0001<AF<0.001",2,1,2,0.5,0.300632194167697,0.805150850913729,2
"ID gene_pLI within (0.5,0.995)_AF<0.0001",19,16,1.1875,0.36793940042844,0.00123101958917867,1,2
"ID gene_pLI<0.5_0.001<AF<0.01",38,40,0.95,0.632828983485075,9.94123680985551e-12,1,3
"ID gene_pLI<0.5_0.0001<AF<0.001",44,40,1.1,0.371822093052602,3.35407415713181e-05,1,3
"ID gene_pLI<0.5_AF<0.0001",272,256,1.0625,0.256964598711825,0.0481198974445461,0.464198826200332,3
"ID gene_MPC>=2_0.001<AF<0.01",23,20,1.15,0.380395821280673,3.06056990387191e-06,1,4
"ID gene_MPC>=2_0.0001<AF<0.001",43,50,0.86,0.796537815976933,1.73925170831687e-05,1,4
"ID gene_MPC>=2_AF<0.0001",211,184,1.14673913043478,0.0953692145247114,0.159510269254489,0.158366272744409,4
"ID gene_MPC within (1,2)_0.001<AF<0.01",1214,1118,1.08586762075134,0.0245656284520096,0.0692870163406399,0.188747060517598,5
"ID gene_MPC within (1,2)_0.0001<AF<0.001",624,621,1.0048309178744,0.477400756446575,0.000672855401320348,1,5
"ID gene_MPC within (1,2)_AF<0.0001",1148,1090,1.05321100917431,0.114120360847131,0.0506941442530238,0.28224158013889,5
"ID gene_MPC<1_0.001<AF<0.01",18211,18033,1.00987079243609,0.17625643256953,6.54118022923967e-06,1,6
"ID gene_MPC<1_0.0001<AF<0.001",6568,6495,1.01123941493456,0.264362091920178,0.0088582917110279,0.424936605429613,6
"ID gene_MPC<1_AF<0.0001",6871,6557,1.04788775354583,0.00345455987464823,0.0524516292123991,0.00343907623000309,6
"High_PLI>=0.995_0.001<AF<0.01",NA,NA,NA,NA,NA,NA,1
