"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"15844","RAD23A",0.6221,0.6221,"NA","673 vs 705","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 11",0.62,"671 vs 694",1.01
"15845","MAP3K8",0.6221,0.6221,"NA","47 vs 68","-",NA,"-",NA,"-",NA,"0 vs 1",0.79,"5 vs 9",0.84,"42 vs 58",0.94
"16171","HECW1",0.5619,0.622,"NA","582 vs 532","1 vs 2",0.28,"-",NA,"-",NA,"-",NA,"87 vs 70",2.24,"494 vs 460",0.9
"15668","IFI16",0.654,0.6217,"NA","1044 vs 1053","-",NA,"-",NA,"1 vs 2",0.96,"0 vs 1",0.79,"1 vs 0",1.05,"1042 vs 1050",0.82
"16318","GPHN",0.5313,0.6216,"3","293 vs 297","-",NA,"-",NA,"-",NA,"2 vs 3",0.62,"19 vs 19",0.85,"272 vs 275",1
"15783","TMEM132A",0.6344,0.6215,"NA","1740 vs 1815","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"47 vs 52",0.67,"1692 vs 1763",0.93
"16026","SNX27",0.5919,0.6214,"NA","86 vs 95","-",NA,"-",NA,"-",NA,"-",NA,"22 vs 31",0.62,"64 vs 64",0.95
"15851","PPP4R4",0.6212,0.6212,"NA","109 vs 131","-",NA,"-",NA,"-",NA,"-",NA,"44 vs 56",0.66,"65 vs 75",0.94
"15856","PLCE1",0.6203,0.6203,"NA","1071 vs 1103","-",NA,"-",NA,"2 vs 5",0.94,"-",NA,"53 vs 60",0.74,"1016 vs 1038",0.9
"15857","IRF6",0.6202,0.6202,"NA","22 vs 35","-",NA,"0 vs 1",0.41,"-",NA,"3 vs 0",1.87,"5 vs 8",0.83,"14 vs 26",0.99
"15858","UBXN7",0.6201,0.6201,"NA","76 vs 82","-",NA,"-",NA,"-",NA,"0 vs 1",0.79,"7 vs 9",0.8,"69 vs 72",0.98
"15862","RNF19B",0.6199,0.6199,"NA","25 vs 42","-",NA,"-",NA,"-",NA,"-",NA,"10 vs 17",0.66,"15 vs 25",0.94
"16504","IER5",0.4884,0.6198,"NA","667 vs 639","-",NA,"-",NA,"-",NA,"2 vs 2",0.79,"22 vs 27",0.62,"643 vs 610",1
"15881","HNRNPR",0.6165,0.6196,"NA","16 vs 16","-",NA,"-",NA,"-",NA,"2 vs 4",0.56,"3 vs 1",1.1,"11 vs 11",0.99
"17317","NFIC",0.2754,0.6196,"NA","126 vs 126","-",NA,"-",NA,"-",NA,"18 vs 15",0.43,"38 vs 45",0.62,"70 vs 66",1.02
"15981","LRRC41",0.6003,0.6195,"NA","234 vs 235","-",NA,"-",NA,"-",NA,"-",NA,"140 vs 151",0.62,"94 vs 84",0.97
"15864","FITM2",0.6193,0.6193,"NA","229 vs 239","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"35 vs 38",0.63,"194 vs 200",1
"16227","RET",0.5507,0.6193,"NA","523 vs 574","-",NA,"-",NA,"-",NA,"1 vs 1",0.89,"19 vs 26",0.72,"503 vs 547",0.86
"15761","ECPAS",0.6384,0.619,"NA","967 vs 926","0 vs 1",0.42,"-",NA,"-",NA,"2 vs 0",1.48,"71 vs 66",1,"894 vs 859",1.03
"15850","ESCO1",0.6213,0.619,"NA","517 vs 507","0 vs 1",0.42,"-",NA,"-",NA,"2 vs 0",1.48,"1 vs 0",1.05,"514 vs 506",0.95
"16805","CACNA2D2",0.4156,0.619,"NA","398 vs 392","0 vs 1",0.42,"-",NA,"-",NA,"2 vs 0",1.48,"38 vs 36",0.72,"358 vs 355",0.93
"15899","NGF",0.6133,0.6189,"NA","244 vs 262","-",NA,"-",NA,"-",NA,"-",NA,"224 vs 244",0.62,"20 vs 18",0.99
"15795","NTSR1",0.6308,0.618,"NA","737 vs 783","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"270 vs 296",0.65,"466 vs 487",0.94
"15870","NVL",0.6178,0.6178,"NA","1028 vs 1064","-",NA,"-",NA,"1 vs 4",0.95,"-",NA,"3 vs 9",0.7,"1024 vs 1051",0.92
"15883","CBX5",0.6159,0.6177,"NA","9 vs 8","-",NA,"-",NA,"-",NA,"0 vs 3",0.54,"8 vs 4",1.15,"1 vs 1",1
"15817","FAM163B",0.6269,0.6175,"NA","43 vs 36","-",NA,"-",NA,"1 vs 0",1.02,"1 vs 4",0.46,"13 vs 6",1.34,"28 vs 26",0.99
"15874","NDUFS2",0.6172,0.6172,"NA","93 vs 107","-",NA,"-",NA,"-",NA,"-",NA,"21 vs 25",0.64,"72 vs 82",0.97
