"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"6","ENPP7",28.6454,28.5312,"NA","464 vs 382","-",NA,"-",NA,"4 vs 2",1,"-",NA,"-",NA,"460 vs 380",28.53
"7","PTEN",14.9069,14.9069,"1","20 vs 15","-",NA,"4 vs 0",6.47,"-",NA,"5 vs 0",2.64,"11 vs 15",0.87,"-",NA
"8","SUPT5H",14.4258,14.4258,"NA","43 vs 36","2 vs 0",2.5,"-",NA,"-",NA,"9 vs 2",3.45,"25 vs 22",1.72,"7 vs 12",0.97
"9","MICAL3",13.8889,13.8889,"NA","1477 vs 1471","4 vs 0",6.73,"-",NA,"-",NA,"-",NA,"39 vs 25",2.09,"1434 vs 1446",0.99
"10","SKI",13.3934,13.3934,"NA","176 vs 171","-",NA,"1 vs 0",1.59,"-",NA,"4 vs 2",1.31,"24 vs 7",6.84,"147 vs 162",0.94
"11","DPH1",13.2157,13.2728,"NA","462 vs 426","-",NA,"-",NA,"2 vs 1",1,"-",NA,"-",NA,"460 vs 425",13.27
"13","TOE1",12.3926,13.1836,"NA","488 vs 478","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"37 vs 29",13.46,"451 vs 448",0.94
"12","MSTO1",12.9447,12.5556,"NA","170 vs 137","-",NA,"-",NA,"1 vs 1",1,"49 vs 32",4.25,"55 vs 42",2.95,"65 vs 62",1.03
"14","NRXN2",11.1218,11.1218,"4","208 vs 196","0 vs 1",0.42,"-",NA,"-",NA,"9 vs 4",2.6,"117 vs 94",11.13,"82 vs 97",0.92
"18","ACACA",10.5938,11.043,"NA","128 vs 119","2 vs 0",2.5,"-",NA,"-",NA,"32 vs 24",4.52,"78 vs 76",0.96,"16 vs 19",0.98
"15","CTNNA2",10.9786,10.9786,NA,"87 vs 71","-",NA,"-",NA,"-",NA,"19 vs 6",9.46,"14 vs 10",1.16,"54 vs 55",1
"16","SCMH1",10.8245,10.8245,"NA","210 vs 173","-",NA,"3 vs 1",1.64,"-",NA,"7 vs 2",2.34,"68 vs 42",2.4,"132 vs 128",1.17
"19","DGKH",10.2888,10.2888,"NA","683 vs 643","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"72 vs 49",3.46,"609 vs 594",1.17
"21","DNM2",9.8144,9.8446,"NA","94 vs 83","1 vs 0",1.58,"-",NA,"-",NA,"30 vs 14",10.92,"54 vs 60",0.57,"9 vs 9",1
"20","MYH10",9.9885,9.5369,"3","255 vs 215","3 vs 0",3.95,"-",NA,"-",NA,"13 vs 7",2.13,"176 vs 152",1.14,"63 vs 56",1.05
"24","PI4KA",8.0903,9.3421,"NA","321 vs 312","-",NA,"-",NA,"3 vs 4",0.98,"14 vs 3",9.3,"27 vs 25",0.87,"277 vs 280",1.03
"22","INTS3",9.4217,9.1952,"NA","49 vs 31","-",NA,"-",NA,"-",NA,"12 vs 2",7.23,"31 vs 27",1.27,"6 vs 2",1.02
"31","ZMIZ1",7.4683,8.9343,"NA","74 vs 69","-",NA,"-",NA,"-",NA,"11 vs 2",9.04,"29 vs 28",0.84,"34 vs 39",0.99
"34","REV3L",7.1487,8.2819,"NA","1448 vs 1386","-",NA,"-",NA,"-",NA,"6 vs 1",2.95,"41 vs 20",2.81,"1401 vs 1365",0.86
"32","PRH2",7.3886,8.2146,"NA","42 vs 26","-",NA,"4 vs 0",6.92,"-",NA,"26 vs 17",0.9,"12 vs 9",1.19,"-",NA
"25","MVK",7.835,7.6755,"NA","72 vs 47","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"6 vs 2",1.17,"65 vs 45",6.56
"26","SF3B3",7.6382,7.6382,"NA","253 vs 258","1 vs 0",1.58,"-",NA,"-",NA,"13 vs 5",3.57,"21 vs 13",1.38,"218 vs 240",0.98
"27","HOXB4",7.62,7.6337,"NA","44 vs 33","-",NA,"-",NA,"-",NA,"7 vs 1",5.54,"7 vs 2",1.38,"30 vs 30",1
"28","ANGPT1",7.6043,7.6278,"NA","293 vs 269","-",NA,"-",NA,"-",NA,"8 vs 1",8.27,"36 vs 37",0.92,"249 vs 231",1
"29","ITPRID2",7.6028,7.3787,"NA","2572 vs 2455","-",NA,"-",NA,"-",NA,"52 vs 29",6.05,"218 vs 196",1.03,"2302 vs 2230",1.22
"30","ZBTB17",7.5008,7.2883,"NA","74 vs 64","2 vs 0",2.5,"-",NA,"-",NA,"17 vs 9",2.91,"45 vs 44",1.03,"10 vs 11",1
"33","GOLGA8H",7.2429,7.2429,"NA","597 vs 614","-",NA,"-",NA,"134 vs 152",1.05,"33 vs 16",11.81,"277 vs 282",0.66,"153 vs 164",0.9
"60","RIPOR2",5.6003,7.1581,"NA","1340 vs 1225","-",NA,"4 vs 2",0.86,"-",NA,"-",NA,"78 vs 42",7.16,"1258 vs 1181",0.91
"52","MGAT5B",5.9546,7.0075,"NA","349 vs 320","-",NA,"-",NA,"1 vs 1",1,"17 vs 10",2.11,"26 vs 12",3.32,"305 vs 297",0.85
"39","HGF",6.7862,6.9934,"NA","929 vs 870","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"56 vs 52",1.72,"870 vs 818",0.97
"35","NFKBIZ",7.0754,6.9921,"NA","201 vs 175","-",NA,"-",NA,"-",NA,"-",NA,"19 vs 5",6.99,"182 vs 170",1.01
"36","CDKN1C",6.9379,6.9379,"NA","21 vs 9","-",NA,"-",NA,"-",NA,"10 vs 1",6.07,"11 vs 8",1.14,"-",NA
"37","ARNT2",6.8316,6.8316,"4","147 vs 159","-",NA,"1 vs 0",1.59,"-",NA,"6 vs 0",3.5,"20 vs 14",1.28,"120 vs 145",0.96
"43","BRWD1",6.4982,6.812,"NA","384 vs 331","4 vs 1",2.2,"-",NA,"-",NA,"1 vs 1",0.95,"47 vs 33",1.42,"332 vs 296",2.18
"41","ATP6V0D1",6.7496,6.8049,"NA","14 vs 5","-",NA,"1 vs 0",1.59,"-",NA,"10 vs 2",4.27,"3 vs 3",0.99,"-",NA
"38","SEPHS1",6.7989,6.7989,"NA","30 vs 12","-",NA,"-",NA,"-",NA,"6 vs 1",2.63,"21 vs 6",2.63,"3 vs 5",0.98
"42","ITGB3",6.6996,6.7952,"3","174 vs 151","-",NA,"-",NA,"2 vs 1",1.02,"-",NA,"89 vs 68",6.8,"83 vs 82",0.97
"40","TTN",6.764,6.764,"4","25325 vs 24505","-",NA,"-",NA,"57 vs 38",1.3,"-",NA,"-",NA,"25268 vs 24467",5.21
"50","ARHGAP11A",6.0734,6.4252,"NA","1163 vs 1117","-",NA,"-",NA,"1 vs 2",0.98,"10 vs 2",5.54,"10 vs 9",0.95,"1142 vs 1104",1.18
"23","MYT1",9.3756,6.382,"NA","347 vs 363","1 vs 0",1.58,"-",NA,"-",NA,"9 vs 1",4.4,"59 vs 61",1.47,"278 vs 301",0.92
"44","CEP350",6.3591,6.3591,"NA","1706 vs 1616","3 vs 0",3.95,"-",NA,"-",NA,"-",NA,"-",NA,"1703 vs 1616",1.61
"56","FGD6",5.6755,6.2387,"NA","599 vs 573","4 vs 0",6.24,"-",NA,"-",NA,"-",NA,"-",NA,"595 vs 573",0.91
"47","ADCY5",6.1992,6.1992,"4","213 vs 168","-",NA,"-",NA,"-",NA,"14 vs 8",2.57,"48 vs 39",2.06,"151 vs 121",1.17
"48","PGA3",6.1987,6.1987,"NA","91 vs 98","-",NA,"-",NA,"-",NA,"11 vs 2",7.79,"80 vs 96",0.8,"-",NA
"49","SLC20A1",6.1857,6.1857,"NA","91 vs 97","-",NA,"4 vs 0",6.47,"-",NA,"-",NA,"17 vs 22",0.95,"70 vs 75",1.01
"57","ACIN1",5.6653,6.1437,"NA","490 vs 494","1 vs 0",1.58,"-",NA,"-",NA,"17 vs 7",5.42,"306 vs 321",0.72,"166 vs 166",0.92
"111","PRDM10",4.0307,6.133,"NA","221 vs 200","2 vs 0",2.5,"-",NA,"-",NA,"6 vs 6",0.62,"47 vs 39",2.46,"166 vs 155",1.06
"45","PPARG",6.2805,6.1284,"NA","38 vs 18","-",NA,"-",NA,"-",NA,"13 vs 4",4.43,"7 vs 1",1.38,"18 vs 13",1.02
"58","AP3D1",5.6488,6.0619,"NA","145 vs 123","-",NA,"1 vs 0",1.59,"-",NA,"4 vs 4",0.86,"42 vs 27",3.8,"98 vs 92",1.08
"51","ATXN10",5.9595,5.9595,"NA","44 vs 53","-",NA,"4 vs 0",6.47,"-",NA,"-",NA,"-",NA,"40 vs 53",0.92
"53","MUCL3",5.9019,5.9019,"NA","1881 vs 1783","-",NA,"-",NA,"-",NA,"-",NA,"257 vs 224",3.11,"1624 vs 1559",1.9
"46","RARA",6.2691,5.7505,"NA","58 vs 35","-",NA,"1 vs 0",1.59,"-",NA,"13 vs 4",3.61,"6 vs 4",1.05,"38 vs 27",1.04
"54","NBEAL2",5.7366,5.7366,"NA","478 vs 470","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"82 vs 71",1.29,"393 vs 399",1.09
"451","DYNC1H1",2.1977,5.7109,"3","211 vs 178","6 vs 4",0.45,"-",NA,"-",NA,"48 vs 34",5.71,"133 vs 127",0.82,"24 vs 13",1.06
"59","MEGF10",5.6479,5.6479,"4","187 vs 140","-",NA,"3 vs 0",4.16,"-",NA,"-",NA,"1 vs 4",0.91,"183 vs 136",1.5
"55","HMGCS1",5.735,5.6169,"NA","45 vs 35","-",NA,"-",NA,"-",NA,"9 vs 2",6.42,"6 vs 9",0.87,"30 vs 24",1.02
"61","CNTN4",5.5692,5.5692,"2","229 vs 230","4 vs 0",6.24,"-",NA,"-",NA,"-",NA,"-",NA,"225 vs 230",0.89
"67","C4orf3",5.3316,5.5634,"NA","76 vs 66","-",NA,"3 vs 0",4.16,"-",NA,"1 vs 0",1.21,"4 vs 2",1.1,"68 vs 64",0.96
"85","CHST1",4.4893,5.5123,"NA","258 vs 239","-",NA,"2 vs 0",2.54,"-",NA,"5 vs 1",2.17,"250 vs 237",0.81,"1 vs 1",1
"62","DDB1",5.5392,5.3636,"NA","39 vs 17","-",NA,"-",NA,"-",NA,"9 vs 3",3.6,"17 vs 7",1.49,"13 vs 7",1.03
"63","CAPRIN1",5.3516,5.3516,"3","40 vs 40","6 vs 1",5.49,"-",NA,"-",NA,"3 vs 2",1.11,"11 vs 16",0.89,"20 vs 21",0.99
"65","OR2B6",5.3485,5.3508,"NA","219 vs 195","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"218 vs 194",5.35
"64","CELF3",5.3499,5.3499,"NA","39 vs 38","-",NA,"-",NA,"-",NA,"15 vs 6",4.69,"5 vs 2",1.18,"19 vs 30",0.96
"66","RENBP",5.3433,5.3433,"NA","366 vs 384","-",NA,"4 vs 0",7.3,"-",NA,"-",NA,"10 vs 12",0.78,"352 vs 372",0.93
"105","NAGS",4.0754,5.2355,"NA","78 vs 71","-",NA,"-",NA,"1 vs 1",0.99,"7 vs 0",5.24,"29 vs 29",0.8,"41 vs 41",0.99
"70","EPHA4",4.9245,5.1369,"NA","76 vs 66","3 vs 0",3.95,"-",NA,"-",NA,"1 vs 1",0.95,"40 vs 33",1.3,"32 vs 32",1
"68","TP63",5.3231,5.0739,"NA","155 vs 130","-",NA,"4 vs 1",2.69,"-",NA,"-",NA,"29 vs 20",1.89,"122 vs 109",1.05
"69","JTB",5.0054,5.0054,"NA","75 vs 77","-",NA,"-",NA,"-",NA,"17 vs 6",6.05,"55 vs 64",0.84,"3 vs 7",0.98
"155","ZNF587",3.4527,4.956,"NA","794 vs 765","-",NA,"-",NA,"5 vs 6",1.05,"14 vs 5",4.69,"758 vs 734",0.7,"17 vs 20",1.01
"71","ZNF282",4.8955,4.8955,"NA","152 vs 167","-",NA,"-",NA,"-",NA,"8 vs 1",3.52,"11 vs 7",1.39,"133 vs 159",1
"82","KCNH7",4.569,4.8849,"NA","322 vs 314","-",NA,"2 vs 0",2.54,"-",NA,"3 vs 0",1.79,"57 vs 45",0.94,"260 vs 269",1.07
"72","PTCH1",4.8834,4.8834,"NA","331 vs 323","1 vs 0",1.58,"-",NA,"-",NA,"-",NA,"125 vs 100",3.73,"205 vs 223",0.83
"73","LMCD1",4.8626,4.8626,"NA","355 vs 333","-",NA,"-",NA,"0 vs 1",0.98,"-",NA,"82 vs 50",4.92,"273 vs 282",1.01
"74","CKAP5",4.8497,4.8497,"NA","125 vs 126","3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"23 vs 17",1.27,"99 vs 109",0.94
"77","CDC37",4.7488,4.786,"NA","89 vs 66","-",NA,"1 vs 0",1.59,"-",NA,"-",NA,"70 vs 48",3,"18 vs 18",0.99
"78","STRN",4.7204,4.7332,"NA","407 vs 445","-",NA,"3 vs 0",4.16,"-",NA,"1 vs 0",1.21,"1 vs 1",1,"402 vs 444",0.94
"80","TAOK1",4.5881,4.6829,"NA","40 vs 34","1 vs 0",1.58,"-",NA,"-",NA,"10 vs 3",2.99,"21 vs 19",0.98,"8 vs 12",0.99
"83","CARD10",4.5593,4.6768,"NA","196 vs 172","-",NA,"-",NA,"-",NA,"8 vs 0",6.09,"10 vs 13",0.77,"178 vs 159",0.97
"81","EPB41L1",4.5846,4.5846,"NA","474 vs 495","-",NA,"2 vs 0",2.54,"-",NA,"2 vs 0",1.48,"15 vs 14",1.34,"455 vs 481",0.91
"104","PCNX1",4.0869,4.5091,"NA","649 vs 626","2 vs 0",2.5,"-",NA,"-",NA,"-",NA,"32 vs 19",1.81,"615 vs 607",0.91
"84","KCNV1",4.5039,4.5039,"NA","12 vs 2","-",NA,"-",NA,"-",NA,"7 vs 0",3.9,"5 vs 2",1.15,"-",NA
"79","ADGRB1",4.6246,4.4936,"NA","191 vs 138","1 vs 0",1.58,"-",NA,"-",NA,"4 vs 5",0.79,"155 vs 116",3.62,"31 vs 17",1.03
"124","PTPRK",3.8334,4.4736,"NA","260 vs 247","-",NA,"5 vs 1",4.47,"-",NA,"-",NA,"94 vs 92",0.92,"161 vs 154",0.93
"86","ABLIM1",4.4581,4.4581,"NA","348 vs 393","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"24 vs 17",1.22,"321 vs 376",0.9
"94","LPA",4.3102,4.444,"NA","2046 vs 2063","-",NA,"-",NA,"549 vs 516",1.35,"17 vs 7",4.13,"4 vs 3",0.97,"1476 vs 1537",0.8
"89","INO80",4.3819,4.3819,"NA","627 vs 504","-",NA,"-",NA,"-",NA,"6 vs 0",3.21,"78 vs 73",1.23,"543 vs 431",1.11
"149","FAM45A",3.5043,4.3744,"NA","72 vs 50","-",NA,"-",NA,"3 vs 0",1.08,"4 vs 4",0.74,"16 vs 5",4.37,"49 vs 41",1
"101","SLC5A6",4.1381,4.3461,"NA","122 vs 106","-",NA,"5 vs 1",3.5,"-",NA,"-",NA,"14 vs 8",1.24,"103 vs 97",0.95
"87","DNER",4.438,4.3409,"4","447 vs 377","-",NA,"3 vs 0",4.34,"-",NA,"-",NA,"-",NA,"444 vs 377",1.02
"93","OR2A4",4.3409,4.3409,"NA","3 vs 0","-",NA,"3 vs 0",4.34,"-",NA,"-",NA,"-",NA,"-",NA
"90","ZNF441",4.3787,4.2896,"NA","257 vs 251","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"46 vs 25",4.52,"210 vs 226",0.95
"110","QARS",4.0415,4.2831,"NA","810 vs 747","-",NA,"-",NA,"3 vs 3",1.01,"-",NA,"83 vs 55",4.28,"724 vs 689",0.93
"143","UNC80",3.5698,4.2656,"4","640 vs 576","-",NA,"-",NA,"3 vs 4",1.01,"-",NA,"224 vs 218",0.84,"413 vs 354",4.24
"98","ACHE",4.1876,4.1876,"3","806 vs 765","-",NA,"-",NA,"-",NA,"18 vs 7",3.5,"53 vs 56",0.89,"735 vs 702",1.35
"115","BNC2",3.933,4.1613,"NA","956 vs 894","-",NA,"-",NA,"-",NA,"8 vs 1",3.62,"4 vs 2",1.15,"944 vs 891",0.95
"100","MRTFA",4.1743,4.1293,"NA","265 vs 256","-",NA,"-",NA,"-",NA,"6 vs 0",4.13,"-",NA,"259 vs 256",1.01
"99","TRIM3",4.176,4.1204,"NA","31 vs 27","-",NA,"-",NA,"-",NA,"14 vs 4",5.25,"12 vs 21",0.78,"5 vs 2",1.01
"92","TULP1",4.3429,4.1088,"NA","143 vs 120","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"28 vs 31",1.01,"112 vs 89",1.06
"91","CBX7",4.3667,4.084,"NA","10 vs 9","-",NA,"3 vs 0",4.16,"-",NA,"-",NA,"3 vs 2",1.07,"4 vs 7",0.98
"129","RILPL1",3.7392,4.0818,"NA","60 vs 47","-",NA,"-",NA,"2 vs 1",1.02,"17 vs 6",4.13,"33 vs 30",0.9,"8 vs 10",0.99
"132","BMS1",3.7101,4.0817,"NA","515 vs 475","2 vs 0",2.57,"-",NA,"-",NA,"8 vs 4",1.43,"12 vs 8",1.11,"493 vs 463",0.91
"122","PELP1",3.8457,4.0616,"NA","273 vs 251","3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"-",NA,"270 vs 251",0.95
"96","NCAPG",4.259,4.0562,"NA","222 vs 185","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"219 vs 185",1.05
"103","GALNT2",4.1207,4.0562,"NA","153 vs 136","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"16 vs 14",1.04,"134 vs 122",0.98
"106","ZNF605",4.0562,4.0562,"NA","3 vs 0","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"-",NA
"107","HSP90AA1",4.0562,4.0562,"NA","3 vs 0","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"-",NA
"108","SEMA4A",4.0444,4.0562,"NA","1051 vs 1045","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"1048 vs 1045",1
"113","GPRASP1",3.9674,4.0562,"NA","458 vs 437","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"455 vs 437",0.98
"136","NUP214",3.6384,4.0562,"NA","727 vs 711","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"-",NA,"724 vs 711",0.9
"88","WDR70",4.4256,4.0425,"NA","59 vs 45","-",NA,"2 vs 0",2.54,"-",NA,"3 vs 2",1.11,"33 vs 31",1.44,"21 vs 12",1.09
"200","SYNGAP1",3.0838,4.0317,"1","129 vs 114","-",NA,"-",NA,"-",NA,"16 vs 7",4.06,"112 vs 105",0.76,"1 vs 2",0.99
"150","NIPBL",3.4831,4.0244,NA,"237 vs 178","-",NA,"-",NA,"-",NA,"10 vs 5",1.81,"21 vs 21",0.87,"206 vs 152",2.22
"112","ABCB1",4.0147,4.0147,"NA","1262 vs 1312","-",NA,"3 vs 0",4.06,"-",NA,"-",NA,"0 vs 1",0.95,"1259 vs 1311",1.04
"102","ECE1",4.1333,3.9925,"NA","137 vs 119","2 vs 0",2.5,"-",NA,"-",NA,"-",NA,"31 vs 19",1.6,"104 vs 100",1.04
"120","DPF3",3.8549,3.982,"NA","117 vs 114","-",NA,"5 vs 1",4.4,"-",NA,"-",NA,"14 vs 19",0.91,"98 vs 94",0.97
"13755","OR3A2",0.8335,3.9534,"NA","516 vs 541","-",NA,"3 vs 0",4.34,"-",NA,"53 vs 53",0.21,"358 vs 375",0.99,"102 vs 113",0.92
"114","CCR10",3.9481,3.9481,"NA","90 vs 82","-",NA,"-",NA,"0 vs 1",0.98,"8 vs 3",3.39,"82 vs 77",1.2,"0 vs 1",0.99
"138","MED12L",3.6109,3.9475,"NA","239 vs 228","3 vs 0",3.95,"-",NA,"-",NA,"-",NA,"119 vs 114",0.9,"117 vs 114",1.01
"116","PLXNB1",3.9069,3.9069,"3","766 vs 684","-",NA,"1 vs 0",1.59,"-",NA,"-",NA,"66 vs 46",2.14,"699 vs 638",1.14
"271","HDAC5",2.665,3.8979,"NA","179 vs 158","-",NA,"-",NA,"-",NA,"36 vs 33",0.68,"42 vs 18",3.98,"101 vs 107",0.98
"318","RANBP2",2.5285,3.89,"NA","1262 vs 1225","2 vs 0",2.5,"-",NA,"-",NA,"4 vs 3",1.08,"282 vs 268",0.6,"974 vs 954",1.56
"118","DNM1",3.8748,3.8748,"NA","107 vs 97","0 vs 0",1,"-",NA,"-",NA,"12 vs 7",3,"95 vs 89",1.3,"0 vs 1",0.99
"130","KCNMB3",3.7208,3.8557,"NA","675 vs 669","-",NA,"-",NA,"3 vs 5",0.98,"15 vs 4",5.84,"533 vs 547",0.68,"124 vs 113",0.97
"1265","PITPNM2",1.4998,3.8525,"NA","503 vs 479","-",NA,"-",NA,"-",NA,"13 vs 6",3.85,"442 vs 426",0.36,"48 vs 47",1.07
"109","EMX1",4.0427,3.8365,"NA","16 vs 7","-",NA,"1 vs 0",1.59,"-",NA,"7 vs 2",2.41,"7 vs 5",1.05,"1 vs 0",1.01
"117","CDC25B",3.8836,3.8365,"NA","92 vs 71","-",NA,"1 vs 0",1.59,"-",NA,"7 vs 2",2.41,"6 vs 5",1,"78 vs 64",1.01
"125","SOCS6",3.8276,3.8276,"NA","56 vs 34","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 6",0.86,"53 vs 28",4.46
"144","ORM2",3.5646,3.8245,"NA","230 vs 192","-",NA,"-",NA,"1 vs 3",0.97,"62 vs 45",3.3,"66 vs 46",1.19,"101 vs 98",0.93
"126","RAB30",3.8185,3.8161,"NA","11 vs 9","-",NA,"3 vs 0",4.34,"-",NA,"-",NA,"4 vs 6",0.88,"4 vs 3",1
"137","TNR",3.628,3.8032,"NA","383 vs 339","-",NA,"3 vs 0",4.06,"-",NA,"1 vs 1",0.95,"6 vs 15",0.69,"373 vs 323",1.35
"127","ATG9A",3.7712,3.7712,"NA","118 vs 103","-",NA,"0 vs 1",0.41,"-",NA,"20 vs 10",6.36,"15 vs 10",1.11,"83 vs 82",1.32
"128","VDAC1",3.7437,3.7437,"NA","25 vs 13","-",NA,"-",NA,"-",NA,"0 vs 1",0.79,"22 vs 8",4.79,"3 vs 4",0.99
"123","IQGAP1",3.834,3.7223,"NA","328 vs 322","3 vs 0",4.06,"-",NA,"-",NA,"2 vs 0",1.48,"9 vs 22",0.62,"314 vs 300",1.03
"133","CERS6",3.7029,3.7029,"NA","263 vs 230","-",NA,"1 vs 0",1.59,"-",NA,"-",NA,"-",NA,"262 vs 230",2.32
"164","DIP2B",3.3866,3.6862,"NA","621 vs 590","1 vs 0",1.58,"-",NA,"-",NA,"2 vs 1",1.16,"312 vs 301",2.01,"306 vs 288",0.92
"119","GNMT",3.874,3.6822,"NA","46 vs 30","-",NA,"1 vs 0",1.59,"-",NA,"2 vs 0",1.54,"1 vs 0",1.05,"42 vs 30",1.5
"148","GRIP1",3.5112,3.6781,"2","361 vs 356","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"13 vs 10",1.45,"346 vs 346",0.95
"97","RAD21",4.2315,3.6591,NA,"76 vs 49","21 vs 8",4.88,"-",NA,"-",NA,"1 vs 2",0.75,"11 vs 6",1.09,"43 vs 33",1.07
"152","DCAF5",3.467,3.6344,"NA","125 vs 98","2 vs 0",2.5,"-",NA,"-",NA,"1 vs 1",0.95,"14 vs 9",1.25,"108 vs 88",1.16
"121","DENND1A",3.8487,3.6261,"NA","310 vs 281","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"82 vs 78",1.43,"226 vs 203",1.06
"139","FUT7",3.6079,3.6193,"NA","572 vs 512","-",NA,"1 vs 0",1.59,"-",NA,"-",NA,"27 vs 14",2.27,"544 vs 498",1
"140","MBNL1",3.6027,3.6027,"NA","13 vs 7","-",NA,"-",NA,"-",NA,"9 vs 2",3.31,"3 vs 1",1.1,"1 vs 4",0.99
"142","KBTBD6",3.5809,3.5948,"NA","86 vs 62","-",NA,"-",NA,"-",NA,"6 vs 7",0.48,"37 vs 23",7.49,"43 vs 32",1
"151","FUT8",3.4781,3.5666,"NA","236 vs 216","-",NA,"-",NA,"-",NA,"1 vs 0",1.21,"29 vs 17",2.94,"206 vs 199",0.98
"146","WDR13",3.524,3.5541,"NA","21 vs 12","-",NA,"-",NA,"-",NA,"5 vs 0",3,"7 vs 4",1.18,"9 vs 8",0.99
"131","CA8",3.7205,3.515,"NA","45 vs 29","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"7 vs 1",1.38,"36 vs 28",1.06
"141","HERC3",3.5832,3.5097,"NA","88 vs 68","-",NA,"2 vs 0",2.61,"-",NA,"-",NA,"65 vs 52",1.35,"21 vs 16",1.02
"145","TRPC4AP",3.5394,3.4932,"NA","92 vs 78","3 vs 0",3.95,"-",NA,"-",NA,"-",NA,"7 vs 11",0.88,"82 vs 67",1.01
"160","CDR2L",3.4064,3.4609,"NA","162 vs 135","-",NA,"-",NA,"-",NA,"19 vs 13",3.48,"6 vs 7",1,"137 vs 115",0.98
"154","MGA",3.4553,3.4553,"NA","1938 vs 1784","2 vs 0",2.5,"-",NA,"-",NA,"-",NA,"-",NA,"1936 vs 1784",1.38
"153","KIAA1257",3.4644,3.4488,"NA","551 vs 528","-",NA,"-",NA,"5 vs 4",1,"-",NA,"-",NA,"546 vs 524",3.45
"163","KLF6",3.3935,3.4394,"NA","61 vs 51","-",NA,"-",NA,"-",NA,"8 vs 3",2.76,"5 vs 2",1.24,"48 vs 46",0.99
"157","FBLN2",3.4364,3.4364,"NA","425 vs 397","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"423 vs 397",1.35
"170","SCN10A",3.3462,3.4312,"NA","1462 vs 1353","-",NA,"-",NA,"8 vs 7",0.98,"-",NA,"-",NA,"1454 vs 1346",3.43
"416","RAPGEF5",2.2737,3.4289,"NA","423 vs 397","1 vs 1",0.66,"-",NA,"-",NA,"-",NA,"-",NA,"422 vs 396",3.43
"158","TMEM123",3.4133,3.4133,"NA","1034 vs 880","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"-",NA,"1032 vs 880",1.34
"159","DDR2",3.4113,3.4113,"NA","356 vs 361","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"34 vs 24",1.3,"320 vs 337",1.03
"169","SCAF11",3.3478,3.4001,"NA","1017 vs 943","2 vs 0",2.5,"-",NA,"-",NA,"2 vs 0",1.48,"0 vs 2",0.92,"1013 vs 941",0.98
"162","DSCAM",3.3989,3.3989,"1","554 vs 535","1 vs 0",1.58,"-",NA,"-",NA,"-",NA,"84 vs 65",2.2,"469 vs 470",0.98
"161","CA11",3.4014,3.3744,"NA","31 vs 18","-",NA,"2 vs 0",2.54,"-",NA,"-",NA,"24 vs 15",1.33,"5 vs 3",1.01
"167","ZNF667",3.3516,3.3516,"NA","144 vs 141","-",NA,"-",NA,"0 vs 3",0.97,"-",NA,"-",NA,"144 vs 138",3.45
"208","TTC13",3.0093,3.3491,"NA","304 vs 313","-",NA,"5 vs 1",3.76,"-",NA,"5 vs 4",0.9,"7 vs 8",0.9,"287 vs 300",0.99
"147","MAPKAPK2",3.5116,3.3345,"NA","100 vs 65","-",NA,"-",NA,"-",NA,"13 vs 4",3.33,"79 vs 58",1.02,"8 vs 3",1.03
"171","SCARA5",3.3235,3.3235,"NA","510 vs 520","-",NA,"-",NA,"1 vs 2",0.98,"-",NA,"14 vs 3",3.74,"495 vs 515",0.91
"168","RHOV",3.3512,3.3151,"NA","10 vs 3","-",NA,"2 vs 0",2.54,"-",NA,"2 vs 1",1.16,"4 vs 2",1.12,"2 vs 0",1.01
"172","USP11",3.3224,3.3126,"NA","35 vs 29","-",NA,"-",NA,"-",NA,"9 vs 3",3.36,"12 vs 11",1,"14 vs 15",0.99
