"","No_case","No_contr","OR","pval","eta_est","eta_pval"
"PLI>=0.995",190,131,1.45038167938931,0.000586623224026496,0.269857890085071,0.000806021947785753
"pLI>=0.5&pLI<0.995",66,77,0.857142857142857,0.842187551278329,0.000216512341280071,1
"pLI<0.5",212,178,1.19101123595506,0.0472956373354588,0.146979187301623,0.039917842079889
"MPC>=2",2187,2149,1.01768264308981,0.287095452798977,0.0154963580672759,0.505921861129504
"MPC>=1&MPC<2",9118,9048,1.00773651635721,0.304346954322358,0.0114322211614653,0.351156082703806
"MPC<1",13193,13173,1.00151825704092,0.453425301911611,0.00760681580957352,0.599523145267907
