"","No_case","No_contr","OR","pval","eta_est","eta_pval"
"PLI>=0.995",704,564,1.24822695035461,4.66903217909591e-05,0.160798943172093,6.63084041853694e-05
"0.5<=pLI<0.995",1273,1191,1.0688497061293,0.0513520388533035,0.0519378388926337,0.0697841849889548
"pLI<0.5",18956,18589,1.01974285867986,0.0294530403219229,0.0185721038028176,0.0125734154599327
"MPC>=2",6341,6159,1.02955025166423,0.0527310862223215,0.0390773061623604,0.0482972132236964
"1<=MPC<2",50355,50369,0.999722051261689,0.518848327476451,0.0106728146151939,0.793959774575122
"0<=MPC<1",339394,340489,0.996784037076088,0.908110603135534,0.00601907116046307,1
