"","LoF_pvalue","LoF.Missense_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"CELSR2",0.9892578125,0.9892578125,0.999942094988603,0.888888888888889,0.998161764705882
"PSRC1",0.574722990393638,0.574722990393638,0.893043152193041,0.928571428571429,0.987179487179487
"MYBPHL",0.5,0.5,0.846573590279973,0.687167041810999,0.988636363636364
"SORT1",0.5,0.0494358747964726,0.136465232859495,0.647583617650433,0.991304347826087
"PSMA5",1,0.6875,0.94510174649097,NA,0.909090909090909
"SYPL2",0.99951171875,0.99951171875,0.999999880771303,0.888888888888889,0.98
"C1orf127",0.75,0.75,0.965761554338836,0.5,0.994252873563218
"ATXN7L2",0.5,0.5,0.846573590279973,0.5,0.991525423728814
"CYB561D1",0.8125,0.8125,0.981206983882324,0.666666666666667,0.981481481481482
"AMIGO1",1,0.19384765625,0.511890153355696,NA,0.970588235294118
"GPR61",0.75,0.75,0.965761554338836,0.5,0.983870967741935
"GNAI3",0.6875,0.8125,0.94510174649097,0.666666666666667,0.964285714285714
"GNAT2",0.63671875,0.63671875,0.924150940307291,0.875,0.979166666666667
"AMPD2",0.2744140625,0.227249145507813,0.409736461439457,0.875,0.991150442477876
"GSTM4",0.85546875,0.85546875,0.989012310590666,0.666666666666667,0.916666666666667
"GSTM2",0.8665771484375,0.78802490234375,0.795670045120796,0.5,0.958333333333333
"GSTM1",1,1,1,NA,1
"GSTM5",0.588098526000976,0.588098526000976,0.900296970520863,0.888888888888889,0.956521739130435
"GSTM3",0.5,0.5,0.846573590279973,0.666666666666667,0.976744186046512
"EPS8L3",0.797563552856445,0.797563552856445,0.977967449639227,0.916666666666667,0.991525423728814
"CSF1",1,1,1,NA,0.990654205607477
"AHCYL1",0.25,0.395263671875,0.440601590835,0.5,0.967741935483871
"STRIP1",0.890625,0.5,0.588747182629909,0.833333333333333,0.990476190476191
"ALX3",1,1,1,0.5,0.984848484848485
"UBL4B",1,1,1,NA,0.972972972972973
"TARDBP",1,0.1875,0.235786795139986,1,0.916666666666667
"SLC6A17",0.25,0.25,0.596573590279973,0.25,0.989690721649485
"KCNC4",0.3125,0.747798119988587,0.611132891961926,0.75,0.990990990990991
"MASP2",0.422509491443634,0.422509491443634,0.786519741495045,0.928571428571429,0.994011976047904
"RBM15",0.3125,0.14453125,0.324834142540172,0.5,0.990654205607477
"SLC16A4",0.0317840576171875,0.0317840576171875,0.141400611916431,0.875,0.987179487179487
"LAMTOR5",1,1,1,1,0.979166666666667
"PROK1",0.0384063720703125,0.0384063720703125,0.16359316675956,0.833333333333333,0.964285714285714
"KCNA10",0.401809692382813,0.401809692382813,0.768170409534163,0.875,0.990825688073395
"SRM",1,0.96484375,0.999374647028678,NA,0.962962962962963
"KCNA2",1,0.191655158996582,0.508280514992152,NA,0.964285714285714
"EXOSC10",0.19384765625,0.19384765625,0.511890153355696,0.909090909090909,0.993827160493827
"KCNA3",0.8125,0.8125,0.981206983882324,0.75,NA
"CD53",0.5,0.5,0.846573590279973,0.647583617650433,0.976190476190476
"LRIF1",0.5,0.5,0.846573590279973,0.5,0.991935483870968
"MTOR",0.25390625,0.60092368634714,0.508677052326251,0.857142857142857,0.99537037037037
"DRAM2",0.171875,0.171875,0.474544779940224,0.447782013708099,0.976190476190476
"CEPT1",0.25,0.676197052001953,0.535329731081806,0.5,0.971428571428571
"DENND2D",0.7734375,0.7734375,0.972141648161857,0.8,0.9875
"CHI3L2",0.61279296875,0.61279296875,0.912894926227959,0.8,0.986301369863014
"CHIA",0.292332355864346,0.292332355864346,0.651861372687416,0.857142857142857,0.987654320987654
"PIFO",1,1,1,1,0.96875
"OVGP1",0.833847045898437,0.833847045898437,0.985361466561743,0.888888888888889,0.99236641221374
"WDR77",0.5,0.5,0.846573590279973,0.8,0.983606557377049
"C1orf162",0.5,0.5,0.846573590279973,0.5,0.947368421052632
"ADORA3",0.91021728515625,0.91021728515625,0.995843184690498,0.5,0.944444444444444
"RAP1A",1,0.25,0.596573590279973,NA,0.923076923076923
"DDX20",0.916465759277344,0.916465759277344,0.99640959232702,0.933333333333333,0.992957746478873
"KCND3",1,0.63671875,0.924150940307291,NA,0.985714285714286
"ANGPTL7",0.25172233581543,0.25172233581543,0.598955335405349,0.8,0.986111111111111
"CTTNBP2NL",1,0.74609375,0.964627606010508,NA,0.99009900990099
"WNT2B",0.75,0.75,0.965761554338836,0.5,0.985507246376812
"ST7L",0.881057739257812,0.881057739257812,0.992627945869916,0.9,0.987654320987654
"CAPZA1",1,1,1,NA,0.96969696969697
"MOV10",0.0625,0.1875,0.235786795139986,0.397583617650433,0.992424242424242
