"","LoF_pvalue","All_variants_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"ITGA9",1,1,1,NA,0.98876404494382
"CTDSPL",1,1,1,0.5,0.916666666666667
"VILL",0.852293359672164,0.852293359672164,0.988510713387987,0.928571428571429,0.987951807228916
"PLCD1",0.174444439724539,0.174444439724539,0.479050421094156,0.857142857142857,0.98780487804878
"DLEC1",0.118942260742188,0.118942260742188,0.372184262889209,0.875,0.994186046511628
"ACAA1",0.5,0.5,0.846573590279973,0.5,0.966666666666667
"MYD88",0.96804267168045,0.96804267168045,0.999483836449706,0.5,0.933333333333333
"OXSR1",1,0.980712890625,0.999812796262297,NA,0.95
"SLC22A13",0.500000000000002,0.500000000000002,0.846573590279974,0.833333333333333,0.983333333333333
"SLC22A14",0.8125,0.8125,0.981206983882324,0.666666666666667,0.981481481481482
"XYLB",0.14453125,0.14453125,0.424092197960576,0.3125,0.980392156862745
"LRRN1",1,1,1,NA,0.981818181818182
"ACVR2B",0.5,0.875,0.846573590279973,0.5,0.961538461538462
"EXOG",0.5,0.5,0.846573590279973,0.75,0.967741935483871
"SCN5A",1,1,1,1,0.993939393939394
"SCN10A",0.84912109375,0.84912109375,0.987997796615769,0.857142857142857,0.995260663507109
"SCN11A",0.11328125,0.11328125,0.359994401641795,0.573681533379471,0.992
"WDR48",1,0.34375,0.710820216562966,NA,0.961538461538462
"GORASP1",1,1,1,NA,0.96551724137931
"TTC21A",0.970208055990952,0.970208055990952,0.99955174616932,0.857142857142857,0.990566037735849
"CSRNP1",1,1,1,NA,0.982142857142857
"XIRP1",1,1,1,NA,0.994152046783626
"CX3CR1",1,1,1,NA,0.96969696969697
"CCR8",1,1,1,NA,0.952380952380952
"SLC25A38",0.5,0.5,0.846573590279973,0.5,0.958333333333333
"RPSA",0.61279296875,0.61279296875,0.912894926227959,0.779781820901355,NA
"MOBP",0.5,0.5,0.846573590279973,0.5,0.75
"MYRIP",0.8125,0.8125,0.981206983882324,0.5,0.987951807228916
"EIF1B",1,0.5,0.846573590279973,NA,0.5
"ENTPD3",0.604736328125,0.604736328125,0.90889616702116,0.833333333333333,0.981132075471698
"RPL14",1,1,1,NA,0.857142857142857
"ZNF619",1,1,1,NA,0.981481481481482
"ZNF620",0.75,0.75,0.965761554338836,0.5,0.971428571428571
"ZNF621",1,1,1,NA,0.971428571428571
"CTNNB1",1,0.6875,0.94510174649097,NA,0.933333333333333
"ULK4",0.99166307609994,0.99166307609994,0.999965150870003,0.909090909090909,0.991666666666667
"TRAK1",1,1,1,NA,0.989690721649485
"CCK",1,0.6875,0.94510174649097,NA,0.8
"LYZL4",1,1,1,NA,0.933333333333333
"VIPR1",0.65625,0.65625,0.932671336456324,0.75,0.975609756097561
"SEC22C",0.96484375,0.96484375,0.999374647028678,0.666666666666667,0.941176470588235
"SS18L2",1,1,1,NA,0.93809103924326
"NKTR",1,1,1,NA,0.98936170212766
"ZBTB47",1,1,1,NA,0.978723404255319
"KLHL40",1,0.5,0.846573590279973,NA,0.985714285714286
"HHATL",0.808344841003418,0.808344841003418,0.980333566320842,0.5,0.982456140350877
"CCDC13",0.96804267168045,0.96804267168045,0.999483836449706,0.833333333333333,0.986486486486487
"HIGD1A",1,1,1,NA,0.833333333333333
"ACKR2",1,1,1,NA,0.967741935483871
"CYP8B1",1,1,1,NA,0.977272727272727
"ZNF662",1,1,1,NA,0.971428571428571
"KRBOX1",1,1,1,NA,0.359781100996228
"SETMAR",0.7255859375,0.7255859375,0.95833631868662,0.8,0.979591836734694
"FAM198A",0.933750918018632,0.933750918018632,0.997755397018711,0.933958955059078,NA
"POMGNT2",0.5,0.5,0.846573590279973,0.5,0.987654320987654
"SNRK",1,0.25390625,0.60195844276545,NA,0.96551724137931
"ANO10",0.80615234375,0.80615234375,0.979864100213396,0.666666666666667,0.979166666666667
"SUMF1",1,1,1,NA,0.96969696969697
"ABHD5",0.9375,0.9375,0.998004863566473,0.666666666666667,0.962962962962963
"TCAIM",0.75,0.75,0.965761554338836,0.75,0.967741935483871
"ZNF445",0.75,0.75,0.965761554338836,0.75,0.984375
"ZNF852",0.125,0.125,0.38493019270998,0.125,0.964285714285714
"ZKSCAN7",0.270628094673157,0.270628094673157,0.624341651684162,0.483784334291768,0.976190476190476
"ZNF660",0.5,0.5,0.846573590279973,0.5,0.958333333333333
"ZNF197",1,1,1,NA,0.983333333333333
"ZNF35",0.5,0.5,0.846573590279973,0.5,0.961538461538462
"ZNF502",0.8125,0.8125,0.981206983882324,0.666666666666667,0.975
"ZNF501",0.91015625,0.91015625,0.995837440948945,0.930524864272408,0.971428571428571
"KIAA1143",1,1,1,NA,0.8
"KIF15",0.36328125,0.36328125,0.73113183388026,0.833333333333333,0.984615384615385
"TMEM42",1,1,1,NA,0.9375
"TGM4",0.953857421875,0.953857421875,0.998918668699296,0.953857421875,0.986301369863014
"ZDHHC3",1,1,1,1,0.9375
"EXOSC7",0.6875,0.6875,0.94510174649097,0.666666666666667,0.947368421052632
"CLEC3B",1,0.5,0.846573590279973,NA,0.909090909090909
"CDCP1",1,1,1,1,0.981132075471698
"ITPR1",0.5,0.5,0.651510313748529,0.5,0.991666666666667
"TMEM158",1,0.5,0.846573590279973,NA,0.5
"LARS2",0.875,0.875,0.991839968546457,0.875,0.984615384615385
"LIMD1",1,1,1,NA,0.982456140350877
"SACM1L",0.5,0.5,0.846573590279973,0.5,0.966666666666667
"SLC6A20",0.0400716562289745,0.0400716562289745,0.168985621353477,0.287274888028152,0.983870967741935
"LZTFL1",1,1,1,NA,0.916666666666667
"CCR9",1,1,1,NA,0.958333333333333
"FYCO1",0.951873779296875,0.951873779296875,0.998822895274565,0.833333333333333,0.99290780141844
"CXCR6",1,1,1,NA,0.933333333333333
"XCR1",1,1,1,NA,0.95
"CCR1",1,1,1,NA,0.96
"CCR3",0.701692552072927,0.701692552072927,0.950274107082553,0.701692552072927,0.974358974358974
"CCR2",0.5,0.5,0.846573590279973,0.5,0.954545454545455
"CCR5",0.5,0.5,0.846573590279973,0.5,0.979166666666667
"CCRL2",1,1,1,NA,0.971428571428571
"LTF",0.351768335677638,0.5,0.653075585287715,0.9,0.98780487804878
"RTP3",1,1,1,NA,0.941176470588235
"LRRC2",0.0546875,0.0546875,0.213615943781642,0.167295957539185,0.970588235294118
"TDGF1",1,1,1,NA,0.875
"ALS2CL",0.314529418945313,0.314529418945313,0.678338572906542,0.728238696356589,0.99009900990099
"TMIE",1,1,1,1,0.916666666666667
"PRSS50",0.63671875,0.63671875,0.924150940307291,0.63671875,0.972222222222222
"PRSS45",0.2744140625,0.2744140625,0.629263589151039,0.397367092861923,0.956521739130435
"PRSS42",1,1,1,NA,0.947368421052632
"MYL3",1,1,1,NA,0.9
"PTH1R",1,1,1,NA,0.977777777777778
"CCDC12",1,1,1,NA,0.9375
"NBEAL2",0.881057739257812,0.881057739257812,0.992627945869916,0.666666666666667,0.995918367346939
"SETD2",1,0.5,0.846573590279973,NA,0.993464052287582
"KIF9",0.63671875,0.63671875,0.924150940307291,0.8,0.985714285714286
"KLHL18",1,0.890625,0.993787710702062,NA,0.967741935483871
"PTPN23",0.5,0.5,0.846573590279973,0.5,0.993975903614458
"SCAP",1,0.5,0.846573590279973,NA,0.989130434782609
"ELP6",0.2744140625,0.2744140625,0.629263589151039,0.5,0.952380952380952
"CSPG5",1,1,1,NA,0.96969696969697
"SMARCC1",1,0.6875,0.94510174649097,NA,0.978260869565217
"DHX30",1,0.5,0.846573590279973,NA,0.979166666666667
"MAP4",1,1,1,NA,0.98876404494382
"CDC25A",1,0.9375,0.965761554338836,1,0.933333333333333
"CAMP",0.75,0.75,0.965761554338836,0.75,0.941176470588235
"ZNF589",1,1,1,NA,0.958333333333333
"NME6",0.5,0.5,0.846573590279973,0.5,0.95
"SPINK8",0.75,0.75,0.965761554338836,0.75,0.666666666666667
"FBXW12",1,1,1,NA,0.967741935483871
"PLXNB1",1,1,1,NA,0.993788819875776
"CCDC51",0.5,0.5,0.846573590279973,0.695913276015304,0.96875
"TMA7",1,1,1,NA,0.666666666666667
"ATRIP",0.9375,0.9375,0.998004863566473,0.9375,0.980769230769231
"TREX1",0.875,0.875,0.991839968546457,0.666666666666667,0.966666666666667
"SHISA5",0.2265625,0.2265625,0.562947645187978,0.666666666666667,0.962962962962963
"PFKFB4",0.5,0.5,0.846573590279973,0.633392765001563,0.975
"UCN2",1,1,1,NA,0.909090909090909
"COL7A1",0.933099746704102,0.933099746704102,0.997710535009733,0.916666666666667,0.996666666666667
"UQCRC1",1,1,1,NA,0.978723404255319
"TMEM89",1,1,1,NA,0.962962962962963
"SLC26A6",0.1875,0.1875,0.501370581294688,0.5,0.975609756097561
"CELSR3",0.70947265625,0.733845611986078,0.850149624887946,0.738226932039914,0.995867768595041
"NCKIPSD",0.5,0.63671875,0.772194534043639,0.5,0.984848484848485
"IP6K2",1,1,1,NA,0.954545454545455
"PRKAR2A",0.125,0.125,0.38493019270998,0.125,0.96
"SLC25A20",0.6875,0.6875,0.94510174649097,0.6875,0.9375
"ARIH2",1,1,1,NA,0.928571428571429
"P4HTM",1,0.96875,0.99950655149225,NA,0.973684210526316
"WDR6",0.14453125,0.14453125,0.424092197960576,0.430242653338522,0.990566037735849
"DALRD3",0.833847045898437,0.833847045898437,0.985361466561743,0.8,0.967741935483871
"NDUFAF3",0.36328125,0.36328125,0.73113183388026,0.5,0.933333333333333
"IMPDH2",0.5,0.5,0.742810969879397,0.666666666666667,0.95
"QRICH1",1,1,1,NA,0.944444444444444
"QARS",0.5,0.5,0.846573590279973,0.833333333333333,0.983870967741935
"USP19",0.5,0.5,0.846573590279973,0.5,0.991150442477876
"LAMB2",0.5,0.5,0.846573590279973,0.647295375467632,0.994475138121547
"CCDC71",0.75,0.75,0.965761554338836,0.75,0.978260869565217
"KLHDC8B",1,1,1,1,0.96551724137931
"C3orf84",1,1,1,1,0.923076923076923
