"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"1","PLXNA1",164.8023,"NA","409 vs 391","5 vs 3",0.91,"-",NA,"-",NA,"44 vs 13",502.49,"171 vs 160",0.61,"189 vs 215",0.59
"2","MYH10",126.286,"3","246 vs 209","7 vs 0",19.03,"-",NA,"-",NA,"32 vs 20",5.06,"98 vs 81",1.22,"109 vs 108",1.08
"3","PCYOX1L",92.2355,"NA","126 vs 88","-",NA,"-",NA,"3 vs 3",0.95,"-",NA,"-",NA,"123 vs 85",97.47
"4","PTPRF",72.06,"NA","535 vs 439","14 vs 3",22.7,"-",NA,"-",NA,"31 vs 22",0.82,"112 vs 107",0.96,"378 vs 307",4.04
"5","LMNB1",61.8972,"NA","98 vs 75","-",NA,"11 vs 2",36.25,"-",NA,"-",NA,"21 vs 27",0.79,"66 vs 46",2.16
"6","NAV3",45.8445,"NA","371 vs 378","15 vs 3",82.84,"-",NA,"-",NA,"-",NA,"-",NA,"356 vs 375",0.55
"7","ARAP2",45.0514,"NA","445 vs 402","-",NA,"-",NA,"5 vs 8",0.8,"-",NA,"-",NA,"440 vs 394",56.05
"8","AHNAK",34.1371,"NA","1111 vs 1109","-",NA,"8 vs 0",24.06,"-",NA,"-",NA,"-",NA,"1103 vs 1109",1.42
"9","SF3B3",32.5544,"NA","105 vs 72","2 vs 0",2.29,"-",NA,"-",NA,"24 vs 9",9.84,"36 vs 28",1.37,"43 vs 35",1.05
"10","IL1R2",31.7265,"4","207 vs 158","-",NA,"-",NA,"11 vs 6",1.29,"-",NA,"-",NA,"196 vs 152",24.57
"11","ATP2B2",30.646,"3","148 vs 143","4 vs 0",5.89,"-",NA,"-",NA,"46 vs 30",8.22,"49 vs 51",0.8,"49 vs 62",0.79
"12","BTG3",30.4933,"NA","52 vs 26","-",NA,"3 vs 1",1.34,"-",NA,"22 vs 5",22.09,"8 vs 8",0.99,"19 vs 12",1.04
"13","MFSD10",28.7006,"NA","197 vs 186","-",NA,"-",NA,"21 vs 5",33.29,"-",NA,"-",NA,"176 vs 181",0.86
"14","OR52A5",25.4346,"NA","164 vs 144","-",NA,"-",NA,"16 vs 8",4.37,"-",NA,"-",NA,"148 vs 136",5.82
"15","PAN2",22.0249,"NA","237 vs 194","-",NA,"4 vs 2",1.35,"-",NA,"-",NA,"92 vs 87",2.88,"141 vs 105",5.68
"16","SYNGAP1",21.4678,"1","95 vs 64","-",NA,"-",NA,"-",NA,"39 vs 15",20.54,"51 vs 45",1.06,"5 vs 4",0.99
"17","MYO5C",20.9741,"4","478 vs 445","-",NA,"-",NA,"21 vs 23",0.79,"-",NA,"-",NA,"457 vs 422",26.41
"18","KATNAL1",20.896,"4","62 vs 57","-",NA,"7 vs 0",18.35,"-",NA,"-",NA,"14 vs 16",0.99,"41 vs 41",1.15
"19","DDX55",16.7745,"NA","226 vs 217","-",NA,"-",NA,"25 vs 16",11.87,"-",NA,"-",NA,"201 vs 201",1.41
"20","SLC5A6",16.6326,"NA","133 vs 116","-",NA,"-",NA,"14 vs 1",14.75,"-",NA,"23 vs 15",1.15,"96 vs 100",0.98
"21","TRAK1",16.4552,"NA","311 vs 263","-",NA,"-",NA,"2 vs 0",1.13,"-",NA,"46 vs 22",10.34,"263 vs 241",1.4
"22","MAML3",16.195,"NA","270 vs 287","1 vs 0",1.51,"-",NA,"-",NA,"-",NA,"5 vs 8",0.88,"264 vs 279",12.17
"23","AFF1",15.9856,"NA","335 vs 268","-",NA,"6 vs 1",5.56,"-",NA,"-",NA,"-",NA,"329 vs 267",2.88
"24","SV2B",15.7215,"NA","229 vs 214","-",NA,"-",NA,"6 vs 1",1.71,"-",NA,"43 vs 41",4.33,"180 vs 172",2.12
"25","NCKAP5L",15.3122,"5","324 vs 258","-",NA,"3 vs 2",0.74,"-",NA,"-",NA,"-",NA,"321 vs 256",20.6
"26","MROH2A",14.8248,"NA","552 vs 496","-",NA,"-",NA,"63 vs 64",1.1,"-",NA,"-",NA,"489 vs 432",13.44
"27","DYNC1H1",14.4901,"3","357 vs 316","6 vs 0",12.05,"-",NA,"-",NA,"87 vs 80",0.65,"208 vs 200",1.41,"56 vs 36",1.3
"28","LINGO2",14.4571,"NA","164 vs 138","-",NA,"4 vs 0",5.14,"-",NA,"-",NA,"-",NA,"160 vs 138",2.81
"29","ANGPT1",14.4372,"NA","83 vs 89","-",NA,"1 vs 0",1.49,"-",NA,"16 vs 6",15.21,"6 vs 15",0.74,"60 vs 68",0.86
"30","PDS5B",14.3984,"NA","134 vs 158","9 vs 1",26.87,"-",NA,"-",NA,"3 vs 2",1.1,"24 vs 36",0.74,"98 vs 119",0.66
"31","CTBP2",14.0728,"NA","423 vs 389","-",NA,"-",NA,"11 vs 11",1.04,"6 vs 5",0.92,"29 vs 21",1.39,"377 vs 352",10.52
"32","ELL3",13.5993,"NA","124 vs 66","-",NA,"-",NA,"2 vs 4",0.85,"-",NA,"-",NA,"122 vs 62",16.09
"33","IPO5",12.1301,"NA","195 vs 154","3 vs 1",1.89,"-",NA,"-",NA,"2 vs 1",1.13,"62 vs 55",1.14,"128 vs 97",4.98
"34","RARA",11.7117,"NA","66 vs 45","-",NA,"1 vs 0",1.49,"-",NA,"22 vs 7",8.12,"14 vs 12",1.04,"29 vs 26",0.93
"35","BAZ2A",11.5769,"NA","338 vs 354","5 vs 0",9.3,"-",NA,"-",NA,"-",NA,"107 vs 100",1.3,"226 vs 254",0.96
"36","ABCA3",11.0957,"NA","502 vs 512","-",NA,"-",NA,"4 vs 5",0.88,"-",NA,"6 vs 4",1.09,"492 vs 503",11.53
"37","DPH1",10.9233,"NA","171 vs 154","-",NA,"-",NA,"12 vs 7",1.11,"-",NA,"-",NA,"159 vs 147",9.81
"38","GATA5",10.9138,"NA","117 vs 109","-",NA,"-",NA,"0 vs 4",0.76,"25 vs 8",21.52,"22 vs 23",0.85,"70 vs 74",0.78
"39","HMBS",10.6243,"NA","112 vs 84","-",NA,"-",NA,"-",NA,"-",NA,"64 vs 34",10.96,"48 vs 50",0.97
"40","KMT2C",9.568,"2","862 vs 799","2 vs 0",2.29,"-",NA,"-",NA,"12 vs 6",2.08,"82 vs 91",0.94,"766 vs 702",2.13
"41","INTS3",9.4639,"NA","87 vs 64","1 vs 1",0.74,"-",NA,"-",NA,"24 vs 7",11.91,"47 vs 48",0.92,"15 vs 8",1.18
"42","LRRC8A",9.3673,"NA","110 vs 97","-",NA,"2 vs 0",2.21,"-",NA,"21 vs 10",4.09,"46 vs 36",1.2,"41 vs 51",0.86
"43","HRH3",9.3602,"NA","94 vs 69","-",NA,"-",NA,"0 vs 1",0.94,"2 vs 3",0.79,"27 vs 26",1.02,"65 vs 39",12.47
"44","ATG9B",9.3231,"NA","300 vs 352","-",NA,"-",NA,"21 vs 29",1.02,"28 vs 9",22.94,"26 vs 25",1.02,"225 vs 289",0.39
"45","ADD1",9.3154,"NA","156 vs 119","-",NA,"4 vs 0",5.57,"-",NA,"-",NA,"5 vs 4",1.02,"147 vs 115",1.64
"46","ATG9A",9.285,"NA","175 vs 148","-",NA,"2 vs 1",1.13,"-",NA,"33 vs 27",3.65,"35 vs 36",0.86,"105 vs 84",2.6
"47","ABCC9",9.1726,"NA","156 vs 121","-",NA,"-",NA,"17 vs 10",1.48,"14 vs 5",3.04,"40 vs 26",1.62,"85 vs 80",1.26
"48","DRC1",8.9187,"NA","347 vs 290","-",NA,"-",NA,"35 vs 26",2.59,"-",NA,"-",NA,"312 vs 264",3.44
"49","OR11H6",8.8826,"NA","129 vs 107","-",NA,"-",NA,"23 vs 20",0.91,"-",NA,"-",NA,"106 vs 87",9.72
"50","HSPG2",8.5794,"NA","1612 vs 1548","-",NA,"-",NA,"11 vs 16",0.68,"-",NA,"5 vs 5",0.99,"1596 vs 1527",12.69
"51","LAMC1",8.5166,"NA","451 vs 376","4 vs 1",2.55,"-",NA,"-",NA,"-",NA,"83 vs 72",1.26,"364 vs 303",2.65
"52","PCSK2",8.4712,"NA","85 vs 60","1 vs 0",1.51,"-",NA,"-",NA,"18 vs 8",3.79,"23 vs 17",1.35,"43 vs 35",1.1
"53","PRKCG",8.4645,"NA","74 vs 79","3 vs 1",1.69,"-",NA,"-",NA,"19 vs 5",7.76,"18 vs 32",0.78,"34 vs 41",0.83
"54","ZNF493",8.4437,"NA","174 vs 158","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"174 vs 158",8.44
"55","AP3D1",8.3838,"NA","303 vs 256","-",NA,"2 vs 0",2.21,"-",NA,"8 vs 7",1.11,"75 vs 55",1.36,"218 vs 194",2.52
"56","DBNDD1",8.2225,"NA","74 vs 85","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"-",NA,"74 vs 84",8.79
"57","IQGAP1",8.2179,"NA","301 vs 271","11 vs 5",3.83,"-",NA,"-",NA,"5 vs 0",2.15,"23 vs 33",0.97,"262 vs 233",1.02
"58","SOX9",8.1611,"NA","62 vs 50","1 vs 0",1.51,"-",NA,"-",NA,"17 vs 7",5.95,"35 vs 31",0.99,"9 vs 12",0.91
"59","AP3B1",7.94,"NA","166 vs 153","-",NA,"5 vs 0",7.3,"-",NA,"0 vs 1",0.83,"12 vs 11",1.09,"149 vs 141",1.2
"60","RAB30",7.9362,"NA","17 vs 23","-",NA,"5 vs 0",8.29,"-",NA,"1 vs 0",1.17,"6 vs 9",0.92,"5 vs 14",0.9
"61","CHD1",7.7336,"4","186 vs 141","1 vs 0",1.51,"-",NA,"-",NA,"9 vs 3",2.26,"35 vs 45",0.75,"141 vs 93",3.03
"62","ALPK2",7.6632,"NA","617 vs 537","-",NA,"-",NA,"6 vs 9",0.74,"-",NA,"-",NA,"611 vs 528",10.32
"63","ARMC1",7.4949,"NA","48 vs 42","-",NA,"5 vs 0",8.01,"-",NA,"-",NA,"10 vs 10",0.94,"33 vs 32",0.99
"64","SRGAP3",7.492,"4","198 vs 183","4 vs 0",5.48,"-",NA,"-",NA,"-",NA,"109 vs 99",1.55,"85 vs 84",0.88
"65","MYCBP2",7.4903,"NA","522 vs 449","6 vs 2",2.84,"-",NA,"-",NA,"21 vs 14",1.69,"196 vs 170",1.37,"299 vs 263",1.14
"66","CTH",7.4625,"NA","107 vs 81","-",NA,"-",NA,"14 vs 4",6.92,"-",NA,"-",NA,"93 vs 77",1.08
"67","ATP6V0A2",7.4404,"4","172 vs 166","-",NA,"-",NA,"4 vs 2",1.17,"-",NA,"-",NA,"168 vs 164",6.38
"68","TBL3",7.3556,"NA","382 vs 351","-",NA,"-",NA,"2 vs 3",0.97,"-",NA,"-",NA,"380 vs 348",7.57
"69","SHPK",7.1301,"NA","288 vs 249","-",NA,"-",NA,"36 vs 17",3.95,"-",NA,"18 vs 21",0.91,"234 vs 211",1.98
"70","HCN1",6.9977,NA,"87 vs 58","3 vs 0",3.89,"-",NA,"-",NA,"30 vs 25",1.15,"14 vs 9",1.2,"40 vs 24",1.3
"71","CDK19",6.9631,"NA","32 vs 22","4 vs 0",5.48,"-",NA,"-",NA,"4 vs 3",1.07,"11 vs 5",1.2,"13 vs 14",0.99
"72","UBR1",6.9439,"NA","256 vs 192","-",NA,"-",NA,"13 vs 4",1.72,"-",NA,"67 vs 51",2.01,"176 vs 137",2.01
"73","CLPP",6.916,"NA","48 vs 43","-",NA,"3 vs 0",3.45,"-",NA,"6 vs 1",2.24,"16 vs 15",0.95,"23 vs 27",0.94
"74","ADAMTS19",6.9094,"NA","243 vs 211","-",NA,"-",NA,"3 vs 5",0.86,"30 vs 18",2.39,"55 vs 44",4,"155 vs 144",0.84
"75","ITPKA",6.8406,"NA","79 vs 41","-",NA,"1 vs 0",1.49,"-",NA,"24 vs 17",1.38,"43 vs 21",2.88,"11 vs 3",1.15
"76","MYH9",6.8198,"NA","342 vs 338","3 vs 0",3.47,"-",NA,"-",NA,"27 vs 24",1.08,"154 vs 160",0.62,"158 vs 154",2.92
"77","ARHGAP32",6.8045,"4","378 vs 398","11 vs 4",11.39,"-",NA,"-",NA,"12 vs 5",2.34,"37 vs 47",0.58,"318 vs 342",0.44
"78","GALR3",6.7879,"NA","90 vs 76","-",NA,"-",NA,"-",NA,"25 vs 13",6.72,"12 vs 12",1.04,"53 vs 51",0.97
"79","SLC30A1",6.7652,"NA","49 vs 40","-",NA,"5 vs 0",7.65,"-",NA,"0 vs 1",0.83,"15 vs 10",1.1,"29 vs 29",0.96
"80","IFFO2",6.7632,"NA","83 vs 61","-",NA,"-",NA,"-",NA,"24 vs 11",7.03,"41 vs 40",0.8,"18 vs 10",1.2
"81","ADCY5",6.7512,"4","264 vs 235","4 vs 1",2.55,"-",NA,"-",NA,"24 vs 14",3.69,"99 vs 99",0.63,"137 vs 121",1.13
"82","MYO1A",6.6417,"5","549 vs 499","-",NA,"-",NA,"81 vs 53",8.91,"-",NA,"-",NA,"468 vs 446",0.75
"83","KPNA3",6.6347,"NA","45 vs 24","-",NA,"2 vs 0",2.21,"-",NA,"9 vs 2",2.76,"18 vs 15",0.94,"16 vs 7",1.15
"84","CHD4",6.6065,"NA","144 vs 115","2 vs 0",2.29,"-",NA,"-",NA,"29 vs 24",1.91,"35 vs 22",1.45,"78 vs 69",1.04
"85","FBF1",6.5971,"NA","337 vs 321","-",NA,"-",NA,"25 vs 13",1.8,"-",NA,"-",NA,"312 vs 308",3.66
"86","PRTG",6.5283,"NA","308 vs 266","-",NA,"-",NA,"10 vs 11",1.21,"-",NA,"-",NA,"298 vs 255",5.41
"87","CSNK1E",6.3295,"4","43 vs 54","3 vs 0",3.47,"-",NA,"-",NA,"10 vs 3",2.91,"17 vs 27",0.72,"13 vs 24",0.87
"88","CACNG2",6.2875,"NA","41 vs 45","-",NA,"-",NA,"-",NA,"19 vs 8",6.51,"6 vs 7",1,"16 vs 30",0.96
"89","MLANA",6.2708,"NA","58 vs 30","-",NA,"-",NA,"14 vs 2",4.9,"-",NA,"1 vs 0",1.03,"43 vs 28",1.24
"90","REXO1",6.2443,"NA","441 vs 408","-",NA,"2 vs 0",2.21,"-",NA,"-",NA,"-",NA,"439 vs 408",2.82
"91","SAMD5",6.1628,"NA","62 vs 60","-",NA,"-",NA,"0 vs 1",0.94,"-",NA,"44 vs 37",7.51,"18 vs 22",0.88
"92","ZFP62",6.1335,"NA","17 vs 7","-",NA,"17 vs 7",6.13,"-",NA,"-",NA,"-",NA,"-",NA
"93","TSC1",6.1006,NA,"234 vs 230","2 vs 1",0.89,"-",NA,"-",NA,"-",NA,"77 vs 74",0.85,"155 vs 155",8.08
"94","CRTC2",6.052,"NA","146 vs 116","2 vs 1",1.11,"-",NA,"-",NA,"-",NA,"-",NA,"144 vs 115",5.43
"95","POLE",5.99,"NA","640 vs 633","-",NA,"-",NA,"14 vs 16",0.83,"5 vs 0",2.78,"46 vs 42",1.03,"575 vs 575",2.51
"96","ZFAND3",5.9786,"NA","34 vs 20","-",NA,"-",NA,"-",NA,"9 vs 0",5.84,"2 vs 3",0.98,"23 vs 17",1.04
"97","LTBP3",5.9448,"NA","7 vs 2","-",NA,"7 vs 2",5.94,"-",NA,"-",NA,"-",NA,"-",NA
"98","RABEP1",5.9303,"NA","104 vs 89","4 vs 0",5.48,"-",NA,"-",NA,"-",NA,"27 vs 30",0.94,"73 vs 59",1.15
"99","GLG1",5.8883,"NA","162 vs 137","6 vs 1",6.11,"-",NA,"-",NA,"-",NA,"24 vs 29",0.77,"132 vs 107",1.25
"100","DNAAF3",5.8109,"NA","157 vs 131","-",NA,"-",NA,"2 vs 1",1.06,"27 vs 14",4.11,"14 vs 10",1.12,"114 vs 106",1.19
"101","ECE1",5.7954,"NA","159 vs 116","-",NA,"2 vs 0",2.21,"-",NA,"-",NA,"84 vs 51",2.55,"73 vs 65",1.03
"102","HMGCS1",5.7514,"NA","66 vs 43","-",NA,"-",NA,"-",NA,"14 vs 5",5.29,"13 vs 15",0.9,"39 vs 23",1.2
"103","UCHL5",5.7224,"NA","54 vs 30","-",NA,"-",NA,"4 vs 2",1.12,"-",NA,"9 vs 5",1.09,"41 vs 23",4.68
"104","USP31",5.7046,"NA","316 vs 244","-",NA,"-",NA,"8 vs 3",2.72,"6 vs 6",0.82,"11 vs 12",0.88,"291 vs 223",2.88
"105","DET1",5.6838,"NA","119 vs 126","-",NA,"5 vs 0",8.29,"-",NA,"-",NA,"7 vs 7",0.95,"107 vs 119",0.72
"106","CORO1A",5.6741,"NA","59 vs 44","-",NA,"2 vs 0",2.21,"-",NA,"13 vs 13",1.17,"37 vs 18",2.43,"7 vs 13",0.91
"107","EIF3I",5.6587,"NA","30 vs 30","-",NA,"5 vs 1",4.7,"-",NA,"8 vs 7",1.45,"4 vs 9",0.85,"13 vs 13",0.97
"108","ITM2C",5.6323,"NA","101 vs 97","-",NA,"6 vs 1",6.31,"-",NA,"-",NA,"6 vs 1",1.19,"89 vs 95",0.75
"109","HIST1H4B",5.6155,"NA","19 vs 15","-",NA,"-",NA,"19 vs 15",5.62,"-",NA,"-",NA,"-",NA
"110","LIMK1",5.6055,"NA","145 vs 117","3 vs 0",3.47,"-",NA,"-",NA,"-",NA,"59 vs 62",0.84,"83 vs 55",1.93
"111","MED23",5.5643,"NA","146 vs 119","-",NA,"-",NA,"7 vs 9",0.91,"30 vs 17",4.79,"39 vs 45",0.85,"70 vs 48",1.51
"112","DCAF5",5.5305,"NA","173 vs 135","2 vs 0",2.29,"-",NA,"-",NA,"6 vs 4",1.19,"40 vs 24",1.25,"125 vs 107",1.62
"113","PPARG",5.4996,"NA","54 vs 39","-",NA,"-",NA,"0 vs 1",0.94,"19 vs 7",4.72,"9 vs 2",1.27,"26 vs 29",0.98
"114","COL27A1",5.4946,"NA","602 vs 615","-",NA,"8 vs 0",24.06,"-",NA,"0 vs 1",0.83,"3 vs 8",0.82,"591 vs 606",0.34
"115","RBM14",5.427,"NA","131 vs 98","-",NA,"-",NA,"-",NA,"13 vs 9",2.14,"10 vs 5",1.19,"108 vs 84",2.14
"116","STRN",5.4033,"NA","101 vs 104","-",NA,"4 vs 0",5.14,"-",NA,"2 vs 0",1.36,"2 vs 2",1,"93 vs 102",0.78
"117","EPM2AIP1",5.3843,"NA","61 vs 49","-",NA,"2 vs 0",2.21,"-",NA,"-",NA,"26 vs 20",2.13,"33 vs 29",1.14
"118","CCNL1",5.3309,"NA","75 vs 62","4 vs 0",5.26,"-",NA,"-",NA,"5 vs 4",0.99,"26 vs 27",0.92,"40 vs 31",1.12
"119","UCP2",5.2962,"NA","143 vs 126","-",NA,"-",NA,"13 vs 4",4.63,"-",NA,"-",NA,"130 vs 122",1.14
"120","MSH5",5.2861,"NA","162 vs 128","-",NA,"-",NA,"25 vs 16",2.8,"-",NA,"40 vs 32",1.43,"97 vs 80",1.32
"121","NLRP14",5.2424,"NA","326 vs 317","-",NA,"-",NA,"15 vs 17",0.79,"-",NA,"-",NA,"311 vs 300",6.65
"122","TFAP2C",5.208,"NA","74 vs 48","-",NA,"2 vs 0",2.21,"-",NA,"13 vs 7",1.58,"19 vs 11",1.29,"40 vs 30",1.15
"123","DLG2",5.1832,"NA","144 vs 136","-",NA,"4 vs 0",5.14,"-",NA,"-",NA,"34 vs 29",1.1,"106 vs 107",0.92
"124","TTLL9",5.1802,"NA","199 vs 175","-",NA,"-",NA,"26 vs 19",0.98,"-",NA,"-",NA,"173 vs 156",5.29
"125","NPR1",5.1548,"NA","195 vs 155","-",NA,"-",NA,"5 vs 3",1.11,"9 vs 2",2.95,"123 vs 111",1.03,"58 vs 39",1.53
"126","FOXRED2",5.1361,"NA","269 vs 242","-",NA,"-",NA,"6 vs 3",1.18,"7 vs 1",2.77,"29 vs 23",1.16,"227 vs 215",1.35
"127","SOS2",5.1073,"NA","239 vs 227","3 vs 0",3.62,"-",NA,"-",NA,"-",NA,"39 vs 33",1.04,"197 vs 194",1.35
"128","SORCS2",5.0778,"NA","340 vs 307","-",NA,"-",NA,"5 vs 4",1.05,"18 vs 9",2.61,"16 vs 14",0.99,"301 vs 280",1.88
"129","OR6B1",5.0546,"NA","141 vs 117","-",NA,"-",NA,"16 vs 12",4.65,"-",NA,"-",NA,"125 vs 105",1.09
"130","CAPRIN1",5.0197,"3","66 vs 56","-",NA,"7 vs 1",6.56,"-",NA,"4 vs 5",0.66,"3 vs 3",1,"52 vs 47",1.16
"131","SMARCA2",5.0178,NA,"149 vs 132","2 vs 1",1.11,"-",NA,"-",NA,"12 vs 9",1.71,"34 vs 37",0.9,"101 vs 85",2.93
"132","CCDC57",4.9493,"NA","281 vs 243","-",NA,"-",NA,"4 vs 7",0.84,"-",NA,"-",NA,"277 vs 236",5.88
"133","MAP7D1",4.9356,"NA","237 vs 219","-",NA,"3 vs 0",3.3,"-",NA,"13 vs 9",1.49,"4 vs 9",0.83,"217 vs 201",1.21
"134","MARK4",4.9055,"NA","126 vs 83","1 vs 0",1.51,"-",NA,"-",NA,"5 vs 2",1.41,"69 vs 45",1.85,"51 vs 36",1.24
"135","GPR4",4.8399,"NA","29 vs 18","-",NA,"-",NA,"1 vs 0",1.06,"14 vs 4",4.41,"7 vs 6",1.03,"7 vs 8",1
"136","CXXC1",4.8279,"NA","65 vs 66","-",NA,"2 vs 0",2.21,"-",NA,"8 vs 0",3.41,"23 vs 28",0.77,"32 vs 38",0.83
"137","APBB1IP",4.8013,"NA","89 vs 82","-",NA,"3 vs 0",3.3,"-",NA,"-",NA,"37 vs 30",1.26,"49 vs 52",1.16
"138","SORT1",4.7721,"NA","147 vs 126","2 vs 1",0.97,"-",NA,"-",NA,"22 vs 12",3.41,"30 vs 28",0.86,"93 vs 85",1.69
"139","CSNK1G3",4.7623,"NA","45 vs 37","4 vs 0",5.26,"-",NA,"-",NA,"-",NA,"7 vs 13",0.85,"34 vs 24",1.06
"140","HDLBP",4.7578,"4","201 vs 166","5 vs 1",4.33,"-",NA,"-",NA,"1 vs 3",0.68,"71 vs 51",1.55,"124 vs 111",1.04
"141","NAV2",4.7426,"3","678 vs 614","4 vs 1",2.55,"-",NA,"-",NA,"-",NA,"89 vs 72",0.93,"585 vs 541",1.99
"142","XPO4",4.6971,"NA","118 vs 97","3 vs 0",3.47,"-",NA,"-",NA,"3 vs 3",1,"50 vs 43",1.16,"62 vs 51",1.17
"143","NUDC",4.6966,"NA","77 vs 58","-",NA,"2 vs 0",2.32,"-",NA,"-",NA,"1 vs 2",0.97,"74 vs 56",2.1
"144","DBN1",4.6893,"NA","165 vs 131","2 vs 0",2.29,"-",NA,"-",NA,"2 vs 0",1.36,"34 vs 22",1.39,"127 vs 109",1.08
"145","SCN2A",4.6751,"1","178 vs 132","-",NA,"-",NA,"-",NA,"37 vs 26",1.59,"87 vs 60",2.58,"54 vs 46",1.14
"146","KCNMB4",4.6519,"NA","33 vs 19","-",NA,"1 vs 0",1.49,"-",NA,"10 vs 3",3.41,"10 vs 11",0.86,"12 vs 5",1.06
"147","AK3",4.6408,"NA","72 vs 49","-",NA,"-",NA,"6 vs 5",1.07,"-",NA,"-",NA,"66 vs 44",4.34
"148","DCP2",4.6288,"NA","79 vs 65","-",NA,"5 vs 1",4.1,"-",NA,"-",NA,"1 vs 1",1,"73 vs 63",1.13
"149","PLEKHB1",4.6208,"NA","108 vs 97","-",NA,"-",NA,"7 vs 5",1.21,"-",NA,"-",NA,"101 vs 92",3.83
"150","SNRNP40",4.6176,"NA","47 vs 30","-",NA,"5 vs 1",3.22,"-",NA,"1 vs 0",1.17,"21 vs 13",1.17,"20 vs 16",1.05
"151","SEL1L",4.6144,"NA","145 vs 133","-",NA,"3 vs 0",3.3,"-",NA,"-",NA,"51 vs 47",1.33,"91 vs 86",1.05
"152","MOV10",4.6114,"NA","182 vs 148","-",NA,"4 vs 0",5.14,"-",NA,"0 vs 1",0.83,"26 vs 26",0.89,"152 vs 121",1.21
"153","ADCY4",4.5488,"NA","285 vs 239","-",NA,"-",NA,"29 vs 24",0.85,"-",NA,"100 vs 78",4.43,"156 vs 137",1.21
"154","GPC2",4.5351,"NA","133 vs 114","-",NA,"-",NA,"3 vs 4",0.88,"8 vs 9",1.05,"41 vs 31",4.09,"81 vs 70",1.19
"155","PNKP",4.511,"NA","218 vs 180","-",NA,"-",NA,"27 vs 16",1.81,"-",NA,"-",NA,"191 vs 164",2.49
"156","FBXO47",4.4966,"NA","162 vs 160","-",NA,"-",NA,"4 vs 1",1.16,"-",NA,"-",NA,"158 vs 159",3.88
"157","LRRC8D",4.4742,"NA","85 vs 78","-",NA,"5 vs 1",3.91,"-",NA,"-",NA,"31 vs 20",1.48,"49 vs 57",0.77
"158","FBN2",4.4672,"NA","613 vs 607","9 vs 3",5,"-",NA,"-",NA,"-",NA,"21 vs 32",0.78,"583 vs 572",1.14
"159","IGF2",4.4426,"NA","47 vs 34","-",NA,"-",NA,"2 vs 1",1.1,"4 vs 0",2.1,"11 vs 14",0.87,"30 vs 19",2.21
"160","SNED1",4.4362,"NA","446 vs 414","-",NA,"12 vs 4",5.57,"-",NA,"1 vs 2",0.81,"120 vs 110",1.11,"313 vs 298",0.89
"161","C4orf36",4.4341,"NA","56 vs 38","-",NA,"-",NA,"17 vs 3",4.08,"-",NA,"-",NA,"39 vs 35",1.09
"162","MOCOS",4.4085,"5","333 vs 282","-",NA,"-",NA,"31 vs 18",1.41,"1 vs 4",0.7,"2 vs 6",0.9,"299 vs 254",4.92
"163","CBX7",4.3961,"NA","23 vs 24","-",NA,"3 vs 0",3.45,"-",NA,"2 vs 0",1.36,"6 vs 4",1.08,"12 vs 20",0.87
"164","QSOX2",4.3919,"NA","230 vs 179","-",NA,"-",NA,"3 vs 4",0.86,"7 vs 4",1.5,"16 vs 16",0.91,"204 vs 155",3.75
"165","CHAF1A",4.3855,"NA","276 vs 226","2 vs 0",2.39,"-",NA,"-",NA,"1 vs 3",0.68,"26 vs 17",1.3,"247 vs 206",2.09
"166","OXER1",4.3818,"NA","239 vs 233","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"239 vs 233",4.38
"167","JADE1",4.3801,"NA","108 vs 89","-",NA,"-",NA,"-",NA,"2 vs 0",1.36,"45 vs 24",2.97,"61 vs 65",1.08
"168","GADD45GIP1",4.3508,"NA","112 vs 99","-",NA,"-",NA,"5 vs 3",1.11,"-",NA,"85 vs 65",4.41,"22 vs 31",0.89
"169","SLIRP",4.3151,"NA","56 vs 33","-",NA,"-",NA,"2 vs 1",1.06,"-",NA,"-",NA,"54 vs 32",4.07
"170","POU2F2",4.3032,"NA","67 vs 35","-",NA,"-",NA,"-",NA,"11 vs 3",2.86,"4 vs 3",1.03,"52 vs 29",1.46
"171","TMEM132D",4.2888,"NA","281 vs 243","2 vs 0",2.29,"-",NA,"-",NA,"-",NA,"4 vs 2",1.02,"275 vs 241",1.83
"172","ACSF2",4.2872,"NA","140 vs 126","-",NA,"-",NA,"26 vs 10",2.08,"-",NA,"51 vs 39",1.34,"63 vs 77",1.54
"173","AMBP",4.2865,"NA","122 vs 88","-",NA,"-",NA,"13 vs 8",0.98,"-",NA,"-",NA,"109 vs 80",4.38
"174","MSANTD2",4.2864,"4","61 vs 53","-",NA,"3 vs 0",3.3,"-",NA,"6 vs 3",1.48,"18 vs 22",0.87,"34 vs 28",1.01
"175","BMPR1B",4.2841,"NA","169 vs 149","3 vs 0",3.62,"-",NA,"-",NA,"1 vs 1",0.97,"-",NA,"165 vs 148",1.22
"176","DLG4",4.278,"5","79 vs 64","2 vs 0",2.29,"-",NA,"-",NA,"30 vs 19",2.1,"44 vs 42",0.88,"3 vs 3",1.01
"177","SLC19A1",4.2765,"NA","188 vs 178","-",NA,"-",NA,"3 vs 1",1.13,"4 vs 2",1.16,"62 vs 49",3.17,"119 vs 126",1.03
