"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"14708","IRX6",0.4805,"NA","120 vs 135","-",NA,"-",NA,"6 vs 10",0.83,"-",NA,"-",NA,"114 vs 125",0.58
"14709","PAFAH2",0.4801,"NA","145 vs 152","-",NA,"-",NA,"22 vs 22",0.64,"-",NA,"-",NA,"123 vs 130",0.75
"14710","CDHR5",0.48,"NA","319 vs 342","-",NA,"-",NA,"4 vs 4",0.91,"-",NA,"-",NA,"315 vs 338",0.52
"14711","SLC22A10",0.48,"NA","199 vs 235","-",NA,"-",NA,"11 vs 20",0.73,"-",NA,"-",NA,"188 vs 215",0.66
"14712","NXT1",0.4799,"NA","11 vs 14","-",NA,"-",NA,"-",NA,"3 vs 7",0.47,"6 vs 5",1.03,"2 vs 2",0.99
"14713","ABHD1",0.4797,"NA","163 vs 178","-",NA,"-",NA,"21 vs 19",0.85,"-",NA,"-",NA,"142 vs 159",0.56
"14714","DYNC1LI2",0.4797,"NA","56 vs 59","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"27 vs 28",0.91,"29 vs 30",1.03
"14715","ST6GALNAC1",0.4788,"NA","182 vs 199","-",NA,"-",NA,"12 vs 15",0.79,"-",NA,"-",NA,"170 vs 184",0.61
"14716","SI",0.4788,"NA","430 vs 467","-",NA,"-",NA,"46 vs 31",1.77,"-",NA,"-",NA,"384 vs 436",0.27
"14717","ZFYVE26",0.4788,"NA","534 vs 563","-",NA,"-",NA,"14 vs 12",1.02,"-",NA,"-",NA,"520 vs 551",0.47
"14718","PDCD11",0.4787,"NA","427 vs 485","-",NA,"-",NA,"6 vs 12",0.6,"-",NA,"4 vs 2",1.06,"417 vs 471",0.75
"14719","PDZD3",0.4787,"NA","125 vs 161","-",NA,"-",NA,"10 vs 14",0.86,"-",NA,"-",NA,"115 vs 147",0.55
"14720","TUBGCP2",0.4785,"NA","266 vs 280","-",NA,"-",NA,"11 vs 13",0.74,"-",NA,"33 vs 35",0.9,"222 vs 232",0.72
"14721","CNBD1",0.4784,"NA","160 vs 173","-",NA,"-",NA,"9 vs 10",0.71,"-",NA,"-",NA,"151 vs 163",0.67
"14722","CPXM1",0.4783,"NA","147 vs 191","-",NA,"-",NA,"7 vs 7",1.1,"-",NA,"56 vs 69",0.85,"84 vs 115",0.51
"14723","DLK1",0.478,"NA","109 vs 143","-",NA,"-",NA,"-",NA,"-",NA,"28 vs 43",0.64,"81 vs 100",0.75
"14724","KCNG2",0.478,"NA","106 vs 121","-",NA,"1 vs 0",1.49,"-",NA,"19 vs 22",0.4,"39 vs 43",0.85,"47 vs 56",0.94
"14725","RALA",0.4778,NA,"8 vs 6","-",NA,"0 vs 1",0.51,"-",NA,"3 vs 4",0.83,"5 vs 1",1.12,"-",NA
"14726","CLYBL",0.4775,"NA","95 vs 116","-",NA,"-",NA,"8 vs 17",0.66,"-",NA,"-",NA,"87 vs 99",0.72
"14727","PDE6B",0.4774,"NA","313 vs 312","-",NA,"-",NA,"15 vs 26",0.5,"-",NA,"-",NA,"298 vs 286",0.96
"14728","ZNF462",0.4773,"4","445 vs 455","1 vs 1",0.74,"-",NA,"-",NA,"14 vs 9",1.76,"92 vs 107",0.54,"338 vs 338",0.68
"14729","MFSD12",0.4773,"NA","286 vs 298","-",NA,"-",NA,"22 vs 26",0.75,"-",NA,"-",NA,"264 vs 272",0.64
"14730","SIGLEC1",0.4771,"NA","602 vs 582","-",NA,"-",NA,"44 vs 48",0.38,"-",NA,"-",NA,"558 vs 534",1.27
"14731","ARHGAP18",0.477,"NA","137 vs 151","-",NA,"-",NA,"5 vs 11",0.6,"-",NA,"-",NA,"132 vs 140",0.79
"14732","CENPE",0.4768,"NA","505 vs 525","-",NA,"-",NA,"5 vs 7",1.02,"4 vs 2",1.29,"25 vs 48",0.64,"471 vs 468",0.57
"14733","ZNF672",0.4768,"NA","133 vs 132","-",NA,"-",NA,"-",NA,"8 vs 8",0.69,"58 vs 61",0.78,"67 vs 63",0.88
"14734","NDN",0.4768,"NA","46 vs 45","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"28 vs 22",1.08,"18 vs 22",0.86
"14735","SARDH",0.4767,"NA","339 vs 354","-",NA,"-",NA,"25 vs 29",0.71,"-",NA,"0 vs 1",0.97,"314 vs 324",0.69
"14736","LRFN5",0.4765,"4","88 vs 112","-",NA,"1 vs 1",0.76,"-",NA,"-",NA,"21 vs 23",0.85,"66 vs 88",0.74
"14737","APLNR",0.4761,"NA","118 vs 96","-",NA,"0 vs 2",0.37,"-",NA,"-",NA,"-",NA,"118 vs 94",1.29
"14738","MMP16",0.4759,"NA","38 vs 47","-",NA,"-",NA,"-",NA,"8 vs 10",0.59,"16 vs 25",0.79,"14 vs 12",1.02
"14739","LYN",0.4757,"NA","31 vs 31","1 vs 1",0.74,"-",NA,"-",NA,"1 vs 3",0.68,"17 vs 20",0.91,"12 vs 7",1.05
"14740","COL4A4",0.4757,"NA","356 vs 373","-",NA,"-",NA,"8 vs 14",0.62,"-",NA,"-",NA,"348 vs 359",0.77
"14741","CUX2",0.4756,"4","304 vs 275","1 vs 2",0.36,"-",NA,"-",NA,"1 vs 1",0.97,"112 vs 92",1.1,"190 vs 180",1.24
"14742","ANGPT2",0.4756,"NA","124 vs 125","-",NA,"0 vs 1",0.51,"-",NA,"-",NA,"-",NA,"124 vs 124",0.93
"14743","MAP2K1",0.4756,"NA","14 vs 19","-",NA,"1 vs 1",0.76,"-",NA,"1 vs 3",0.66,"9 vs 8",0.99,"3 vs 7",0.95
"14744","RPS6KB2",0.4754,"NA","208 vs 221","-",NA,"-",NA,"17 vs 18",0.74,"-",NA,"-",NA,"191 vs 203",0.64
"14745","HHIPL1",0.4754,"NA","226 vs 233","-",NA,"-",NA,"9 vs 14",0.86,"-",NA,"104 vs 128",0.5,"113 vs 91",1.11
"14746","TRAPPC10",0.4752,"NA","252 vs 230","1 vs 2",0.36,"-",NA,"-",NA,"-",NA,"7 vs 5",1.04,"244 vs 223",1.28
"14747","CTSA",0.4751,"NA","78 vs 106","-",NA,"-",NA,"3 vs 7",0.72,"-",NA,"22 vs 19",1,"53 vs 80",0.66
"14748","ODF3B",0.475,"NA","56 vs 68","-",NA,"-",NA,"5 vs 7",0.92,"7 vs 8",0.57,"20 vs 28",0.89,"24 vs 25",1.01
"14749","ZNF296",0.4748,"NA","81 vs 97","-",NA,"-",NA,"-",NA,"-",NA,"33 vs 43",0.65,"48 vs 54",0.73
"14750","TTLL11",0.4747,"NA","174 vs 191","-",NA,"-",NA,"2 vs 4",0.86,"-",NA,"70 vs 74",0.7,"102 vs 113",0.79
"14751","PPP1R21",0.4746,"NA","195 vs 209","-",NA,"-",NA,"5 vs 11",0.65,"-",NA,"-",NA,"190 vs 198",0.73
