"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","All_variants_T","All_variants_UT","All_variants_OR","All_variants_P_value"
"IPMK",0,0,0,1,0,0,0,1,0,0,0,1
"CISD1",0,0,0,1,0,0,0,1,0,0,0,1
"UBE2D1",0,0,0,1,0,0,0,1,0,0,0,1
"TFAM",0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
"BICC1",0,1,0,1,0,0,0,1,0,1,0,1
"ANKRD16",2,4,0.500014255437044,0.890625,0,0,0,1,2,4,0.500014255437044,0.890625
"PHYHIPL",0,0,0,1,0,0,0,1,0,0,0,1
"FAM13C",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"IL15RA",0,0,0,1,0,0,0,1,0,0,0,1
"SLC16A9",0,0,0,1,0,0,0,1,0,0,0,1
"CCDC6",0,0,0,1,2,2,1,0.6875,2,2,1,0.6875
"ANK3",0,0,0,1,0,0,0,1,0,0,0,1
"IL2RA",0,0,0,1,0,0,0,1,0,0,0,1
"CDK1",0,0,0,1,14,20,0.700011657421705,0.885259493486956,14,20,0.700011657421705,0.885259493486956
"RHOBTB1",3,2,1.49997155670705,0.5,5,8,0.62501357396942,0.8665771484375,8,10,0.800007767870128,0.759658813476562
"RBM17",0,0,0,1,0,1,0,1,0,1,0,1
"TMEM26",0,0,0,1,0,0,0,1,0,0,0,1
"ARID5B",0,0,0,1,3,4,0.750009838248499,0.7734375,3,4,0.750009838248499,0.7734375
"PFKFB3",0,0,0,1,0,0,0,1,0,0,0,1
"RTKN2",13,10,1.29998468365679,0.338819742202759,0,0,0,1,13,10,1.29998468365679,0.338819742202759
"ZNF365",0,0,0,1,0,0,0,1,0,0,0,1
"ADO",0,0,0,1,0,0,0,1,0,0,0,1
"EGR2",0,0,0,1,0,4,0,1,0,4,0,1
"NRBF2",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"JMJD1C",0,0,0,1,9,7,1.28569989068322,0.401809692382813,9,7,1.28569989068322,0.401809692382813
"REEP3",0,0,0,1,0,0,0,1,0,0,0,1
"PRKCQ",0,2,0,1,0,0,0,1,0,2,0,1
"CTNNA3",10,14,0.714296887336591,0.846271872520447,0,0,0,1,10,14,0.714296887336591,0.846271872520447
"LRRTM3",0,0,0,1,0,0,0,1,0,0,0,1
"DNAJC12",16,10,1.59996524405347,0.163469791412354,0,0,0,1,16,10,1.59996524405347,0.163469791412354
"SIRT1",0,0,0,1,0,0,0,1,0,0,0,1
"HERC4",0,0,0,1,1,1,1,0.75,1,1,1,0.75
"MYPN",0,0,0,1,0,0,0,1,0,0,0,1
"ATOH7",0,0,0,1,2,1,1.99994298122268,0.5,2,1,1.99994298122268,0.5
"PBLD",7,12,0.583347475328415,0.916465759277344,0,0,0,1,7,12,0.583347475328415,0.916465759277344
"HNRNPH3",0,0,0,1,0,0,0,1,0,0,0,1
"RUFY2",0,0,0,1,0,0,0,1,0,0,0,1
"DNA2",2,4,0.500014255437044,0.890625,0,0,0,1,2,4,0.500014255437044,0.890625
"SLC25A16",3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
"TET1",0,0,0,1,0,0,0,1,0,0,0,1
"CCAR1",0,0,0,1,5,4,1.24998786284456,0.5,5,4,1.24998786284456,0.5
"STOX1",0,0,0,1,0,0,0,1,0,0,0,1
"DDX50",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"DDX21",0,0,0,1,0,0,0,1,0,0,0,1
"SRGN",0,0,0,1,0,0,0,1,0,0,0,1
"VPS26A",0,1,0,1,0,0,0,1,0,1,0,1
"SUPV3L1",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"HKDC1",11,3,3.66621226234858,0.0286865234375,0,0,0,1,11,3,3.66621226234858,0.0286865234375
"HK1",0,0,0,1,1,4,0.250027596706012,0.96875,1,4,0.250027596706012,0.96875
"TACR2",7,10,0.700011654785446,0.833847045898437,0,0,0,1,7,10,0.700011654785446,0.833847045898437
"TSPAN15",0,0,0,1,0,0,0,1,0,0,0,1
"NEUROG3",0,0,0,1,0,0,0,1,0,0,0,1
"COL13A1",13,17,0.764715131349215,0.819202695973217,8,6,1.33331584236617,0.395263671875,21,23,0.913060519332774,0.674206086395542
"H2AFY2",0,0,0,1,5,1,4.99958044879101,0.109375,5,1,4.99958044879101,0.109375
"AIFM2",9,7,1.28569989068322,0.401809692382813,0,0,0,1,9,7,1.28569989068322,0.401809692382813
"TYSND1",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"SAR1A",0,0,0,1,0,0,0,1,0,0,0,1
"PPA1",8,4,1.99994297718361,0.19384765625,0,0,0,1,8,4,1.99994297718361,0.19384765625
"NPFFR1",11,4,2.75006470661636,0.059234619140625,3,3,1,0.65625,14,7,1.99994297313377,0.0946235656738281
"LRRC20",6,8,0.750009838798097,0.78802490234375,0,0,0,1,6,8,0.750009838798097,0.78802490234375
"EIF4EBP2",0,0,0,1,0,0,0,1,0,0,0,1
"NODAL",0,0,0,1,0,0,0,1,0,0,0,1
"PALD1",1,2,0.500014255100735,0.875,0,0,0,1,1,2,0.500014255100735,0.875
